Ast_var,term,estimate,std.error,statistic,p.value
TVAL_BANK_log,(Intercept),7.82629646,0.063422839,123.3987092,0
TVAL_BANK_log,EJB1_UNION,0.210534307,0.179584971,1.172338119,0.241061697
TVAL_BANK_log,Median_oneYear_ahead_uncertainty_inflation,0.419552911,0.048705099,8.61414751,7.06E-18
TVAL_BANK_log,Median_threeYear_ahead_uncertainty_inflation,-0.779665583,0.036194774,-21.54083306,6.92E-103
TVAL_BANK_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,-0.111303367,0.138073355,-0.806117645,0.420175268
TVAL_BANK_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,0.20842519,0.102523616,2.032948094,0.042058111
TVAL_STMF_log,(Intercept),1.692987001,0.06927368,24.43910872,7.38E-132
TVAL_STMF_log,EJB1_UNION,-0.505704645,0.196151923,-2.57812739,0.009933922
TVAL_STMF_log,Median_oneYear_ahead_uncertainty_inflation,0.144925471,0.05319821,2.724254679,0.006444825
TVAL_STMF_log,Median_threeYear_ahead_uncertainty_inflation,-0.244659478,0.03953379,-6.188616838,6.07E-10
TVAL_STMF_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,-0.164868479,0.150810805,-1.09321397,0.274300208
TVAL_STMF_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,0.328675962,0.111981556,2.935090146,0.003334607
TVAL_BOND_log,(Intercept),0.358088302,0.032908488,10.8813355,1.42E-27
TVAL_BOND_log,EJB1_UNION,0.093837867,0.093182046,1.007038064,0.3139168
TVAL_BOND_log,Median_oneYear_ahead_uncertainty_inflation,0.012972363,0.02527183,0.513313175,0.607732417
TVAL_BOND_log,Median_threeYear_ahead_uncertainty_inflation,-0.015307585,0.018780542,-0.815076874,0.415028561
TVAL_BOND_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,-0.003226731,0.071642731,-0.045039195,0.964076079
TVAL_BOND_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,-0.00415748,0.053196881,-0.0781527,0.937706607
TVAL_RENT_log,(Intercept),0.561634638,0.047770659,11.75689525,6.55E-32
TVAL_RENT_log,EJB1_UNION,0.308381133,0.135265034,2.279828902,0.022618111
TVAL_RENT_log,Median_oneYear_ahead_uncertainty_inflation,0.022163889,0.036685124,0.604165568,0.545733749
TVAL_RENT_log,Median_threeYear_ahead_uncertainty_inflation,-0.042010874,0.027262233,-1.540991687,0.123319222
TVAL_RENT_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,0.091270842,0.103998107,0.877620222,0.380150126
TVAL_RENT_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,-0.17520174,0.077221721,-2.268814244,0.023279901
TVAL_RE_log,(Intercept),0.551198601,0.048032757,11.47547278,1.76E-30
TVAL_RE_log,EJB1_UNION,0.251550317,0.136007178,1.849537071,0.064380684
TVAL_RE_log,Median_oneYear_ahead_uncertainty_inflation,0.030469633,0.0368864,0.82603974,0.408781806
TVAL_RE_log,Median_threeYear_ahead_uncertainty_inflation,-0.023387941,0.02741181,-0.853206745,0.39354493
TVAL_RE_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,-0.007246111,0.104568702,-0.069295221,0.944754647
TVAL_RE_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,-0.044628663,0.077645405,-0.574775334,0.565443419
TVAL_OTH_log,(Intercept),1.011617737,0.061335277,16.49324479,4.20E-61
TVAL_OTH_log,EJB1_UNION,0.847069025,0.173673933,4.877352687,1.08E-06
TVAL_OTH_log,Median_oneYear_ahead_uncertainty_inflation,0.032876036,0.047101972,0.697975787,0.485192548
TVAL_OTH_log,Median_threeYear_ahead_uncertainty_inflation,-0.000502692,0.035003423,-0.014361235,0.98854179
TVAL_OTH_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,0.146955462,0.133528672,1.10055361,0.27109133
TVAL_OTH_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,-0.347958542,0.099149053,-3.509448979,0.000449062
TVAL_RET_log,(Intercept),6.573838498,0.105465749,62.33150153,0
TVAL_RET_log,EJB1_UNION,0.327087608,0.298631593,1.095288024,0.273390816
TVAL_RET_log,Median_oneYear_ahead_uncertainty_inflation,0.563506757,0.080991641,6.957591572,3.46E-12
TVAL_RET_log,Median_threeYear_ahead_uncertainty_inflation,-0.994989705,0.060188238,-16.53129802,2.24E-61
TVAL_RET_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,-0.313184417,0.229601986,-1.36403183,0.172557948
TVAL_RET_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,0.570404461,0.170486376,3.345748048,0.000820649
TVAL_BUS_log,(Intercept),0.202654285,0.025642249,7.903139892,2.72E-15
TVAL_BUS_log,EJB1_UNION,-0.025995076,0.072607324,-0.358022779,0.720326365
TVAL_BUS_log,Median_oneYear_ahead_uncertainty_inflation,0.011271838,0.019691776,0.572413499,0.567042041
TVAL_BUS_log,Median_threeYear_ahead_uncertainty_inflation,-0.025723653,0.014633773,-1.757827838,0.078777206
TVAL_BUS_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,-0.013501507,0.055823919,-0.241858827,0.808889619
TVAL_BUS_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,0.039160966,0.041450938,0.944754649,0.344784447
TVAL_HOME_log,(Intercept),6.48889196,0.115154382,56.34950085,0
TVAL_HOME_log,EJB1_UNION,0.875810852,0.326065447,2.68599712,0.007231527
