"Ast_var","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"TVAL_BANK_log",0.0033363318163519,0.00332723886901942,3.25791327114976,366.914235220029,0,7,-1994909.70602161,3989837.41204321,3989941.36735437,8143686.16846048,767259,767267
"TVAL_STMF_log",0.000154004827912999,0.000144882846983108,3.5587302823477,16.8828272168573,1.84099458993518e-22,7,-2062672.37151509,4125362.74303017,4125466.69834133,9716998.57901302,767259,767267
"TVAL_BOND_log",0.000225448078847119,0.000216326749721607,1.69058682878806,24.7165819527972,5.85710223792841e-34,7,-1491573.97220122,2983165.94440244,2983269.8997136,2192890.53800102,767259,767267
"TVAL_RENT_log",0.000183935688456103,0.000174813980597044,2.45408974958815,20.1646107614402,2.93292664191018e-27,7,-1777519.20177411,3555056.40354821,3555160.35885937,4620860.67689205,767259,767267
"TVAL_RE_log",0.000296164835651212,0.000287044151701998,2.46755536339402,32.4717792330046,1.88723034783767e-45,7,-1781717.69502217,3563453.39004434,3563557.34535551,4671709.2114081,767259,767267
"TVAL_OTH_log",0.00131980345758535,0.00131069211268631,3.15093206800826,144.852760182799,1.60822019303527e-214,7,-1969291.74590143,3938601.49180286,3938705.44711402,7617633.46073493,767259,767267
"TVAL_RET_log",0.00428485599550145,0.00427577170192117,5.41772649743117,471.677402065963,0,7,-2385133.54807656,4770285.09615311,4770389.05146428,22520402.3334861,767259,767267
"TVAL_BUS_log",0.000100687107436631,9.15646400685421e-05,1.31730115448702,11.0372669340133,4.98625043778488e-14,7,-1300148.03657263,2600314.07314526,2600418.02845642,1331410.98647093,767259,767267
"TVAL_HOME_log",0.00698702058338782,0.00697796094269809,5.91556173888968,771.224910868021,0,7,-2452584.14305822,4905186.28611644,4905290.24142761,26849362.2291419,767259,767267
"TVAL_VEH_log",0.00244828133213082,0.00243918028277101,4.31548922763075,269.01088384067,0,7,-2210606.72598414,4421231.45196828,4421335.40727944,14289007.5318462,767259,767267
"TVAL_ESAV_log",5.57458680847098e-05,4.66229907003513e-05,1.66039253871768,6.11055763845523,3.68998446307412e-07,7,-1477746.54634578,2955511.09269156,2955615.04800273,2115258.9324528,767259,767267
