Ast_var,term,estimate,std.error,statistic,p.value
TVAL_BANK_log,(Intercept),-4.91417765,5.930903301,-0.828571535,0.407347159
TVAL_BANK_log,EJB1_UNION,-0.89225566,16.81292068,-0.053069641,0.957676434
TVAL_BANK_log,Median_oneYear_ahead_uncertainty_inflation,-0.124473847,0.084972543,-1.464871388,0.14295642
TVAL_BANK_log,Median_threeYear_ahead_uncertainty_inflation,0.025924501,0.068744298,0.377114929,0.706088302
TVAL_BANK_log,Mean_prob_losingJob,0.001741402,0.009915405,0.175625878,0.860587917
TVAL_BANK_log,h_1,0.412536459,10.28627299,0.040105533,0.968009001
TVAL_BANK_log,h_3,-5.607734828,17.51726115,-0.320126233,0.748872727
TVAL_BANK_log,h_12,17.0530927,13.24384264,1.287624232,0.197877188
TVAL_BANK_log,YearAgoPessimistic_HF,0.008755253,0.004193344,2.08789288,0.036807828
TVAL_BANK_log,YearAheadPessimistic_HF,0.001245956,0.004105612,0.30347639,0.76152692
TVAL_BANK_log,Harder_side_ago,1.19955616,0.66718107,1.797946936,0.07218581
TVAL_BANK_log,Easier_side_ago,-0.288677947,0.3990472,-0.723418051,0.469423305
TVAL_BANK_log,Harder_side_ahead,-0.600552271,0.545608932,-1.100700952,0.271027177
TVAL_BANK_log,UMICH_Consumer_Index,-0.001715294,0.00302427,-0.567176274,0.570594592
TVAL_BANK_log,Gas,-0.022871371,0.018961505,-1.206200168,0.227740691
TVAL_BANK_log,Food,-0.023540041,0.041955975,-0.561065281,0.574753199
TVAL_BANK_log,Medical,-0.019827436,0.013355011,-1.48464397,0.137638572
TVAL_BANK_log,College,0.003508287,0.009982138,0.351456434,0.725246048
TVAL_BANK_log,Rent,-0.068992605,0.056584914,-1.219275594,0.222739983
TVAL_BANK_log,Gold,0.032563595,0.018214366,1.787797306,0.07380911
TVAL_BANK_log,Mean_prob_higher_unemploy_us_oneYear,0.007420025,0.006654427,1.115050971,0.264828929
TVAL_BANK_log,CPI_change_rate,0.008040922,0.012166892,0.660885512,0.508685936
TVAL_BANK_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,0.04123242,0.241218069,0.17093421,0.864275542
TVAL_BANK_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,-0.042545513,0.1950246,-0.218154597,0.827308717
TVAL_BANK_log,EJB1_UNION:Mean_prob_losingJob,0.003609133,0.028095991,0.128457228,0.897787179
TVAL_BANK_log,EJB1_UNION:h_1,1.369509299,29.14728521,0.046985827,0.962524536
TVAL_BANK_log,EJB1_UNION:h_3,-2.703530779,49.64072329,-0.054461954,0.956567134
TVAL_BANK_log,EJB1_UNION:h_12,2.364890488,37.53896295,0.06299829,0.949767882
TVAL_BANK_log,EJB1_UNION:YearAgoPessimistic_HF,-0.002634784,0.011863795,-0.22208613,0.824246894
TVAL_BANK_log,EJB1_UNION:YearAheadPessimistic_HF,0.000859964,0.01163279,0.073925868,0.941069392
TVAL_BANK_log,EJB1_UNION:College,0.00732061,0.028329702,0.258407578,0.796092438
TVAL_BANK_log,EJB1_UNION:Easier_side_ago,-0.157551922,1.131078088,-0.139293585,0.889218195
TVAL_BANK_log,EJB1_UNION:Harder_side_ahead,0.018351254,1.54181805,0.011902347,0.990503528
TVAL_BANK_log,EJB1_UNION:UMICH_Consumer_Index,0.000563854,0.008562297,0.065853124,0.947494779
TVAL_BANK_log,EJB1_UNION:Gas,-0.014631446,0.053746185,-0.27223227,0.785443504
TVAL_BANK_log,EJB1_UNION:Food,0.063465136,0.11900765,0.533286184,0.593835645
TVAL_BANK_log,EJB1_UNION:Medical,0.007800416,0.037841226,0.206135395,0.836685206
TVAL_STMF_log,EJB1_UNION:College,-0.003372081,0.030963487,-0.108905069,0.913277815
TVAL_BANK_log,EJB1_UNION:Rent,-0.014438963,0.160582522,-0.089916158,0.928353865
TVAL_BANK_log,EJB1_UNION:Gold,-0.002647714,0.051606231,-0.0513061,0.959081621
TVAL_BANK_log,EJB1_UNION:Mean_prob_higher_unemploy_us_oneYear,-0.004090808,0.018855833,-0.216951846,0.82824593
TVAL_BANK_log,EJB1_UNION:CPI_change_rate,-0.006011176,0.034425939,-0.174611836,0.861384694
TVAL_STMF_log,(Intercept),-4.17130351,6.482293623,-0.643491911,0.519905154
TVAL_STMF_log,EJB1_UNION,8.390760735,18.37600159,0.456615151,0.647947817
TVAL_STMF_log,Median_oneYear_ahead_uncertainty_inflation,-0.035594384,0.092872358,-0.383261338,0.701526109
TVAL_STMF_log,Median_threeYear_ahead_uncertainty_inflation,0.006228739,0.075135389,0.082900201,0.933930916
TVAL_STMF_log,Mean_prob_losingJob,0.003356399,0.010837231,0.309709997,0.756781584
TVAL_STMF_log,h_1,3.770263767,11.2425778,0.335355808,0.737356791
TVAL_STMF_log,h_3,-7.996906553,19.14582391,-0.417684117,0.676178203
TVAL_STMF_log,h_12,9.949946104,14.47510983,0.687383117,0.491841542
TVAL_STMF_log,YearAgoPessimistic_HF,0.001763142,0.004583195,0.384697236,0.70046185
TVAL_STMF_log,YearAheadPessimistic_HF,0.001491147,0.004487307,0.332303279,0.739660355
TVAL_STMF_log,Harder_side_ago,0.501338831,0.729208246,0.687511192,0.491760858
TVAL_STMF_log,Easier_side_ago,-0.112279944,0.43614623,-0.257436465,0.796841926
TVAL_STMF_log,Harder_side_ahead,-0.187575699,0.596333664,-0.31454823,0.753104777
TVAL_STMF_log,UMICH_Consumer_Index,-0.000845733,0.003305433,-0.255861544,0.798057819
TVAL_STMF_log,Gas,-0.000162585,0.020724338,-0.007845117,0.993740569
TVAL_STMF_log,Food,-0.008965771,0.045856582,-0.195517657,0.844987768
TVAL_STMF_log,Medical,-0.009348043,0.014596613,-0.640425484,0.521896211
TVAL_STMF_log,College,0.000702132,0.010910168,0.064355725,0.948687
TVAL_STMF_log,Rent,-0.028046097,0.061845559,-0.453486025,0.650198932
TVAL_STMF_log,Gold,0.011688916,0.019907738,0.587154404,0.557100185
TVAL_STMF_log,Mean_prob_higher_unemploy_us_oneYear,0.001039883,0.007273082,0.142976884,0.886308475
TVAL_STMF_log,CPI_change_rate,0.004426044,0.013298036,0.332834387,0.739259391
TVAL_STMF_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,0.071193781,0.263643879,0.270037678,0.78713134
TVAL_STMF_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,0.015579089,0.213155848,0.073087787,0.941736279
TVAL_STMF_log,EJB1_UNION:Mean_prob_losingJob,-0.000372927,0.030708047,-0.012144261,0.990310523
TVAL_STMF_log,EJB1_UNION:h_1,-2.9924157,31.85708002,-0.093932517,0.925162788
TVAL_STMF_log,EJB1_UNION:h_3,8.526766734,54.25577314,0.157158699,0.875119818
TVAL_STMF_log,EJB1_UNION:h_12,-14.53758846,41.02892388,-0.354325366,0.723095158
TVAL_STMF_log,EJB1_UNION:YearAgoPessimistic_HF,-0.004763494,0.01296676,-0.367361938,0.71334916
TVAL_STMF_log,EJB1_UNION:YearAheadPessimistic_HF,-0.001537004,0.012714279,-0.12088804,0.903779747
TVAL_BOND_log,EJB1_UNION:College,-0.006485143,0.014709945,-0.440867952,0.65930872
TVAL_STMF_log,EJB1_UNION:Easier_side_ago,0.619826081,1.236233319,0.501382766,0.61610191
TVAL_STMF_log,EJB1_UNION:Harder_side_ahead,0.666672696,1.685159377,0.395614032,0.692389894
TVAL_STMF_log,EJB1_UNION:UMICH_Consumer_Index,0.002182097,0.009358325,0.233171745,0.815628108
TVAL_STMF_log,EJB1_UNION:Gas,0.019120945,0.058742915,0.325502144,0.744801149
TVAL_STMF_log,EJB1_UNION:Food,-0.001591989,0.130071676,-0.012239325,0.990234679
TVAL_STMF_log,EJB1_UNION:Medical,0.007261315,0.041359288,0.175566738,0.860634382
TVAL_RENT_log,EJB1_UNION:College,0.018016199,0.021352895,0.843735646,0.398817407
TVAL_STMF_log,EJB1_UNION:Rent,0.102329942,0.175511723,0.583037644,0.55986813
TVAL_STMF_log,EJB1_UNION:Gold,-0.021973923,0.056404012,-0.389580851,0.696846622
TVAL_STMF_log,EJB1_UNION:Mean_prob_higher_unemploy_us_oneYear,-0.002298701,0.020608841,-0.111539565,0.911188522
TVAL_STMF_log,EJB1_UNION:CPI_change_rate,-0.010830491,0.037626485,-0.287842235,0.773467583
TVAL_BOND_log,(Intercept),0.052448116,3.079568551,0.017030995,0.986411893
TVAL_BOND_log,EJB1_UNION,-0.458703091,8.72995885,-0.052543557,0.958095603
TVAL_BOND_log,Median_oneYear_ahead_uncertainty_inflation,-0.010201764,0.044121234,-0.231221187,0.817143032
TVAL_BOND_log,Median_threeYear_ahead_uncertainty_inflation,0.002069633,0.035694863,0.057981261,0.95376357
TVAL_BOND_log,Mean_prob_losingJob,9.18E-05,0.005148486,0.017824274,0.985779045
TVAL_BOND_log,h_1,-0.918349093,5.341055351,-0.171941505,0.863483562
TVAL_BOND_log,h_3,1.219628633,9.095681347,0.13408876,0.893332423
TVAL_BOND_log,h_12,-0.140695385,6.876746965,-0.020459584,0.983676758
TVAL_BOND_log,YearAgoPessimistic_HF,0.001689392,0.002177356,0.775891455,0.437813317
TVAL_BOND_log,YearAheadPessimistic_HF,0.000296049,0.002131802,0.138872665,0.889550808
TVAL_BOND_log,Harder_side_ago,0.160530267,0.34642781,0.463387357,0.643086871
TVAL_BOND_log,Easier_side_ago,-0.046037801,0.207201693,-0.222188344,0.824167327
TVAL_BOND_log,Harder_side_ahead,0.001423391,0.283302563,0.005024278,0.995991224
TVAL_BOND_log,UMICH_Consumer_Index,0.000317613,0.001570325,0.202259257,0.839714103
TVAL_BOND_log,Gas,-0.0072225,0.009845592,-0.733577032,0.463206787
TVAL_BOND_log,Food,0.005661421,0.021785265,0.259873881,0.794961129
TVAL_BOND_log,Medical,-0.003384521,0.00693447,-0.488072025,0.625498965
TVAL_BOND_log,College,0.00220522,0.005183136,0.425460608,0.670501052
TVAL_BOND_log,Rent,-0.005502051,0.029381211,-0.187264279,0.851453478
TVAL_BOND_log,Gold,0.001256194,0.009457647,0.132823068,0.894333345
TVAL_BOND_log,Mean_prob_higher_unemploy_us_oneYear,-0.000339636,0.003455252,-0.098295666,0.921697545
TVAL_BOND_log,CPI_change_rate,0.000575124,0.00631755,0.091035958,0.927464043
TVAL_BOND_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,0.002809012,0.125250327,0.022427186,0.982107201
TVAL_BOND_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,0.005773553,0.101264781,0.057014425,0.95453372
TVAL_BOND_log,EJB1_UNION:Mean_prob_losingJob,-0.000147243,0.014588592,-0.010093014,0.99194708
TVAL_BOND_log,EJB1_UNION:h_1,2.584270891,15.13446744,0.170754002,0.864417244
TVAL_BOND_log,EJB1_UNION:h_3,-3.887470026,25.77550207,-0.150820342,0.880117479
TVAL_BOND_log,EJB1_UNION:h_12,1.904694928,19.49177113,0.097717899,0.922156328
TVAL_BOND_log,EJB1_UNION:YearAgoPessimistic_HF,-0.00182927,0.006160169,-0.296951275,0.766503789
TVAL_BOND_log,EJB1_UNION:YearAheadPessimistic_HF,-0.001294421,0.006040222,-0.214300188,0.830313029
TVAL_RE_log,EJB1_UNION:College,-0.010795803,0.021470422,-0.502822112,0.61508949
