"Ast_var","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"TVAL_BANK_proportion",0.00392195741554337,0.00386872765928414,0.335718409569071,73.6797928670903,0,41,-251225.179148615,502536.35829723,503033.03367279,86471.5133929588,767225,767267
"TVAL_STMF_proportion",0.000109766934315697,5.63334571015428e-05,0.101536189973383,2.05427271512943,8.12864592679291e-05,41,666316.783111274,-1332547.56622255,-1332050.89084699,7909.78122911814,767225,767267
"TVAL_BOND_proportion",0.000157144522182096,0.00010371357679495,0.0387570053495204,2.94107695538062,9.19524630598653e-10,41,1405274.51859012,-2810463.03718024,-2809966.36180468,1152.45286435866,767225,767267
"TVAL_RENT_proportion",0.000232174769428468,0.000178747833608606,0.0872669124722067,4.34565010823278,5.09616170856835e-19,41,782514.693671644,-1564943.38734329,-1564446.71196773,5842.81273818797,767225,767267
"TVAL_RE_proportion",0.000324502313713639,0.000271080311816996,0.0757674018155918,6.0743196097663,1.33071332194499e-31,41,890932.00408987,-1781778.00817974,-1781281.33280418,4404.40792675308,767225,767267
"TVAL_OTH_proportion",0.000536164040151181,0.000482753349318243,0.10534806251932,10.0385153569263,1.17011609483527e-62,41,638039.57000768,-1275993.14001536,-1275496.4646398,8514.82744834487,767225,767267
"TVAL_RET_proportion",0.00186450506321176,0.00181116535805048,0.277657189752774,34.9552937642252,1.05494343466476e-273,41,-105532.286292038,211150.572584076,211647.247959636,59148.0720622996,767225,767267
"TVAL_BUS_proportion",0.000101029481447355,4.7595537309264e-05,0.0496157632065881,1.89073599333176,0.000492418645370654,41,1215761.81986758,-2431437.63973516,-2430940.9643596,1888.69616411557,767225,767267
"TVAL_HOME_proportion",0.00636444792492311,0.00631134869375216,0.35643723081546,119.859511796726,0,41,-297173.279464023,594432.558928047,594929.234303606,97474.0178126291,767225,767267
"TVAL_VEH_proportion",0.00283953019767207,0.00278624259721338,0.288802830117801,53.2868842513362,0,41,-135729.601467877,271545.202935754,272041.878311314,63991.9928744713,767225,767267
"TVAL_ESAV_proportion",8.28535608848176e-05,2.94186454375955e-05,0.0369514863906921,1.55055098695973,0.0134470920212538,41,1441877.48878602,-2883668.97757204,-2883172.30219648,1047.57848752927,767225,767267
