Ast_var,term,estimate,std.error,statistic,p.value
TVAL_BANK_proportion,(Intercept),-0.164712108,0.611534735,-0.269342196,0.787666436
TVAL_BANK_proportion,EJB1_UNION,-0.088243563,1.733578254,-0.050902555,0.959403183
TVAL_BANK_proportion,Median_oneYear_ahead_uncertainty_inflation,0.001543141,0.008761509,0.17612731,0.860193972
TVAL_BANK_proportion,Median_threeYear_ahead_uncertainty_inflation,-0.006495658,0.007088216,-0.916402353,0.359456189
TVAL_BANK_proportion,Mean_prob_losingJob,-0.002307765,0.001022376,-2.25725603,0.023992361
TVAL_BANK_proportion,h_1,-0.603403098,1.060616386,-0.568917382,0.569412375
TVAL_BANK_proportion,h_3,0.689924635,1.806202716,0.381975195,0.702479869
TVAL_BANK_proportion,h_12,0.224898938,1.365571041,0.164692228,0.869186278
TVAL_BANK_proportion,YearAgoPessimistic_HF,0.002292052,0.000432375,5.301072153,1.15E-07
TVAL_BANK_proportion,YearAheadPessimistic_HF,0.000198394,0.000423329,0.468652268,0.639318344
TVAL_BANK_proportion,Harder_side_ago,0.177880659,0.068792961,2.585739256,0.009717223
TVAL_BANK_proportion,Easier_side_ago,-0.036958157,0.041145709,-0.898226274,0.369065211
TVAL_BANK_proportion,Harder_side_ahead,-0.091742123,0.056257672,-1.630748653,0.102943776
TVAL_BANK_proportion,UMICH_Consumer_Index,0.000225733,0.000311832,0.723893311,0.469131457
TVAL_BANK_proportion,Gas,-0.009178,0.001955119,-4.694344336,2.68E-06
TVAL_BANK_proportion,Food,0.007662483,0.004326076,1.771231806,0.076522559
TVAL_BANK_proportion,Medical,0.000393355,0.001377034,0.285653565,0.77514355
TVAL_BANK_proportion,College,0.002636794,0.001029257,2.561842049,0.010412055
TVAL_BANK_proportion,Rent,-0.015592287,0.005834464,-2.67244549,0.00753022
TVAL_BANK_proportion,Gold,-0.001688547,0.001878081,-0.899080829,0.368609891
TVAL_BANK_proportion,Mean_prob_higher_unemploy_us_oneYear,-0.000543935,0.000686137,-0.792749401,0.427924087
TVAL_BANK_proportion,CPI_change_rate,-0.000813666,0.001254527,-0.648584403,0.516607234
TVAL_BANK_proportion,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,-0.004482555,0.024871966,-0.180225215,0.856975812
TVAL_BANK_proportion,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,0.000801637,0.020108963,0.039864654,0.968201041
TVAL_BANK_proportion,EJB1_UNION:Mean_prob_losingJob,0.001850762,0.002896974,0.638860382,0.522913954
TVAL_BANK_proportion,EJB1_UNION:h_1,0.308123015,3.005373116,0.102524047,0.918340753
TVAL_BANK_proportion,EJB1_UNION:h_3,-0.474875763,5.118449082,-0.092777276,0.926080529
TVAL_BANK_proportion,EJB1_UNION:h_12,0.270331815,3.87063801,0.069841668,0.9443197
TVAL_BANK_proportion,EJB1_UNION:YearAgoPessimistic_HF,-0.001638684,0.001223274,-1.3395881,0.180379692
TVAL_BANK_proportion,EJB1_UNION:YearAheadPessimistic_HF,6.85E-05,0.001199456,0.057130448,0.954441297
TVAL_BANK_proportion,EJB1_UNION:Harder_side_ago,0.035150088,0.19497574,0.180279289,0.856933362
TVAL_BANK_proportion,EJB1_UNION:Easier_side_ago,-0.023514522,0.116625327,-0.201624492,0.84021035
TVAL_BANK_proportion,EJB1_UNION:Harder_side_ahead,0.028267809,0.158976676,0.177811047,0.858871419
TVAL_BANK_proportion,EJB1_UNION:UMICH_Consumer_Index,-0.000249149,0.000882857,-0.28220779,0.777784261
TVAL_BANK_proportion,EJB1_UNION:Gas,0.004996302,0.005541763,0.901572692,0.367284186
TVAL_BANK_proportion,EJB1_UNION:Food,-0.004501934,0.012270865,-0.366879964,0.713708658
TVAL_BANK_proportion,EJB1_UNION:Medical,-0.000266203,0.003901804,-0.068225674,0.945606007
TVAL_BANK_proportion,EJB1_UNION:College,-0.000638304,0.002921072,-0.218517102,0.827026293
TVAL_BANK_proportion,EJB1_UNION:Rent,0.000508089,0.016557645,0.030686049,0.975519925
TVAL_BANK_proportion,EJB1_UNION:Gold,0.00331257,0.005321112,0.622533459,0.533591335
TVAL_BANK_proportion,EJB1_UNION:Mean_prob_higher_unemploy_us_oneYear,0.000405379,0.001944223,0.208504552,0.834835084
TVAL_BANK_proportion,EJB1_UNION:CPI_change_rate,0.001654078,0.003549654,0.465982768,0.641227967
TVAL_STMF_proportion,(Intercept),-0.060453194,0.184955323,-0.326852958,0.743779192
TVAL_STMF_proportion,EJB1_UNION,0.229858079,0.524311226,0.438400072,0.661096418
TVAL_STMF_proportion,Median_oneYear_ahead_uncertainty_inflation,-0.000297432,0.00264987,-0.112244122,0.910629876
TVAL_STMF_proportion,Median_threeYear_ahead_uncertainty_inflation,0.000310219,0.002143792,0.144705643,0.884943321
TVAL_STMF_proportion,Mean_prob_losingJob,-6.96E-05,0.000309212,-0.225119735,0.821886188
TVAL_STMF_proportion,h_1,0.081546707,0.320777604,0.254215711,0.799328982
TVAL_STMF_proportion,h_3,-0.154712332,0.546276096,-0.283212706,0.777013865
TVAL_STMF_proportion,h_12,0.153326441,0.413009465,0.371241955,0.710457429
TVAL_STMF_proportion,YearAgoPessimistic_HF,0.000113215,0.000130769,0.865763279,0.386620261
TVAL_STMF_proportion,YearAheadPessimistic_HF,2.61E-05,0.000128034,0.203947933,0.838394241
TVAL_STMF_proportion,Harder_side_ago,-0.001919958,0.020806053,-0.09227882,0.92647654
TVAL_STMF_proportion,Easier_side_ago,-5.94E-05,0.012444294,-0.004773574,0.996191255
TVAL_STMF_proportion,Harder_side_ahead,-0.001752729,0.017014824,-0.103011899,0.917953554
TVAL_STMF_proportion,UMICH_Consumer_Index,1.01E-05,9.43E-05,0.1068559,0.914903327
TVAL_STMF_proportion,Gas,-9.33E-05,0.000591315,-0.157778147,0.874631661
TVAL_STMF_proportion,Food,0.000205083,0.001308398,0.156743668,0.875446912
TVAL_STMF_proportion,Medical,-5.33E-05,0.000416476,-0.127975767,0.898168184
TVAL_STMF_proportion,College,-1.44E-05,0.000311293,-0.046117289,0.963216778
TVAL_STMF_proportion,Rent,8.11E-05,0.001764602,0.045940621,0.963357589
TVAL_STMF_proportion,Gold,-6.54E-05,0.000568015,-0.115097023,0.90836825
TVAL_STMF_proportion,Mean_prob_higher_unemploy_us_oneYear,-4.70E-05,0.000207518,-0.226396847,0.82089284
TVAL_STMF_proportion,CPI_change_rate,-5.51E-05,0.000379425,-0.145197882,0.884554676
TVAL_STMF_proportion,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,0.001561317,0.00752239,0.207555956,0.835575753
TVAL_STMF_proportion,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,-0.000923292,0.006081846,-0.151811096,0.87933597
TVAL_STMF_proportion,EJB1_UNION:Mean_prob_losingJob,2.90E-05,0.000876174,0.033077089,0.973613122
TVAL_STMF_proportion,EJB1_UNION:h_1,-0.187981989,0.9089586,-0.206810287,0.836158077
TVAL_STMF_proportion,EJB1_UNION:h_3,0.378027727,1.548046826,0.244196571,0.807078648
