Ast_var,term,estimate,std.error,statistic,p.value
TDEBT_HOME_log,(Intercept),6.384997811,9.916160672,0.64389818,0.519641654
TDEBT_HOME_log,EJB1_UNION,3.655706166,28.11032558,0.130048517,0.896528075
TDEBT_HOME_log,Median_oneYear_ahead_uncertainty_inflation,-0.055436681,0.142069655,-0.390207756,0.696383035
TDEBT_HOME_log,Median_threeYear_ahead_uncertainty_inflation,0.125388467,0.114936877,1.0909333,0.275302576
TDEBT_HOME_log,Mean_prob_losingJob,0.005286902,0.01657804,0.318909957,0.749794881
TDEBT_HOME_log,h_1,-0.318648841,17.19811141,-0.01852813,0.985217542
TDEBT_HOME_log,h_3,2.461188863,29.28794608,0.084034191,0.933029269
TDEBT_HOME_log,h_12,-4.964890533,22.14301344,-0.22421928,0.822586742
TDEBT_HOME_log,YearAgoPessimistic_HF,-0.00184399,0.007011052,-0.263011948,0.792541441
TDEBT_HOME_log,YearAheadPessimistic_HF,-0.002938992,0.006864369,-0.428151783,0.668540739
TDEBT_HOME_log,Harder_side_ago,-2.372694582,1.115491916,-2.127038797,0.033417178
TDEBT_HOME_log,Easier_side_ago,0.619751412,0.667186084,0.928903385,0.352939451
TDEBT_HOME_log,Harder_side_ahead,0.587230453,0.912229648,0.643730945,0.519750112
TDEBT_HOME_log,UMICH_Consumer_Index,0.001947586,0.005056421,0.385170753,0.700111017
TDEBT_HOME_log,Gas,0.047792249,0.031702647,1.507516047,0.131678846
TDEBT_HOME_log,Food,-0.05788021,0.0701482,-0.825113254,0.409307552
TDEBT_HOME_log,Medical,-0.019439698,0.022328881,-0.870607812,0.383968602
TDEBT_HOME_log,College,-0.010544767,0.016689614,-0.631816115,0.527507231
TDEBT_HOME_log,Rent,0.131080603,0.094607023,1.3855272,0.165891724
TDEBT_HOME_log,Gold,-0.003465012,0.030453469,-0.113780538,0.909411796
TDEBT_HOME_log,Mean_prob_higher_unemploy_us_oneYear,0.007400216,0.011125854,0.665136889,0.505963142
TDEBT_HOME_log,CPI_change_rate,-0.004481284,0.020342408,-0.220292709,0.825643257
TDEBT_HOME_log,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,0.033737703,0.403304018,0.083653278,0.933332127
TDEBT_HOME_log,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,-0.020930541,0.32607095,-0.064190144,0.948818842
TDEBT_HOME_log,EJB1_UNION:Mean_prob_losingJob,-0.018411702,0.046975029,-0.39194657,0.695097801
TDEBT_HOME_log,EJB1_UNION:h_1,-3.876504419,48.73273912,-0.079546204,0.936598203
TDEBT_HOME_log,EJB1_UNION:h_3,6.4725307,82.99669764,0.0779854,0.937839687
TDEBT_HOME_log,EJB1_UNION:h_12,-5.598728013,62.76318617,-0.089204012,0.9289198
TDEBT_HOME_log,EJB1_UNION:YearAgoPessimistic_HF,0.014695484,0.019835646,0.740862422,0.458777089
TDEBT_HOME_log,EJB1_UNION:YearAheadPessimistic_HF,0.004172654,0.019449417,0.214538761,0.830127001
TDEBT_HOME_log,EJB1_UNION:Harder_side_ago,1.038876006,3.161571461,0.32859482,0.742462053
TDEBT_HOME_log,EJB1_UNION:Easier_side_ago,-0.570569776,1.89110351,-0.30171261,0.762871236
TDEBT_HOME_log,EJB1_UNION:Harder_side_ahead,-0.356068236,2.577839282,-0.138126624,0.890140381
TDEBT_HOME_log,EJB1_UNION:UMICH_Consumer_Index,0.003758072,0.014315713,0.262513795,0.792925422
TDEBT_HOME_log,EJB1_UNION:Gas,-0.064359042,0.089860815,-0.71620808,0.473863092
TDEBT_HOME_log,EJB1_UNION:Food,0.041909,0.198974578,0.210624896,0.83318004
TDEBT_HOME_log,EJB1_UNION:Medical,0.006368321,0.063268554,0.100655393,0.919824049
TDEBT_HOME_log,EJB1_UNION:College,0.027226017,0.047365783,0.574803477,0.565424384
TDEBT_HOME_log,EJB1_UNION:Rent,-0.107706703,0.268485593,-0.401163808,0.688299637
TDEBT_HOME_log,EJB1_UNION:Gold,-0.021614598,0.086282924,-0.250508406,0.802194272
TDEBT_HOME_log,EJB1_UNION:Mean_prob_higher_unemploy_us_oneYear,-0.008719362,0.031525968,-0.276577134,0.782104899
TDEBT_HOME_log,EJB1_UNION:CPI_change_rate,0.002365315,0.057558372,0.041094189,0.967220818
TDEBT_VEH_log,(Intercept),8.755209849,7.777974022,1.125641436,0.260317674
TDEBT_VEH_log,EJB1_UNION,-8.925329241,22.04899551,-0.404795277,0.685628114
TDEBT_VEH_log,Median_oneYear_ahead_uncertainty_inflation,-0.036559074,0.111435678,-0.328073333,0.742856306
TDEBT_VEH_log,Median_threeYear_ahead_uncertainty_inflation,0.128830742,0.090153445,1.429016298,0.152999956
TDEBT_VEH_log,Mean_prob_losingJob,-0.001056378,0.013003376,-0.081238747,0.935252107
TDEBT_VEH_log,h_1,0.927175869,13.48974348,0.068731913,0.945203034
TDEBT_VEH_log,h_3,1.822900325,22.97268986,0.079350757,0.936753656
TDEBT_VEH_log,h_12,-8.888271423,17.36839377,-0.511749764,0.6088263
TDEBT_VEH_log,YearAgoPessimistic_HF,-0.000219931,0.005499284,-0.039992662,0.968098987
TDEBT_VEH_log,YearAheadPessimistic_HF,-0.002690783,0.005384229,-0.499752747,0.61724933
