Ast_var,term,estimate,std.error,statistic,p.value
TDEBT_HOME_proportion,(Intercept),1.239154657,0.493214498,2.512405175,0.011991413
TDEBT_HOME_proportion,EJB1_UNION,0.644725373,1.323724072,0.487054203,0.626220112
TDEBT_HOME_proportion,Median_oneYear_ahead_uncertainty_inflation,-0.005705217,0.008705748,-0.655339082,0.512249734
TDEBT_HOME_proportion,Median_threeYear_ahead_uncertainty_inflation,0.00427972,0.007124647,0.600692175,0.548045277
TDEBT_HOME_proportion,Mean_prob_losingJob,-0.000954455,0.001074092,-0.888615856,0.374209951
TDEBT_HOME_proportion,h_1,-3.111715145,0.954931219,-3.258575155,0.001119799
TDEBT_HOME_proportion,h_3,4.926260202,1.605681109,3.068019033,0.002154932
TDEBT_HOME_proportion,h_12,-2.687261112,1.161138331,-2.314333306,0.020649809
TDEBT_HOME_proportion,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,0.009116157,0.02343903,0.388930619,0.69732762
TDEBT_HOME_proportion,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,-0.000760447,0.019188492,-0.039630394,0.96838781
TDEBT_HOME_proportion,EJB1_UNION:Mean_prob_losingJob,0.000539739,0.002887171,0.186943795,0.851704769
TDEBT_HOME_proportion,EJB1_UNION:h_1,0.155728053,2.564736438,0.06071893,0.951583077
TDEBT_HOME_proportion,EJB1_UNION:h_3,0.006188152,4.31205328,0.001435082,0.998854971
TDEBT_HOME_proportion,EJB1_UNION:h_12,-0.762752101,3.117182794,-0.244692773,0.806694415
TDEBT_VEH_proportion,(Intercept),1.290199755,0.360378249,3.580126596,0.000343457
TDEBT_VEH_proportion,EJB1_UNION,-0.057264321,0.967208721,-0.059205754,0.952788248
TDEBT_VEH_proportion,Median_oneYear_ahead_uncertainty_inflation,0.000930257,0.00636105,0.146242689,0.88372986
TDEBT_VEH_proportion,Median_threeYear_ahead_uncertainty_inflation,0.006855569,0.005205783,1.316914008,0.187867993
TDEBT_VEH_proportion,Mean_prob_losingJob,-0.000915299,0.000784809,-1.166269014,0.243506197
TDEBT_VEH_proportion,h_1,-2.239164807,0.697741941,-3.20915897,0.001331314
TDEBT_VEH_proportion,h_3,3.760805267,1.173226962,3.205522366,0.001348252
TDEBT_VEH_proportion,h_12,-2.685132776,0.848411798,-3.164893254,0.001551482
TDEBT_VEH_proportion,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,-0.005616944,0.017126254,-0.327972709,0.742932421
TDEBT_VEH_proportion,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,0.000927387,0.014020502,0.066145084,0.947262341
TDEBT_VEH_proportion,EJB1_UNION:Mean_prob_losingJob,0.00012418,0.002109577,0.058865121,0.953059561
TDEBT_VEH_proportion,EJB1_UNION:h_1,-0.421201651,1.873982277,-0.224762878,0.822163829
TDEBT_VEH_proportion,EJB1_UNION:h_3,0.598288569,3.150698567,0.189890767,0.849394797
TDEBT_VEH_proportion,EJB1_UNION:h_12,-0.134588903,2.277639613,-0.059091395,0.952879333
TDEBT_RENT_proportion,(Intercept),0.167940012,0.131290721,1.279146081,0.200846153
TDEBT_RENT_proportion,EJB1_UNION,-0.46125391,0.352367355,-1.309014309,0.190530045
TDEBT_RENT_proportion,Median_oneYear_ahead_uncertainty_inflation,8.27E-05,0.002317418,0.035678139,0.971539015
TDEBT_RENT_proportion,Median_threeYear_ahead_uncertainty_inflation,0.000638852,0.001896538,0.33685194,0.736228644
TDEBT_RENT_proportion,Mean_prob_losingJob,-0.000117336,0.000285917,-0.410386212,0.681522817
TDEBT_RENT_proportion,h_1,-0.296708341,0.254196925,-1.167238122,0.24311472
TDEBT_RENT_proportion,h_3,0.498814039,0.427422616,1.167027715,0.243199678
TDEBT_RENT_proportion,h_12,-0.35699364,0.309088013,-1.154990245,0.248094918
TDEBT_RENT_proportion,EJB1_UNION:Median_oneYear_ahead_uncertainty_inflation,0.000248179,0.006239328,0.039776616,0.968271233
TDEBT_RENT_proportion,EJB1_UNION:Median_threeYear_ahead_uncertainty_inflation,-0.002941157,0.005107861,-0.575810028,0.564743827
TDEBT_RENT_proportion,EJB1_UNION:Mean_prob_losingJob,0.000312799,0.000768548,0.406999901,0.684008218
TDEBT_RENT_proportion,EJB1_UNION:h_1,0.921212123,0.682717354,1.349331635,0.177231018
TDEBT_RENT_proportion,EJB1_UNION:h_3,-1.549568711,1.147842547,-1.349983685,0.177021766
TDEBT_RENT_proportion,EJB1_UNION:h_12,1.114838335,0.829775238,1.343542545,0.179096908
