year,MONTHCODE,YearAgoPessimistic_HF,YearAheadPessimistic_HF
2017,1,69.94,57.3
2017,2,68.82,59.95
2017,3,67.77,56.9
2017,4,67.43,55.57
2017,5,67.58,58.95
2017,6,65.23,56.34
2017,7,65.29,58.58
2017,8,67.35,57.74
2017,9,67.74,59.71
2017,10,65.43,59.08
2017,11,66.6,57.84
2017,12,63,56.83
2018,1,61.32,54.35
2018,2,59.77,54.44
2018,3,59.62,56.04
2018,4,61.79,55.94
2018,5,64.71,58.32
2018,6,64.31,57.58
2018,7,63.01,58.64
2018,8,62.75,55.95
2018,9,65.13,60.24
2018,10,62.85,58.46
2018,11,64.35,57.47
2018,12,64.16,59.34
2019,1,66.52,61.41
2019,2,63.86,57.9
2019,3,64.47,59.16
2019,4,60.39,57.7
2019,5,65.17,59.56
2019,6,64.4,55.83
2019,7,64.26,55.89
2019,8,66.36,59.46
2019,9,65.91,61.63
2019,10,67.21,59.72
2019,11,63.13,55.76
2019,12,63.69,55.83
2020,1,64.47,57.19
2020,2,63.41,57.14
2020,3,74.15,68.78
2020,4,82.62,73.37
2020,5,78.74,72.93
2020,6,77.31,70.3
2020,7,79,74.43
2020,8,76.86,69.87
2020,9,77.99,65.65
2020,10,77.74,69.93
2020,11,77.49,71.01
2020,12,77.32,69.37
