year,MONTHCODE,Mean_prob_losingJob
2017,1,15.33
2017,2,14.97
2017,3,14.47
2017,4,13.24
2017,5,13.64
2017,6,13.47
2017,7,13.67
2017,8,13.78
2017,9,13.79
2017,10,15.34
2017,11,13.49
2017,12,13.78
2018,1,14.90
2018,2,12.75
2018,3,13.91
2018,4,13.73
2018,5,13.96
2018,6,15.23
2018,7,14.02
2018,8,13.82
2018,9,15.99
2018,10,13.52
2018,11,14.66
2018,12,13.83
2019,1,14.50
2019,2,14.55
2019,3,14.29
2019,4,13.59
2019,5,14.72
2019,6,13.53
2019,7,13.77
2019,8,14.15
2019,9,13.36
2019,10,14.84
2019,11,14.42
2019,12,15.39
2020,1,14.74
2020,2,13.83
2020,3,18.54
2020,4,20.93
2020,5,18.65
2020,6,15.04
2020,7,16.00
2020,8,18.02
2020,9,16.59
2020,10,15.48
2020,11,14.56
2020,12,14.99
