year,MONTHCODE,DATE,CPI_change_rate
2017,1,1/1/17,3.436305775
2017,2,2/1/17,3.292346339
2017,3,3/1/17,1.914383675
2017,4,4/1/17,1.553658363
2017,5,5/1/17,2.113218871
2017,6,6/1/17,1.896833786
2017,7,7/1/17,2.122093683
2017,8,8/1/17,2.274757988
2017,9,9/1/17,2.870256771
2017,10,10/1/17,2.424963024
2017,11,11/1/17,2.420392959
2017,12,12/1/17,2.955747189
2018,1,1/1/18,4.170000418
2018,2,2/1/18,2.013279346
2018,3,3/1/18,1.961900074
2018,4,4/1/18,2.932009148
2018,5,5/1/18,2.981832551
2018,6,6/1/18,2.632117889
2018,7,7/1/18,2.111493914
2018,8,8/1/18,2.296711287
2018,9,9/1/18,2.333723356
2018,10,10/1/18,2.606262687
2018,11,11/1/18,3.723763602
2018,12,12/1/18,2.911777015
2019,1,1/1/19,3.230993906
2019,2,2/1/19,3.024512124
2019,3,3/1/19,3.207144496
2019,4,4/1/19,2.277496887
2019,5,5/1/19,2.558535146
2019,6,6/1/19,3.807345214
2019,7,7/1/19,2.469047995
2019,8,8/1/19,2.46282908
2019,9,9/1/19,3.150655203
2019,10,10/1/19,2.525719414
2019,11,11/1/19,3.450270196
2019,12,12/1/19,2.612330464
2020,1,1/1/20,3.206975634
2020,2,2/1/20,2.708630536
2020,3,3/1/20,2.966544381
2020,4,4/1/20,1.968373502
2020,5,5/1/20,2.895044266
2020,6,6/1/20,1.680370173
2020,7,7/1/20,3.610829473
2020,8,8/1/20,2.235723277
2020,9,9/1/20,1.133933044
2020,10,10/1/20,1.838456241
2020,11,11/1/20,1.218910525
2020,12,12/1/20,1.624482143
2021,1,1/1/21,1.52430226
2021,2,2/1/21,2.810390714
2021,3,3/1/21,2.356651258
2021,4,4/1/21,2.745814944
2021,5,5/1/21,3.338473539
2021,6,6/1/21,3.169493271
2021,7,7/1/21,3.581045469
2021,8,8/1/21,4.022037671
2021,9,9/1/21,5.054275017
2021,10,10/1/21,7.662852587
2021,11,11/1/21,6.245070449
2021,12,12/1/21,5.611797059
2022,1,1/1/22,6.992826311
2022,2,2/1/22,6.519554583
2022,3,3/1/22,6.350249411
2022,4,4/1/22,6.030320223
2022,5,5/1/22,7.503944114
2022,6,6/1/22,7.924919184
2022,7,7/1/22,6.423611019
2022,8,8/1/22,8.463917466
2022,9,9/1/22,8.382964302
2022,10,10/1/22,6.507748044
2022,11,11/1/22,5.765770218
2022,12,12/1/22,7.049161031
2023,1,1/1/23,8.142495355
2023,2,2/1/23,7.880495895
2023,3,3/1/23,4.907054528
2023,4,4/1/23,4.91159508
2023,5,5/1/23,4.655686343
