"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.0121135538620528,0.0119232463208975,3.29857121484391,63.6525162823576,1.81206981335636e-15,1,-13565.3381139379,27136.6762278758,27156.3414284074,56481.049560329,5191,5193,"AL"
2,0.0235996918635471,0.0215864953519256,3.23394822796618,11.7224978919413,0.000669825583008228,1,-1261.61473404184,2529.22946808368,2541.79426045293,5072.33425346532,485,487,"AK"
4,0.000126021376824233,-7.39934218600968e-05,3.17662748748768,0.630060263806267,0.427370884982035,1,-12875.3677021252,25756.7354042504,25776.2875837646,50444.7200091172,4999,5001,"AZ"
5,0.00114768131263953,0.000724259388651727,2.85719099897561,2.71049099638127,0.0998235072095119,1,-5827.78327071726,11661.5665414345,11678.8670630458,19257.7918145156,2359,2361,"AR"
6,0.00124852454580559,0.00121982561544565,3.37962304768388,43.5042188036028,4.29097885543315e-11,1,-91764.1644614014,183534.328922803,183559.70129941,397491.869518321,34801,34803,"CA"
8,0.00381212798971534,0.00365971246462193,2.71741137613386,25.0114152569429,5.84783685312235e-07,1,-15811.9260335634,31629.8520671268,31650.2082268887,48263.9455015583,6536,6538,"CO"
9,0.0122638912175353,0.0119148678575415,3.0329318855481,35.1377375364017,3.44377317333514e-09,1,-7159.62188330666,14325.2437666133,14343.0899819778,26032.2525773195,2830,2832,"CT"
10,1.17078110345805e-05,-0.00161693761598336,2.19714655562015,0.0071886801389411,0.932459093988844,1,-1357.95476052816,2721.90952105632,2735.17926194692,2964.05613394033,614,616,"DE"
11,0.0188929690518018,0.017554487427043,3.53445343752073,14.1152248206668,0.000185600938224219,1,-1969.89908341939,3945.79816683878,3959.59777833642,9156.90068776755,733,735,"DC"
12,0.00408530571689271,0.00400620208748181,3.27047404125132,51.644984526213,7.02495949427672e-13,1,-32786.9747096,65579.9494192001,65602.2718701121,134662.645722139,12590,12592,"FL"
13,0.00142220102894335,0.00129870637163798,3.20741647952542,11.5162960080682,0.000693199914066647,1,-20901.6619457635,41809.323891527,41830.3183018091,83184.8905457392,8086,8088,"GA"
15,0.0183904250097893,0.0171740562675461,2.44863516077291,15.1191200259512,0.000109235638161261,1,-1871.40444603321,3748.80889206642,3762.8962888176,4838.62201951273,807,809,"HI"
16,0.0047320989684223,0.00430912068494094,2.69547283654495,11.1875695590673,0.000836391025984141,1,-5675.75573955282,11357.5114791056,11374.804367125,17095.8951809341,2353,2355,"ID"
17,0.0018837009728171,0.00175134236003016,2.83289351660209,14.2317974867845,0.00016285397683921,1,-18556.568814682,37119.137629364,37139.9227551435,60518.679285779,7541,7543,"IL"
18,0.00139427671744006,0.00123863368076882,2.95735241264368,8.9581695863806,0.0027728372221087,1,-16064.7488921548,32135.4977843095,32155.7983697746,56113.9080051253,6416,6418,"IN"
19,0.00651284249893975,0.00610849282148707,2.87636996667317,16.1069560880337,6.16549569791854e-05,1,-6086.1744316073,12178.3488632146,12195.7713933412,20327.9997829858,2457,2459,"IA"
20,0.0161627140537248,0.0157831471995789,3.52671052830611,42.5819954434441,8.1234038978253e-11,1,-6949.11447051932,13904.2289410386,13921.8118101333,32238.4850940057,2592,2594,"KS"
21,0.000192237335813814,-8.36478084089709e-05,3.33860414231394,0.696802056360167,0.403915363367952,1,-9515.40529168511,19036.8105833702,19055.3982395442,40394.1100915306,3624,3626,"KY"
22,0.00571126716040292,0.00546150862414596,3.26617555269078,22.86715499695,1.79871636629029e-06,1,-10364.9893697155,20735.978739431,20754.8481111805,42468.9208119007,3981,3983,"LA"
23,0.0166979426496678,0.0157234113738003,2.6842779246547,17.134332230439,3.77344959843117e-05,1,-2431.81915845827,4869.63831691654,4884.3944025736,7270.19610857965,1009,1011,"ME"
24,0.000682617303386428,0.00049406685382114,2.96108858234007,3.62034301673549,0.0571312450651063,1,-13277.8349429918,26561.6698859836,26581.3974041441,46470.6416400632,5300,5302,"MD"
25,0.000118427943781663,-0.000156415808844956,3.41801117107357,0.430891889118109,0.511593152493662,1,-9637.71021094134,19281.4204218827,19300.0196387646,42502.0277299937,3638,3640,"MA"
26,0.000700978337792044,0.000585904751695621,3.01038443653724,6.0915659411541,0.0136019907115342,1,-21896.4608115555,43798.9216231109,43820.1300265502,78698.0071336949,8684,8686,"MI"
27,0.00222293529839173,0.00201037094715573,2.29677186625835,10.457705092441,0.00122984528123642,1,-10567.0807435545,21140.161487109,21159.5248861936,24761.6057604548,4694,4696,"MN"
28,0.00130995698366722,0.00102744212001338,3.22143146727724,4.63677190900751,0.031361247460344,1,-9155.45921968953,18316.9184393791,18335.4315419467,36684.8891687168,3535,3537,"MS"
29,0.0080676436820772,0.00780905860483072,2.90040559045686,31.1991850727866,2.49023705127665e-08,1,-9531.78237883133,19069.5647576627,19088.3228776924,32269.7845319924,3836,3838,"MO"
30,0.001279541971246,0.000551611608251235,2.8901530980728,1.75778073878103,0.185122260596199,1,-3406.86003590856,6819.72007181713,6835.39651623547,11460.2953243714,1372,1374,"MT"
31,0.00118035518979541,0.00063365587681774,3.15261670596572,2.15905738634726,0.141903777866331,1,-4694.35583647284,9394.71167294567,9411.24624689084,18158.5385570793,1827,1829,"NE"
32,0.00158839349723672,0.00120051020022705,3.18229406842298,4.09502937992538,0.0431126189194871,1,-6636.16890578976,13278.3378115795,13295.8997908412,26066.8865146063,2574,2576,"NV"
