"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000813163113013741,0.000620678652045403,1.64619657871659,4.22456498006465,0.039892750750887,1,-9956.0894586191,19918.1789172382,19937.8441177697,14067.4188454646,5191,5193,"AL"
2,0.0102836005743493,0.00824294820439953,2.38394948309372,5.0393691379205,0.0252274208853943,1,-1113.10642487689,2232.21284975378,2244.77764212303,2756.35934190227,485,487,"AK"
4,0.000905875956595111,0.000706017160027161,1.45727739191021,4.53257986213742,0.033304193578408,1,-8978.33744821039,17962.6748964208,17982.227075935,10616.1633274662,4999,5001,"AZ"
5,0.107853896072457,0.107475707813056,1.40944938427613,285.185733272664,1.72522559510833e-60,1,-4159.4065766471,8324.8131532942,8342.11367490545,4686.26571016695,2359,2361,"AR"
6,0.000264254844214415,0.000235527631055055,1.62803771211194,9.19876365136152,0.00242357001175063,1,-66344.444902283,132694.889804566,132720.262181173,92240.2868704339,34801,34803,"CA"
8,0.00308741265165296,0.0029348862459998,1.69538024530011,20.2418239545736,6.94255844786001e-06,1,-12727.4762646727,25460.9525293454,25481.3086891073,18786.5174553417,6536,6538,"CO"
9,4.34335595362238e-05,-0.000309907983375712,2.32366901291338,0.122922312441089,0.72591246160446,1,-6405.22703095223,12816.4540619045,12834.3002772689,15280.408638854,2830,2832,"CT"
10,0.00254712175241978,0.000922605664068654,1.27337530926185,1.56792645556691,0.21098515517262,1,-1021.93390641336,2049.86781282672,2063.13755371732,995.591592437956,614,616,"DE"
11,0.00327538964192592,0.00191560163325177,1.41727570322309,2.40875020299658,0.12109029446905,1,-1298.23979376868,2602.47958753736,2616.279199035,1472.35541708779,733,735,"DC"
12,8.03516552522424e-05,9.29919879322227e-07,1.34053738827372,1.01170863208895,0.314513182116102,1,-21556.6185430236,43119.2370860473,43141.5595369593,22624.7397610389,12590,12592,"FL"
13,0.000616815409683625,0.000493221149902467,1.43997655444739,4.99064771111431,0.0255118984035666,1,-14424.4765486722,28854.9530973444,28875.9475076265,16766.5836119182,8086,8088,"GA"
15,0.0349691619587178,0.0337733368805997,1.6631676592526,29.2427066454824,8.41725528300549e-08,1,-1558.47776132296,3122.95552264591,3137.04291939709,2232.2642168665,807,809,"HI"
16,0.000136988769564704,-0.000287942386929307,1.74467194786895,0.322378737052271,0.57023577627177,1,-4651.314028393,9308.628056786,9325.92094480535,7162.25012396701,2353,2355,"ID"
17,0.000346657135857832,0.000214094698135492,1.85267381706454,2.61504798654906,0.105896148974072,1,-15353.2925753697,30712.5851507395,30733.370276519,25883.7304544436,7541,7543,"IL"
18,0.0131315864087551,0.0129777727532702,1.14772326450157,85.3733458668275,3.29502079796909e-20,1,-9990.02073830974,19986.0414766195,20006.3420620845,8451.59592709021,6416,6418,"IN"
19,6.14746966057936e-05,-0.000345500690168254,2.17427137564122,0.151052615474143,0.697565139109931,1,-5398.05903007945,10802.1180601589,10819.5405902856,11615.3594286898,2457,2459,"IA"
20,0.00277305066339158,0.00238831804404871,1.45574351412533,7.20773473309412,0.0073052266283212,1,-4653.81668734877,9313.63337469755,9331.21624379218,5492.93835175537,2592,2594,"KS"
21,0.00357959612545903,0.0033046456828888,1.17696712519669,13.0190593330091,0.000312501101032135,1,-5734.89453757858,11475.7890751572,11494.3767313311,5020.15184838862,3624,3626,"KY"
22,0.00230332436732748,0.00205270977912553,1.53852580082216,9.19070347760355,0.002448133539062,1,-7366.60664996326,14739.2132999265,14758.0826716761,9423.27238802581,3981,3983,"LA"
23,0.0113887617670373,0.0104089686667074,1.25046799948839,11.6236394838886,0.000676954514469577,1,-1659.5224441679,3325.04488833579,3339.80097399285,1577.7432497042,1009,1011,"ME"
24,0.000174396437303684,-1.4249902991148e-05,2.1873081224666,0.924462340648154,0.336349891268754,1,-11671.936843416,23349.873686832,23369.6012049925,25356.8791598243,5300,5302,"MD"
25,0.000855918225669157,0.000581277191646579,1.91769687856209,3.11649797239923,0.0775870616996815,1,-7534.03070793304,15074.0614158661,15092.660632748,13378.9680750542,3638,3640,"MA"
26,0.00383731673189264,0.00372260430866977,1.90422017033585,33.4516229722962,7.55878693396569e-09,1,-17918.3142870262,35842.6285740523,35863.8369774916,31488.656905577,8684,8686,"MI"
27,1.89019918506706e-05,-0.000194131902058192,1.83455261539097,0.0887276268759281,0.765814171980739,1,-9511.87096997576,19029.7419399515,19049.105339036,15798.048003806,4694,4696,"MN"
28,0.000893001559273211,0.000610368745004197,1.11778977678406,3.15958202370462,0.0755684614744796,1,-5411.64200893921,10829.2840178784,10847.797120446,4416.81983726826,3535,3537,"MS"
29,0.00292961628196437,0.00266969178151666,1.59411404390372,11.2710278443025,0.000794929178498645,1,-7234.61478796264,14475.2295759253,14493.987695955,9748.04160794898,3836,3838,"MO"
30,0.00151037364280641,0.000782611524470234,0.671752491800266,2.07536721787542,0.149922067572693,1,-1401.95386357992,2809.90772715984,2825.58417157819,619.116934849097,1372,1374,"MT"
31,0.000178450270313315,-0.000368797430688295,1.45861788397469,0.326086834146126,0.568042669631401,1,-3284.6660193154,6575.33203863081,6591.86661257598,3887.06332216064,1827,1829,"NE"
32,0.00575110713894831,0.00536484105780566,1.43286791788356,14.8889778826455,0.000116828554869082,1,-4580.71573119414,9167.43146238827,9184.99344164994,5284.70635003735,2574,2576,"NV"
