"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00317530738836285,0.00298327797348874,1.45381889898094,16.5355260309681,4.84540319840508e-05,1,-9310.73610560901,18627.472211218,18647.1374117495,10971.6425288583,5191,5193,"AL"
2,0.0685666840970179,0.0666462030333005,1.72544022323872,35.7028691364928,4.45371532783593e-09,1,-955.670847687103,1917.34169537421,1929.90648774345,1443.91482252549,485,487,"AK"
4,0.000601311719163903,0.000401391997563394,0.950877479546972,3.0077658889779,0.0829280764249665,1,-6843.21074438317,13692.4214887663,13711.9736682806,4519.9357375669,4999,5001,"AZ"
5,0.000841019315180093,0.000417467394584703,1.22898601768279,1.98563452149531,0.158929879223499,1,-3835.92675289665,7677.8535057933,7695.15402740456,3563.04924408545,2359,2361,"AR"
6,0.000322807491103446,0.000294081960443116,1.33063508685507,11.2376510958472,0.000802398892178546,1,-59324.0152451294,118654.030490259,118679.402866866,61618.2933458034,34801,34803,"CA"
8,0.000439180151692593,0.000286248569708492,1.79622507633505,2.87174268385031,0.0901948470767911,1,-13105.2434328873,26216.4868657746,26236.8430255365,21087.9106944512,6536,6538,"CO"
9,2.40950195982781e-06,-0.00035094653708545,1.67155528377542,0.00681890697648243,0.934193989767842,1,-5472.38631868973,10950.7726373795,10968.6188527439,7907.29469881063,2830,2832,"CT"
10,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,614,616,"DE"
11,0.171078775235473,0.169947914082998,2.05129876732138,151.281857070585,9.65904755144815e-32,1,-1569.99621500951,3145.99243001903,3159.79204151666,3084.33692185283,733,735,"DC"
12,1.11145021202676e-05,-6.83127326293054e-05,1.75763106159704,0.139933136981317,0.708353791674628,1,-24967.7453201632,49941.4906403263,49963.8130912383,38893.8708840163,12590,12592,"FL"
13,0.00316720181733615,0.0030439229652236,1.07099101308064,25.6913636285543,4.09497012420168e-07,1,-12030.0853623842,24066.1707247685,24087.1651350506,9274.81787130448,8086,8088,"GA"
15,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,807,809,"HI"
16,0.00154935278752327,0.00112502187073071,1.23709902456331,3.65128423645205,0.0561474013547083,1,-3841.67115117953,7689.34230235906,7706.63519037841,3601.06413394214,2353,2355,"ID"
17,6.59577941513814e-06,-0.000126011753301958,1.16909052582175,0.0497391006376929,0.823523921878757,1,-11880.4668327665,23766.9336655331,23787.7187913126,10306.8326107065,7541,7543,"IL"
18,0.000608422728224471,0.00045265720807619,1.40561787716539,3.90601673364578,0.0481562685855675,1,-11290.928584411,22587.857168822,22608.157754287,12676.4865321501,6416,6418,"IN"
19,0.00103554200727196,0.0006289630662899,1.37863145603742,2.54696420028763,0.110635010509123,1,-4277.73297407615,8561.46594815231,8578.88847827896,4669.8348672019,2457,2459,"IA"
20,0.00280614230407936,0.00242142245157317,1.68351503024015,7.29398882277476,0.00696357405608279,1,-5030.8989737362,10067.7979474724,10085.380816567,7346.30564545931,2592,2594,"KS"
21,0.00557219882709336,0.00529779821970577,2.00629543956439,20.306802088164,6.8048453235905e-06,1,-7668.81822830299,15343.636456606,15362.2241127799,14587.4023203204,3624,3626,"KY"
22,0.00109096205535722,0.000840042930025819,1.15772401836462,4.34786329625518,0.0371189647686173,1,-6233.96627273076,12473.9325454615,12492.8019172111,5335.833437642,3981,3983,"LA"
23,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,1009,1011,"ME"
24,0.010436503699776,0.0102497936061344,1.65871865863116,55.8968371566032,8.88736869188653e-14,1,-10205.2646883704,20416.5293767408,20436.2568949013,14582.1422190032,5300,5302,"MD"
25,1.0799128246578e-06,-0.000273796095995316,1.7362064502968,0.00392872709878787,0.950025118374557,1,-7172.13320306292,14350.2664061258,14368.8656230077,10966.433904834,3638,3640,"MA"
26,0.000450058903778978,0.000334956423229116,1.60943578908587,3.91007128281189,0.04802913330322,1,-16457.4255941436,32920.8511882872,32942.0595917265,22494.0224280099,8684,8686,"MI"
27,0.000647510517923581,0.000434610541468095,1.67812726167221,3.04138369906748,0.0812321640788133,1,-9093.35312345918,18192.7062469184,18212.0696460029,13218.8255332889,4694,4696,"MN"
28,0.000342444559894415,5.96560010711622e-05,0.518585936650203,1.21095620459129,0.271217759137911,1,-2695.21594216424,5396.43188432848,5414.9449868961,950.672405998986,3535,3537,"MS"
29,0.00418079268610693,0.00392119435260496,1.36443285540299,16.1048517904827,6.10742458615877e-05,1,-6637.50154281137,13281.0030856227,13299.7612056524,7141.39303684047,3836,3838,"MO"
30,0.00215123032340877,0.00142393530177864,1.4276284393199,2.95785102252862,0.0856869727215769,1,-2437.78492255099,4881.56984510198,4897.24628952033,2796.30470215584,1372,1374,"MT"
31,0.00191595973091634,0.00136966304768193,1.62133250455318,3.50717804027848,0.0612630393093033,1,-3478.09925276805,6962.1985055361,6978.73307948127,4802.66977801587,1827,1829,"NE"
32,0.00312288722411382,0.00273560007851315,1.4534321279934,8.06349309443531,0.0045520588028027,1,-4617.42314260562,9240.84628521125,9258.40826447292,5437.48478305915,2574,2576,"NV"
33,0.0584675690342003,0.0575018947460303,1.79323692143903,60.5458483781277,1.82677181577779e-14,1,-1955.89173135759,3917.78346271519,3932.43692267132,3135.30619000183,975,977,"NH"
34,0.000370299374164609,0.000154116480430733,1.26293497361834,1.71289859141356,0.190674765377433,1,-7642.89527502575,15291.7905500515,15311.1088935799,7375.30195284855,4624,4626,"NJ"
35,0.00102445622450533,0.000337875094762685,0.869213317123189,1.49211241050185,0.222086874311274,1,-1862.16986003504,3730.33972007008,3746.19212448867,1099.29875541655,1455,1457,"NM"
36,7.04958599056153e-05,-3.70465690189281e-05,1.70466180034388,0.655516716617031,0.418167905827174,1,-18155.4388727223,36316.8777454445,36338.2910544819,27018.796494323,9298,9300,"NY"
37,0.000427919977126785,0.000302942222685232,1.09538976514675,3.42396916186546,0.0642932006010284,1,-12079.3901393288,24164.7802786576,24185.7418691196,9596.63014323085,7998,8000,"NC"
38,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,758,760,"ND"
39,0.000217362732006593,0.000104736547792417,1.43412468104653,1.92994847089479,0.164798928453417,1,-15799.120169438,31604.240338876,31625.5146715271,18257.4466341845,8877,8879,"OH"
40,0.0217896135161064,0.021511079806971,1.08811034357532,78.2297179890204,1.4245947772626e-18,1,-5281.88088393033,10569.7617678607,10588.2552986669,4158.15222872211,3512,3514,"OK"
41,0.00423185203502003,0.00397434798848151,1.21714357899536,16.4341185775687,5.13616808661091e-05,1,-6249.15767702693,12504.3153540539,12523.097608118,5728.72264813718,3867,3869,"OR"
42,0.00159575044190068,0.00148719284164434,0.983983403789498,14.6995736653328,0.000126915961199006,1,-12903.2861215894,25812.5722431789,25833.9527933633,8904.75004816833,9197,9199,"PA"
44,0.00642024196013899,0.00478067140231742,1.27909469811179,3.91580705661693,0.0482863248930084,1,-1011.37373668059,2028.74747336119,2041.97799800708,991.466447523041,606,608,"RI"
45,0.00139601666464926,0.0011932132561735,1.5737062663507,6.88359567100236,0.00872587509808833,1,-9222.30451397685,18450.6090279537,18470.1158756897,12194.5391563882,4924,4926,"SC"
46,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,618,620,"SD"
47,0.000602198180045626,0.000421442563872665,1.71124130711725,3.33155999683907,0.0680163075423053,1,-10818.5072335638,21643.0144671277,21662.8688388577,16190.8295190383,5529,5531,"TN"
48,0.00119723835785479,0.00114701698005704,1.31406757547866,23.8392176868521,1.05539292065971e-06,1,-33654.190287996,67314.3805759919,67338.0744931075,34342.0732160795,19888,19890,"TX"
49,0.00188807691478762,0.00153835304545158,1.6532502511126,5.39876479798732,0.0202209243776937,1,-5487.32267819497,10980.6453563899,10998.5168883603,7800.65666506221,2854,2856,"UT"
50,0.0024434742946504,0.000251042370023269,0.674379569198738,1.11450406610274,0.291665177483249,1,-467.412004521639,940.824009043278,953.198059215961,206.928450525467,455,457,"VT"
51,0.00126012049189105,0.00109980911476293,1.10401365711173,7.86045578589265,0.00506839747933982,1,-9458.49562639604,18922.9912527921,18943.2036105547,7593.41154620583,6230,6232,"VA"
53,0.00083741852763188,0.000710701649829559,1.27250861044313,6.60857923707182,0.0101670387626681,1,-13090.8580757167,26187.7161514333,26208.6350647735,12768.0083203953,7885,7887,"WA"
54,0.00262952285536357,0.00192961374859546,0.970562902547757,3.75694905229253,0.0527857405516844,1,-1981.18716127767,3968.37432255535,3984.16431140778,1342.33909561774,1425,1427,"WV"
55,0.00036695926638564,0.000215980103006386,1.39154879063098,2.4305292079544,0.119040514955007,1,-11584.983960832,23175.967921664,23196.3628328194,12820.957611034,6621,6623,"WI"
56,0.00031199896000346,-0.00171988722097205,1.11892056967021,0.153551396197623,0.695334031214566,1,-755.46164071786,1516.92328143572,1529.53088798728,615.975754685702,492,494,"WY"
61,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,139,141,NA
