"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000813237223220085,0.00062075277652851,1.41754641144899,4.22495031259592,0.0398837012231089,1,-9179.52810663355,18365.0562132671,18384.7214137986,10430.9917683244,5191,5193,"AL"
2,0.0579658646276776,0.0560235262042296,1.57654547377345,29.8433393109606,7.49841407767766e-08,1,-911.720960243194,1829.44192048639,1842.00671285564,1205.46538097464,485,487,"AK"
4,0.000559742902537506,0.000359814865510621,0.996782166454495,2.79972189424438,0.0943432262620912,1,-7078.99307199611,14163.9861439922,14183.5383235065,4966.87986212123,4999,5001,"AZ"
5,0.000304954245398718,-0.000118824917701987,0.744242474770031,0.719606511956413,0.396359075886596,1,-2651.70146361819,5309.40292723637,5326.70344884763,1306.64269569304,2359,2361,"AR"
6,4.83186140700739e-06,-2.39028062216651e-05,1.67743051903669,0.168154421324123,0.681759791622843,1,-67384.6278358455,134775.255671691,134800.628048298,97922.119260756,34801,34803,"CA"
8,0.00183725701478105,0.00168453933684576,2.24233907168874,12.0304148126142,0.000526768509900512,1,-14555.582791558,29117.165583116,29137.5217428778,32863.5603731898,6536,6538,"CO"
9,0.000972093246241936,0.000619079851629234,2.61904903150701,2.75370074075694,0.0971404114081606,1,-6744.11513701234,13494.2302740247,13512.0764893891,19412.1524573089,2830,2832,"CT"
10,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,614,616,"DE"
11,0.0065644099548066,0.00520910901340788,2.84230718631581,4.84350726417436,0.0280615036184647,1,-1809.71130114276,3625.42260228552,3639.22221378316,5921.69453363337,733,735,"DC"
12,0.000164899167633791,8.54841477105905e-05,1.69133112501494,2.07642292092075,0.149615245359137,1,-24483.5697259508,48973.1394519016,48995.4619028136,36014.9662682539,12590,12592,"FL"
13,0.0016149537843409,0.00149148296487323,1.49664032225213,13.0796393131871,0.000300341348658862,1,-14736.6408272352,29479.2816544705,29500.2760647526,18112.0922073882,8086,8088,"GA"
15,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,807,809,"HI"
16,0.00209310347569663,0.00166900364716938,1.70068409018939,4.9354027870417,0.0264067433375376,1,-4591.17682757257,9188.35365514514,9205.6465431645,6805.64395948863,2353,2355,"ID"
17,3.61993708784709e-05,-9.64042361535355e-05,1.86143246924068,0.272989337836835,0.601348860230665,1,-15388.8686363337,30783.7372726673,30804.5223984469,26129.0434459153,7541,7543,"IL"
18,0.0014113937786154,0.00125575340981532,2.01336748986821,9.06830142781425,0.00261091590835776,1,-13597.1195117795,27200.239023559,27220.539609024,26008.2097336408,6416,6418,"IN"
19,9.16739280727577e-05,-0.000315289167601707,2.01184802678889,0.225263492063935,0.63510051835413,1,-5207.14253385405,10420.2850677081,10437.7075978348,9944.78731047145,2457,2459,"IA"
20,0.00354357737801554,0.00315914202978174,1.85607348685855,9.21761589899521,0.00242082475126397,1,-5284.01978232406,10574.0395646481,10591.6224337428,8929.46278010112,2592,2594,"KS"
21,0.000623481096542885,0.000347714948942701,1.41547792559002,2.26090512547823,0.132763631374084,1,-6403.9870239185,12813.974047837,12832.5617040109,7260.96579438544,3624,3626,"KY"
22,0.00234159503476206,0.00209099005989022,1.4791840143986,9.3437691568514,0.00225229572945378,1,-7209.93896293835,14425.8779258767,14444.7472976263,8710.36967218884,3981,3983,"LA"
23,0.00903555132562241,0.00805342600483516,2.36260453072566,9.19999834479303,0.00248205440402356,1,-2302.76790273795,4611.53580547591,4626.29189113297,5632.13727012284,1009,1011,"ME"
24,0.00693044784476699,0.00674307623115289,2.95283893175023,36.9877150070183,1.2719894978316e-09,1,-13263.0428523907,26532.0857047814,26551.813222942,46212.0661113571,5300,5302,"MD"
25,0.00651718177317693,0.00624409688636374,2.56095264091398,23.8650400951419,1.0778376359478e-06,1,-8586.91669128143,17179.8333825629,17198.4325994448,23859.7445247175,3638,3640,"MA"
26,0.000302413721132594,0.000187294238603974,2.0910987871832,2.62695518160717,0.1050993243134,1,-18731.4723998729,37468.9447997459,37490.1532031852,37972.4758922996,8684,8686,"MI"
27,0.0012335312722021,0.00102075614038954,2.32075554583336,5.79734700053761,0.0160887094194481,1,-10615.8637228749,21237.7274457498,21257.0908448344,25281.4441887055,4694,4696,"MN"
28,0.0135806323011129,0.0133015886327398,0.919665809446333,48.6684839698817,3.60258990047864e-12,1,-4721.57950750493,9449.15901500986,9467.67211757748,2989.85068576329,3535,3537,"MS"
29,0.0169237660544391,0.0166674896639425,1.69884069854619,66.0371641009718,5.91053290228805e-16,1,-7478.81887102857,14963.6377420571,14982.3958620869,11070.9250822255,3836,3838,"MO"
30,0.00165144690515195,0.000923787609893312,1.18720064776498,2.26953316739391,0.132169835033058,1,-2184.39665917568,4374.79331835135,4390.4697627697,1933.75905868952,1372,1374,"MT"
31,0.00169888017959651,0.00115246467887375,1.19716988697786,3.10913613788315,0.0780213835987551,1,-2923.38549890477,5852.77099780953,5869.3055717547,2618.48515384958,1827,1829,"NE"
32,0.000693385625308565,0.000305154617392889,1.66759422336554,1.78601299528179,0.181530816035995,1,-4971.50531280596,9949.01062561193,9966.5726048736,7157.96065104664,2574,2576,"NV"
33,0.0705415769813251,0.0695882862910495,2.20784683680587,73.9979711340031,3.08703122670765e-17,1,-2159.10327217243,4324.20654434485,4338.86000430098,4752.72296342385,975,977,"NH"
