"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.207765983183862,0.0212284629781649,9.78714207418432,1.99646913128821e-22,"AL"
1,"EJB1_UNION",-0.116062116207586,0.056465045451768,-2.0554683925071,0.0398837012231134,"AL"
2,"(Intercept)",0.194128953976075,0.0762943828810044,2.54447243224781,0.0112532035870056,"AK"
2,"EJB1_UNION",1.18742210182038,0.217360898140518,5.46290575710053,7.49841407767208e-08,"AK"
4,"(Intercept)",0.113539042104807,0.0144249252530967,7.87103157296659,4.28097692931329e-15,"AZ"
4,"EJB1_UNION",-0.113539042104808,0.0678559256272004,-1.67323695101574,0.094343226262087,"AZ"
5,"(Intercept)",0.0563542370222884,0.0157672828610508,3.57412482029467,0.000358452745243643,"AR"
5,"EJB1_UNION",-0.0563542370222875,0.0664322607122876,-0.848296240682714,0.396359075886592,"AR"
6,"(Intercept)",0.289256238147456,0.00992944934355854,29.1311459617953,2.38196366130254e-184,"CA"
6,"EJB1_UNION",-0.00959758078085201,0.0234049453162241,-0.410066362094812,0.681759791625035,"CA"
8,"(Intercept)",0.538103930363599,0.0288907491053482,18.625475178973,1.74869529359872e-75,"CO"
8,"EJB1_UNION",-0.357388029929698,0.10303854119812,-3.46848883703158,0.000526768509900941,"CO"
9,"(Intercept)",0.704880127680555,0.0540498611584031,13.0412939566075,8.56120929423502e-38,"CT"
9,"EJB1_UNION",0.216958613646032,0.130743024205922,1.65942783535678,0.0971404114081647,"CT"
10,"(Intercept)",0,0,NA,NA,"DE"
10,"EJB1_UNION",0,0,NA,NA,"DE"
11,"(Intercept)",0.907990953237492,0.108678331505702,8.3548481160649,3.27283859284283e-16,"DC"
11,"EJB1_UNION",-0.907990953237478,0.41257370364874,-2.20079696114256,0.0280615036184653,"DC"
12,"(Intercept)",0.304786398299205,0.015646394739067,19.479656712111,2.73486695738391e-83,"FL"
12,"EJB1_UNION",-0.0840070828096932,0.0582985827005662,-1.44097984750627,0.149615245359291,"FL"
13,"(Intercept)",0.242368836634316,0.017219833642151,14.0749813076615,1.80762207386831e-44,"GA"
13,"EJB1_UNION",-0.242368836634334,0.0670160604643399,-3.61657839859599,0.000300341348658221,"GA"
15,"(Intercept)",0,0,NA,NA,"HI"
15,"EJB1_UNION",0,0,NA,NA,"HI"
