"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.0303399169145698,0.030153120520217,5.72881083986401,162.422390537505,1.17926695663007e-36,1,-16431.9705342476,32869.9410684952,32889.6062690267,170364.849459755,5191,5193,"AL"
2,0.0483163374445201,0.0463541030887356,5.73945149854187,24.6231227692491,9.66460059084882e-07,1,-1540.98710322919,3087.97420645838,3100.53899882763,15976.5321994955,485,487,"AK"
4,0.000279310349459593,7.93262147026352e-05,6.10661252529563,1.39666253925042,0.23733938456668,1,-16143.7817997155,32293.563599431,32313.1157789452,186416.291953953,4999,5001,"AZ"
5,0.00374207186737323,0.00331974972742732,5.70521441501745,8.86070492977627,0.00294338999295628,1,-7460.51297016394,14927.0259403279,14944.3264619391,76784.2033188006,2359,2361,"AR"
6,0.0154924123685596,0.0154641227335596,6.15373694713374,547.635640000857,3.49685862697779e-120,1,-112621.440598532,225248.881197064,225274.253573671,1317860.91730367,34801,34803,"CA"
8,0.00980567645442571,0.00965417793491141,6.21947059416742,64.724569493229,1.01492699740647e-15,1,-21225.4231318461,42456.8462636921,42477.202423454,252824.339387117,6536,6538,"CO"
9,0.0487928381700575,0.0484567225651705,5.92366668338834,145.166833853118,1.22510522771573e-32,1,-9055.43591510409,18116.8718302082,18134.7180455726,99304.2103417547,2830,2832,"CT"
10,0.0419041538778038,0.0403437371903085,5.88309341240234,26.8544640759146,2.98025693824341e-07,1,-1964.66746145178,3935.33492290357,3948.60466379417,21251.0238928178,614,616,"DE"
11,0.0278125348681691,0.0264862218188761,6.41389893032769,20.9698116768081,5.48100768762487e-06,1,-2407.89195634616,4821.78391269232,4835.58352418996,30154.2269250402,733,735,"DC"
12,0.0026652919392987,0.00258607552086654,6.04381953166725,33.6457011317892,6.77105014987751e-09,1,-40519.7375706466,81045.4751412932,81067.7975922052,459884.429549855,12590,12592,"FL"
13,1.28446687153412e-05,-0.000110824284454525,5.91480719327807,0.103863325322255,0.747250175992486,1,-25851.4623214812,51708.9246429624,51729.9190532445,282888.258264726,8086,8088,"GA"
15,0.0380915400597567,0.0368995840994837,6.38575793229831,31.9571706751943,2.18668071567167e-08,1,-2646.86281697691,5299.72563395381,5313.81303070499,32907.7688265181,807,809,"HI"
16,0.00894543686141321,0.00852424920177075,6.05071915657884,21.2386015036812,4.27183078424199e-06,1,-7580.01697100804,15166.0339420161,15183.3268300354,86146.1590396423,2353,2355,"ID"
17,0.0166853374508578,0.0165549416595108,5.90759101538493,127.95917167627,1.97625376756079e-29,1,-24100.2174885834,48206.4349771668,48227.2201029464,263178.121933733,7541,7543,"IL"
18,0.0124867548389081,0.0123328406797495,5.65533692162521,81.1280450556033,2.74528634236586e-19,1,-20225.5721428042,40457.1442856084,40477.4448710734,205201.873832576,6416,6418,"IN"
19,0.00407766300661105,0.00367232221011382,5.73130181530995,10.0598386391145,0.00153405360375153,1,-7781.44254020216,15568.8850804043,15586.307610531,80707.0949640164,2457,2459,"IA"
20,0.000738027142820057,0.000352509406378099,5.50020996505143,1.91437921801413,0.166596759525971,1,-8101.94174595931,16209.8834919186,16227.4663610133,78413.9866378156,2592,2594,"KS"
