"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.0100659176004175,0.00987521560034066,3.10881130406179,52.7834925504424,4.27652322762504e-13,1,-13257.6581933418,26521.3163866836,26540.9815872151,50169.497796646,5191,5193,"AL"
2,0.00120208714921867,-0.000857289990679799,3.33869083759887,0.583713942400033,0.445231764457082,1,-1277.13786537345,2560.27573074691,2572.84052311616,5406.22540689731,485,487,"AK"
4,0.00493609466030448,0.00473704206871817,2.7133049986274,24.7979421969269,6.58072145322192e-07,1,-12086.9468146192,24179.8936292385,24199.4458087528,36802.7580538665,4999,5001,"AZ"
5,0.00581647957009862,0.00539503678907705,2.7462560210306,13.8013505795484,0.000207909032978677,1,-5734.28663936512,11474.5732787302,11491.8738003415,17791.3943118574,2359,2361,"AR"
6,0.00230508526192044,0.00227641669162815,2.8116502472657,80.4046116854797,3.19929168444638e-19,1,-85360.6703046997,170727.340609399,170752.712986006,275115.028907748,34801,34803,"CA"
8,5.21428908007717e-05,-0.000100847907410495,3.0961963302779,0.340823705807118,0.559374294592759,1,-16665.0999943695,33336.1999887389,33356.5561485008,62656.9176933338,6536,6538,"CO"
9,0.000266739157586181,-8.65234787539304e-05,3.69011360807194,0.755073223564462,0.384948442524368,1,-7715.05489251035,15436.1097850207,15453.9560003851,38535.9357865518,2830,2832,"CT"
10,0.073889051725125,0.0723807277051333,3.12544703016565,48.9875190912453,6.76873621411819e-12,1,-1575.04414028329,3156.08828056659,3169.35802145719,5997.80935095997,614,616,"DE"
11,0.0063714709186971,0.00501590675896812,3.67816019730561,4.70023559782756,0.0304795883749705,1,-1999.19177926256,4004.38355852512,4018.18317002276,9916.65616635269,733,735,"DC"
12,0.00367602097244288,0.00359688483431531,2.82231875503306,46.4518620622056,9.81763861444905e-12,1,-30931.2143483807,61868.4286967614,61890.7511476734,100285.432921593,12590,12592,"FL"
13,0.00152728286984616,0.00140380120806904,2.97403687561574,12.3684994829621,0.000439033693233399,1,-20290.649693012,40587.299386024,40608.2937963061,71519.8236992047,8086,8088,"GA"
15,0.0109423800228061,0.00971678198070292,2.47169305083797,8.92819639629095,0.00289312178405336,1,-1878.98685469137,3763.97370938274,3778.06110613392,4930.17809581151,807,809,"HI"
16,0.000761182557560978,0.000336516676794907,3.0367716003438,1.79242692204975,0.18076007417107,1,-5956.52199296656,11919.0439859331,11936.3368739525,21699.3230639964,2353,2355,"ID"
17,1.05422546200218e-06,-0.000131554042111848,3.49939294367397,0.00794992258996924,0.92895526348627,1,-20150.3358881504,40306.6717763009,40327.4569020805,92345.2080967075,7541,7543,"IL"
18,0.00185856178655351,0.00170299111351524,3.18813679865937,11.9467361698467,0.000550980751225145,1,-16547.0119015501,33100.0238031002,33120.3243885652,65213.611440534,6416,6418,"IN"
19,0.0207489691117378,0.0203504135436106,3.54015910458538,52.0604170937624,7.1375779762075e-13,1,-6596.76758508655,13199.5351701731,13216.9577002998,30792.9089755585,2457,2459,"IA"
20,0.00843960449650328,0.00805705804762069,2.96313807521392,22.0616464253078,2.77805183593884e-06,1,-6497.45573122632,13000.9114624526,13018.4943315473,22758.2453592122,2592,2594,"KS"
21,2.43062758194907e-05,-0.000251625206996176,2.25701475848105,0.0880880846631164,0.766638986413379,1,-8095.79089693294,16197.5817938659,16216.1694500398,18461.0750068846,3624,3626,"KY"
22,4.14380033581993e-05,-0.000209744755244268,2.96531895654158,0.1649715274597,0.684641824623381,1,-9980.09159055304,19966.1831811061,19985.0525528556,35005.396842333,3981,3983,"LA"
23,0.00278824875394813,0.00179993185479455,2.64906260935629,2.82120922584224,0.0933358701191434,1,-2418.46797604166,4842.93595208332,4857.69203774038,7080.69050266418,1009,1011,"ME"
24,4.55596086596415e-08,-0.00018863367707822,3.45024395460946,0.000241465936897194,0.987602616604814,1,-14088.4469864047,28182.8939728093,28202.6214909699,63092.1717354915,5300,5302,"MD"
25,0.00301048296553632,0.00273643417030978,3.88021332439477,10.9852078096048,0.000927413445189991,1,-10099.3760688411,20204.7521376822,20223.3513545641,54773.9297009452,3638,3640,"MA"
26,0.00315178670635688,0.00303699534139912,3.17649211334003,27.4566532727894,1.64428184035412e-07,1,-22362.9831660562,44731.9663321123,44753.1747355516,87622.4470368312,8684,8686,"MI"
27,0.00133371145779308,0.00112095766815901,4.1642580294728,6.26880235641009,0.0123218970112134,1,-13361.3581296149,26728.7162592298,26748.0796583144,81398.8649297188,4694,4696,"MN"
28,0.000197807198467369,-8.50222761581421e-05,2.78503242080772,0.699386790323787,0.403046343877035,1,-8640.59121202344,17287.1824240469,17305.6955266145,27418.8937427987,3535,3537,"MS"
29,0.000859663373122804,0.000599199260342131,3.25072668497725,3.3005060234402,0.0693365507421446,1,-9969.42176888923,19944.8435377785,19963.6016578082,40535.8711889033,3836,3838,"MO"
30,0.0504354176169522,0.0497433151516583,3.02260450363318,72.8727611099385,3.61300276629037e-17,1,-3468.4281546775,6942.85630935501,6958.53275377335,12534.7813159463,1372,1374,"MT"
