"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00382819164207538,0.0036362879995484,2.33626693809943,19.9485095314736,8.12442661206118e-06,1,-11774.090245404,23554.180490808,23573.8456913395,28333.2213826393,5191,5193,"AL"
2,0.0111288528544853,0.00908994327274193,2.87078855263971,5.45823755704254,0.0198826934194762,1,-1203.60475343072,2413.20950686144,2425.77429923068,3997.09205327409,485,487,"AK"
4,0.00223360544822694,0.00203401225067712,2.56585282275157,11.1907894439585,0.000828102338025684,1,-11807.5082347788,23621.0164695577,23640.5686490719,32911.4199394031,4999,5001,"AZ"
5,0.00560633517472653,0.00518480331172311,2.08921760163999,13.2999084215844,0.000271166208682696,1,-5088.67379930205,10183.3475986041,10200.6481202154,10296.6344111386,2359,2361,"AR"
6,0.000225517286664634,0.000196788960389105,2.8088941270212,7.84999740333064,0.00508488422370378,1,-85326.5379309756,170659.075861951,170684.448238558,274575.930231351,34801,34803,"CA"
8,0.000268849939890127,0.000115892297592124,2.94120752883286,1.75767575814379,0.184961017969512,1,-16329.3465827873,32664.6931655745,32685.0493253364,56540.9864920058,6536,6538,"CO"
9,0.00332271951821814,0.00297053673359549,2.99829639419838,9.43464491536507,0.00214948993281103,1,-7127.09491359612,14260.1898271922,14278.0360425567,25441.0809869202,2830,2832,"CT"
10,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,614,616,"DE"
11,0.117495739939249,0.116291777783641,3.08120693150382,97.5908913680948,1.08420054888147e-21,1,-1869.02967400091,3744.05934800183,3757.85895949947,6958.98190142967,733,735,"DC"
12,0.00289364274637064,0.00281444446541324,2.48334550463544,36.5366862940777,1.54056943855614e-09,1,-29320.0408033561,58646.0816067122,58668.4040576242,77642.5916329987,12590,12592,"FL"
13,0.00213357530491473,0.00201016862365144,2.17074599889706,17.2889772504493,3.24359644778489e-05,1,-17744.1480650764,35494.2961301529,35515.290540435,38102.3494183094,8086,8088,"GA"
15,0.0259644578788022,0.0247574745552319,3.06148732079438,21.5118613254732,4.1010656079096e-06,1,-2052.11082322241,4110.22164644481,4124.30904319599,7563.77262461549,807,809,"HI"
16,0.0244416069479326,0.0240270049959342,2.50282190611118,58.9519823293816,2.35189242014266e-14,1,-5501.12123081812,11008.2424616362,11025.5353496556,14739.4684626996,2353,2355,"ID"
17,0.00111720298094146,0.000984742724076448,2.56325760876405,8.43425044902321,0.00369287751007964,1,-17802.1203656086,35610.2407312171,35631.0258569967,49546.5536389755,7541,7543,"IL"
18,0.00353952994006731,0.00338422126331239,2.13299744770072,22.7902910128547,1.84683039678225e-06,1,-13967.5636132678,27941.1272265356,27961.4278120006,29190.7347659363,6416,6418,"IN"
