"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00311111168843464,0.00291906990682966,5.44936312454318,16.2001813482114,5.78001660979136e-05,1,-16172.2725877245,32350.5451754489,32370.2103759804,154149.643982113,5191,5193,"AL"
2,0.0113684589078877,0.00933004335924426,5.29988039014586,5.57710566692492,0.0185910981066754,1,-1502.18323756526,3010.36647513053,3022.93126749978,13623.0350926785,485,487,"AK"
4,0.000131854089287368,-6.81595426210713e-05,5.50365882544922,0.659225513927326,0.416872158292275,1,-15623.8823779277,31253.7647558555,31273.3169353697,151421.012074258,4999,5001,"AZ"
5,0.00836924082724788,0.00794888018325779,5.22474666413171,19.9096679170662,8.50022164448963e-06,1,-7252.80575418549,14511.611508371,14528.9120299822,64395.9294045745,2359,2361,"AR"
6,0.00408290760546764,0.00405429012055636,5.55252524494591,142.671783286947,8.03918512078889e-33,1,-109043.45875403,218092.917508059,218118.289884666,1072933.5040691,34801,34803,"CA"
8,0.00329844748790377,0.00314595337032231,5.3650699770292,21.6299981941459,3.37144022082922e-06,1,-20259.2677601412,40524.5355202824,40544.8916800442,188132.066210634,6536,6538,"CO"
9,0.0049706552272429,0.00461905475205815,5.57698752445645,14.137225567262,0.000173386059474379,1,-8884.646862333,17775.293724666,17793.1399400304,88020.8952696785,2830,2832,"CT"
10,0.00031833556510094,-0.00130981046818057,5.58255845604379,0.195520278030173,0.658517014645723,1,-1932.3671699584,3870.73433991679,3884.00408080739,19135.2847738997,614,616,"DE"
11,0.00785629423355841,0.00650275575365866,5.10658642962187,5.80426367644966,0.0162329462425438,1,-2240.35886391787,4486.71772783574,4500.51733933337,19114.6058980243,733,735,"DC"
12,0.00485623004742865,0.00477718765108615,5.37080197411434,61.4382947903503,4.93467169060717e-15,1,-39033.1393465993,78072.2786931985,78094.6011441105,363165.019310445,12590,12592,"FL"
13,6.77567842946668e-05,-5.59053778639296e-05,5.3617316147799,0.547918483001139,0.459190941589602,1,-25057.4478705571,50120.8957411142,50141.8901513963,232457.66953961,8086,8088,"GA"
15,0.00114463275794263,-9.31062349223133e-05,5.74139247625862,0.924777165897583,0.336511808847752,1,-2560.8107692558,5127.62153851161,5141.70893526278,26601.6151661164,807,809,"HI"
16,0.0343053946548908,0.0338949847078678,5.36924152793545,83.5881169638626,1.28052486396175e-19,1,-7298.6168958846,14603.2337917692,14620.5266797886,67834.0595392264,2353,2355,"ID"
17,0.00343586234090524,0.00330370955776527,5.45342120570958,25.9991674731824,3.49880099238187e-07,1,-23496.8153482678,46999.6306965356,47020.4158223151,224267.853268344,7541,7543,"IL"
18,0.00738765046991553,0.00723294156256982,5.39348720355258,47.7519400573823,5.30363038954874e-12,1,-19921.3105834821,39848.6211669642,39868.9217524292,186639.542242705,6416,6418,"IN"
19,0.0166975602304298,0.016297355737239,5.25521342976388,41.7225706220968,1.26371203579172e-10,1,-7568.19294619754,15142.3858923951,15159.8084225217,67855.6279486547,2457,2459,"IA"
20,0.000779987280495604,0.000394485732378325,5.36471949648569,2.02330518335218,0.155021982307999,1,-8037.24174081689,16080.4834816338,16098.0663507284,74598.3179953237,2592,2594,"KS"
21,0.0069545282601397,0.00668050909023354,5.33906057863702,25.3797143554656,4.93830036334928e-07,1,-11217.801115339,22441.602230678,22460.189886852,103304.177933178,3624,3626,"KY"
22,0.00113337109558543,0.000882462623115199,5.34572626002632,4.51706984792796,0.0336196688879585,1,-12327.3245176896,24660.6490353793,24679.5184071288,113764.197992844,3981,3983,"LA"
23,0.00480819508861637,0.00382188011843676,5.17301808690176,4.87490835482303,0.0274742080198632,1,-3095.08017322546,6196.16034645092,6210.91643210798,27000.9571725594,1009,1011,"ME"
24,0.00345342445105266,0.00326539679528881,5.28949305003594,18.3665771772853,1.8545701832163e-05,1,-16353.8721297068,32713.7442594136,32733.4717775742,148287.304649806,5300,5302,"MD"
25,0.00723199632172412,0.00695910792049326,5.61011362850372,26.5016625444735,2.77256982070239e-07,1,-11441.3743312707,22888.7486625413,22907.3478794232,114500.137976143,3638,3640,"MA"
26,0.00685914163370822,0.00674477718663713,5.42160611774085,59.9761709986494,1.06802320734648e-14,1,-27006.6457930173,54019.2915860345,54040.4999894738,255255.871188212,8684,8686,"MI"
27,0.00165264438648836,0.00143995854166235,5.21964163648165,7.77035438272801,0.00533242660391292,1,-14422.1405372889,28850.2810745778,28869.6444736624,127886.428469597,4694,4696,"MN"
