"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",5.24650211696373,0.0816069247607169,64.2899132928636,0,"AL"
1,"EJB1_UNION",0.873671324936653,0.217064170897936,4.02494488759942,5.78001660978733e-05,"AL"
2,"(Intercept)",5.32114333281975,0.256479188476248,20.7468815089164,6.60124581076524e-69,"AK"
2,"EJB1_UNION",1.72562102173099,0.73070316131266,2.36158964829306,0.0185910981066753,"AK"
4,"(Intercept)",5.17656095192309,0.0796461552457714,64.9944863747573,0,"AZ"
4,"EJB1_UNION",0.304197770967315,0.374661462158308,0.811927037317705,0.416872158292211,"AZ"
5,"(Intercept)",5.0223853391348,0.110689810543468,45.3735110257734,0,"AR"
5,"EJB1_UNION",2.08095086235482,0.466369152949116,4.4620250914877,8.50022164449136e-06,"AR"
6,"(Intercept)",5.25758028470959,0.0328678401417082,159.961234508923,0,"CA"
6,"EJB1_UNION",0.925385472066088,0.0774735813198059,11.9445294292793,8.03918512089779e-33,"CA"
8,"(Intercept)",6.05079842279741,0.069124644259199,87.5346048814158,0,"CO"
8,"EJB1_UNION",1.14657389469981,0.246532288911414,4.65080618754896,3.37144022083308e-06,"CO"
9,"(Intercept)",6.22264511793081,0.115093454819962,54.0660207625597,0,"CT"
9,"EJB1_UNION",1.04678300756471,0.27840342282045,3.7599502080828,0.000173386059474394,"CT"
10,"(Intercept)",5.78282433709987,0.238911446631946,24.2048860304654,2.16459913925531e-91,"DE"
10,"EJB1_UNION",-0.313382107693434,0.708725883624669,-0.442176749762107,0.658517014645716,"DE"
11,"(Intercept)",7.91865481579289,0.195255212220859,40.5554081026829,1.75914840886291e-189,"DC"
11,"EJB1_UNION",1.78580808200568,0.741244045124613,2.40920395077907,0.0162329462425456,"DC"
12,"(Intercept)",4.8580446682487,0.0496849413515115,97.777003174442,0,"FL"
12,"EJB1_UNION",1.45106902695754,0.18512645952371,7.83825840288215,4.93467169060139e-15,"FL"
13,"(Intercept)",5.5346000948038,0.0616902572165346,89.715951019254,0,"GA"
13,"EJB1_UNION",-0.177715169128361,0.240085827401033,-0.74021515993741,0.459190941589591,"GA"
15,"(Intercept)",6.56388524991859,0.239850111595096,27.3666132830467,3.64652474111638e-117,"HI"
15,"EJB1_UNION",0.427048040157088,0.444076901599305,0.961653350172258,0.336511808847766,"HI"
16,"(Intercept)",4.90802030931892,0.114655165275902,42.8067963402124,1.35579063610502e-296,"ID"
16,"EJB1_UNION",3.99672110686221,0.437151097610863,9.14265371562663,1.28052486396244e-19,"ID"
17,"(Intercept)",6.44910947753652,0.0689368227438922,93.5510112134941,0,"IL"
17,"EJB1_UNION",-0.851631024035406,0.167021259051253,-5.09893787696851,3.49880099237862e-07,"IL"
18,"(Intercept)",5.8745699304156,0.0705226855227691,83.3004286049049,0,"IN"
18,"EJB1_UNION",1.63669620543088,0.236849550678167,6.91027785674305,5.30363038951915e-12,"IN"
19,"(Intercept)",6.99677370262072,0.111135922582125,62.9569048428096,0,"IA"
19,"EJB1_UNION",2.38378356479056,0.369046670858734,6.4593010939341,1.26371203579075e-10,"IA"
20,"(Intercept)",6.1541867331993,0.109850699662502,56.023191041177,0,"KS"
20,"EJB1_UNION",0.550484845038439,0.38700330170068,1.42242932455445,0.155021982307975,"KS"
21,"(Intercept)",4.8818323815594,0.0938992224922261,51.9901257112493,0,"KY"
