"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000273836502281583,8.12481448365654e-05,2.40227251049241,1.42187464452303,0.233149596647703,1,-11918.7715814694,23843.5431629387,23863.2083634702,29956.810497339,5191,5193,"AL"
2,0.0038409895964386,0.00178705349251373,3.80184734874402,1.8700628462097,0.172101248089774,1,-1340.40322093861,2686.80644187721,2699.37123424646,7010.21098262869,485,487,"AK"
4,6.41951398778349e-05,-0.000135832026527449,2.43395913533401,0.320932106530767,0.571073452812565,1,-11543.5969503776,23093.1939007551,23112.7460802694,29614.8612053071,4999,5001,"AZ"
5,0.00669605233048144,0.00627498240777291,2.56985343224634,15.9024712271265,6.87205926054664e-05,1,-5577.54062815711,11161.0812563142,11178.3817779255,15579.1819785555,2359,2361,"AR"
6,0.00169760566608565,0.00166891963998483,2.23103250449269,59.178837114645,1.47762350029037e-14,1,-77310.4892074586,154626.978414917,154652.350791524,173222.187562418,34801,34803,"CA"
8,1.45669235666452e-06,-0.000151541860781146,2.50096307444437,0.00952095511226184,0.922272465671316,1,-15269.2469293876,30544.4938587752,30564.8500185371,40881.4793350631,6536,6538,"CO"
9,3.03531808265994e-06,-0.000350320499826307,2.65027384404213,0.00858997624723787,0.926162658504482,1,-6777.67910956105,13561.3582191221,13579.2044344865,19877.7825990112,2830,2832,"CT"
10,0.00254712175241978,0.000922605664068654,1.68045862478261,1.56792645556691,0.21098515517262,1,-1192.80962576988,2391.61925153975,2404.88899243035,1733.89989041825,614,616,"DE"
11,0.0267075261462867,0.025379705581684,3.30014790984059,20.1138066831189,8.46752603029545e-06,1,-1919.48441603244,3844.96883206488,3858.76844356252,7983.08557426287,733,735,"DC"
12,0.000327868435799764,0.000248466360218913,2.43658182807477,4.12921744678438,0.0421697886705215,1,-29080.6608656523,58167.3217313046,58189.6441822166,74745.9613517437,12590,12592,"FL"
13,1.23863390646534e-05,-0.000111282670786972,2.29777664106265,0.100157178257557,0.751649264803493,1,-18204.1214477436,36414.2428954872,36435.2373057693,42692.2808020357,8086,8088,"GA"
15,0.00198253263054476,0.000745831927484675,2.76468852544505,1.60308199521457,0.205832355897792,1,-1969.61477072694,3945.22954145389,3959.31693820506,6168.3066326811,807,809,"HI"
16,0.00131093317040759,0.000886500927810951,2.52578306510448,3.08867479621201,0.078969018579334,1,-5522.6277542149,11051.2555084298,11068.5483964491,15011.1519564021,2353,2355,"ID"
17,0.000258694170557449,0.000126120068206448,2.35835502050737,1.95131753464484,0.162486049474893,1,-17173.6783214035,34353.3566428071,34374.1417685866,41941.8233951553,7541,7543,"IL"
18,0.00374033455896089,0.00358505717968394,2.03749681294927,24.088084023425,9.43008377832691e-07,1,-13673.5791586821,27353.1583173643,27373.4589028293,26635.3391739865,6416,6418,"IN"
19,0.000865439145022182,0.000458790972105882,2.11122896864903,2.12822582926159,0.144735869702681,1,-5325.70693574853,10657.4138714971,10674.8364016237,10951.5560215604,2457,2459,"IA"
20,0.0221998286622927,0.0218225909418691,1.93468593321571,58.8483798422132,2.39310803182132e-14,1,-5391.6235121212,10789.2470242424,10806.829893337,9701.88103919371,2592,2594,"KS"
21,0.00434606965533557,0.00407133071208376,2.27030871807989,15.8189065004584,7.10640493729913e-05,1,-8117.08561391055,16240.1712278211,16258.758883995,18679.1892716117,3624,3626,"KY"
22,0.0086006593880403,0.00835162664736921,1.58963225902907,34.5362596293978,4.52660027835119e-09,1,-7496.76320401338,14999.5264080268,15018.3957797763,10059.7111921235,3981,3983,"LA"
23,0.0226562621450352,0.0216876360421067,3.08729225206093,23.390100758729,1.52859573998643e-06,1,-2573.24051809417,5152.48103618834,5167.2371218454,9617.15581068215,1009,1011,"ME"
24,0.000278034973800566,8.94081879465602e-05,2.25311180294471,1.47399518335518,0.224770494885065,1,-11829.0916454952,23664.1832909905,23683.910809151,26905.5178218144,5300,5302,"MD"
25,0.00294921224771173,0.00267514661061663,2.48395103003426,10.7609705432988,0.00104639984628281,1,-8475.79162301989,16957.5832460398,16976.1824629217,22446.5062739349,3638,3640,"MA"
