"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00157831517709674,0.00138597811587104,3.24217429433598,8.20598571610794,0.00419200263750584,1,-13475.7836538315,26957.567307663,26977.2325081946,54566.2043578419,5191,5193,"AL"
2,0.0590919483237604,0.0571519317223661,4.02126981896002,30.4595065224135,5.56003524582097e-08,1,-1367.72910023583,2741.45820047167,2754.02299284092,7842.74631408619,485,487,"AK"
4,0.00282646883844072,0.00262699423728818,3.6833725655399,14.1695675645405,0.000168966861916257,1,-13615.5591859174,27237.1183718348,27256.670551349,67822.6000494032,4999,5001,"AZ"
5,0.000227931681962422,-0.000195880131652615,3.19313459457293,0.537813422467319,0.46341320071718,1,-6090.24169159826,12186.4833831965,12203.7839048078,24052.6200436388,2359,2361,"AR"
6,0.00038852614515021,0.000359802502902573,4.19466090151546,13.526353719441,0.000235590677062389,1,-99283.2942733898,198572.58854678,198597.960923386,612329.861918926,34801,34803,"CA"
8,0.000136422837620534,-1.65550658621783e-05,4.29045193791826,0.891781326026846,0.345029947933756,1,-18797.9113583948,37601.8227167897,37622.1788765515,120314.54310725,6536,6538,"CO"
9,5.49342123666551e-05,-0.000298403266710379,4.51816502040905,0.155472361749371,0.693389392995565,1,-8288.38960186642,16582.7792037328,16600.6254190973,57771.0968791635,2830,2832,"CT"
10,0.0981678498907496,0.0966990678873144,3.23472393757732,66.8362286991192,1.69447957986135e-15,1,-1596.21375986687,3198.42751973374,3211.69726062435,6424.55151673412,614,616,"DE"
11,0.00279444006758302,0.00143399592033544,4.70819475288163,2.05406452976172,0.152226835679953,1,-2180.65730675055,4367.31461350109,4381.11422499873,16248.4827101685,733,735,"DC"
12,0.000432619186329339,0.000353225430903326,3.53810697117666,5.44903291207108,0.019594805270015,1,-33777.4222566801,67560.8445133602,67583.1669642721,157604.149828165,12590,12592,"FL"
13,0.000131621284058238,7.96702005678718e-06,3.75899116364509,1.06442980451257,0.302237876290322,1,-22185.1048977963,44376.2097955925,44397.2042058746,114255.297799774,8086,8088,"GA"
15,0.0570012818795343,0.0558327580652587,3.75704442168633,48.7805906761665,5.98670815345628e-12,1,-2217.73880072694,4441.47760145388,4455.56499820506,11391.1139087252,807,809,"HI"
16,0.0114717043353425,0.0110515903125356,3.47726005068073,27.3061685936989,1.88930594084381e-07,1,-6275.50595252995,12557.0119050599,12574.3047930792,28450.9170435215,2353,2355,"ID"
17,0.00244900833702113,0.00231672468874333,4.09715056776924,18.5133111227618,1.70852134262564e-05,1,-21339.883883255,42685.7677665099,42706.5528922895,126588.073166062,7541,7543,"IL"
18,0.00176048411356505,0.00160489815410636,3.42733372481858,11.3151862783184,0.000773261523739398,1,-17011.3282002226,34028.6564004451,34048.9569859101,75366.2912155648,6416,6418,"IN"
