"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00977705440278983,0.00958629675578604,4.50426238712314,51.2538006017147,9.24829228022862e-13,1,-15183.1379984506,30372.2759969012,30391.9411974328,105316.978773803,5191,5193,"AL"
2,0.101863201108364,0.100011372657041,4.26599137023514,55.0068236804506,5.40572688749772e-13,1,-1396.4995354456,2798.9990708912,2811.56386326045,8826.36094989655,485,487,"AK"
4,0.0171208185769446,0.0169242034176281,4.32757228656602,87.0778155482239,1.53092960992176e-20,1,-14421.6099709057,28849.2199418114,28868.7721213257,93620.6815953759,4999,5001,"AZ"
5,0.00849975703115578,0.00807945171408564,4.13103231180543,20.2228158577734,7.22635481851037e-06,1,-6698.25647964327,13402.5129592865,13419.8134808978,40257.3445604248,2359,2361,"AR"
6,0.00915648286721982,0.00912801117051187,4.5358548515792,321.599480394456,1.36519951303572e-71,1,-102004.925904336,204015.851808672,204041.224185279,715995.051343125,34801,34803,"CA"
8,0.0217083245041029,0.0215586470751714,4.30040834305565,145.034055295313,4.716335626263e-33,1,-18813.0658374118,37632.1316748236,37652.4878345855,120873.59388966,6536,6538,"CO"
9,0.00095800766427733,0.000604989292427138,4.59030396731271,2.71376149421532,0.0995971772017632,1,-8333.24934057064,16672.4986811413,16690.3448965057,59630.6201498848,2830,2832,"CT"
10,0.00759495034096638,0.00597865547181486,4.67976717696036,4.69898809055391,0.0305639200491442,1,-1823.70549942553,3653.41099885106,3666.68073974166,13446.7355899611,614,616,"DE"
11,0.00904171133099535,0.00768979006405268,4.54815610067825,6.68804578497582,0.00989788992674563,1,-2155.23905408538,4316.47810817076,4330.2777196684,15162.6356305282,733,735,"DC"
12,0.00373053935824342,0.00365140755040849,4.54539281749536,47.1433606827917,6.90770333983923e-12,1,-36931.9993375407,73869.9986750814,73892.3211259934,260116.901944611,12590,12592,"FL"
13,0.000360151158082516,0.000236525156494416,4.40492221005759,2.91323146794217,0.0878940740570793,1,-23467.6351198179,46941.2702396359,46962.264649918,156895.404625462,8086,8088,"GA"
15,0.00550652325672344,0.00427418933263013,4.11615120511397,4.46836944846341,0.0348341678969593,1,-2291.58914479343,4589.17828958686,4603.26568633803,13672.7594998924,807,809,"HI"
16,0.000294902684752513,-0.000129961360005426,3.97473476171684,0.694110712335246,0.404854241643384,1,-6590.4009562038,13186.8019124076,13204.094800427,37173.9091503786,2353,2355,"ID"
17,0.010485876190828,0.0103546582987966,4.23186475961907,79.9119390541245,4.85598510471047e-19,1,-21583.907391828,43173.814783656,43194.5999094355,135049.350930885,7541,7543,"IL"
18,0.00463579237170715,0.00448065455879754,4.11290081412696,29.8817695361418,4.76508733868868e-08,1,-18181.6245365526,36369.2490731052,36389.5496585703,108532.755133525,6416,6418,"IN"
19,0.00738492888658965,0.00698093414865175,3.90246394518974,18.279765039229,1.98003896727242e-05,1,-6836.36384890725,13678.7276978145,13696.1502279411,37418.2054404939,2457,2459,"IA"
20,0.013229398687514,0.0128487001530569,3.53470710667219,34.7503273328441,4.23458974127652e-09,1,-6954.98953250287,13915.9790650057,13933.5619341004,32384.8480232535,2592,2594,"KS"
21,0.0115524224181407,0.0112796719828256,4.19616477671027,42.3552849871544,8.65512703834691e-11,1,-10344.3747454321,20694.7494908642,20713.3371470382,63810.6629718934,3624,3626,"KY"
22,0.0190321620266237,0.0187857496081427,4.46615374473468,77.2370245945265,2.21585334007658e-18,1,-11611.3012714761,23228.6025429521,23247.4719147017,79407.1330302697,3981,3983,"LA"
23,8.09674326687548e-05,-0.00091003259960809,4.1319335638097,0.0817027548250738,0.775061685874997,1,-2867.89753951288,5741.79507902576,5756.55116468282,17226.5308505188,1009,1011,"ME"
24,0.00322221912773281,0.00303414784832301,4.26590965618742,17.1329675527472,3.53928836381317e-05,1,-15213.5870688596,30433.1741377192,30452.9016558798,96449.3215321912,5300,5302,"MD"
25,0.0311347418561259,0.0308684237532827,4.57235886296462,116.9080942066,7.6614944899615e-27,1,-10696.8423989433,21399.6847978866,21418.2840147685,76057.7217499578,3638,3640,"MA"
26,0.0128516010635914,0.0127379266740317,4.32528561434601,113.056257556081,3.04024195173484e-26,1,-25044.3574227653,50094.7148455306,50115.9232489699,162461.102586986,8684,8686,"MI"
27,0.00118153901376557,0.000968752805630468,3.91252389953982,5.55270486804913,0.0184930214982723,1,-13068.5369307382,26143.0738614763,26162.4372605608,71855.0162834233,4694,4696,"MN"
28,0.00188900228796732,0.00160665122779413,4.30350223624396,6.69026100631249,0.00973370578623791,1,-10179.7862648019,20365.5725296037,20384.0856321714,65468.6648431563,3535,3537,"MS"
29,0.00093699501096831,0.000676551057634422,3.97040497410807,3.59768387391534,0.0579351803282583,1,-10736.9815902585,21479.9631805169,21498.7213005466,60471.1476657071,3836,3838,"MO"
30,0.0386794172318051,0.0379787462531109,4.02783316294295,55.2033956135869,1.90339155879022e-13,1,-3862.91685023012,7731.83370046023,7747.51014487858,22258.5596642262,1372,1374,"MT"
31,0.0196548820801777,0.0191182947140476,4.18488991894449,36.6294164209033,1.72924101264436e-09,1,-5212.4156814634,10430.8313629268,10447.365936872,31996.8057387392,1827,1829,"NE"
32,0.00970666300476307,0.009321933658611,4.57207662371245,25.2298482084812,5.43728037988559e-07,1,-7569.62156636141,15145.2431327228,15162.8051119845,53806.5990970737,2574,2576,"NV"
33,0.0212325141083961,0.0202286500203022,4.45703351209796,21.1507856095445,4.80388849474517e-06,1,-2845.41221642049,5696.82443284099,5711.47789279712,19368.5190347652,975,977,"NH"
34,0.010293108237851,0.01007907128029,4.62157027797207,48.0903314789296,4.63212952619528e-12,1,-13644.1873942858,27294.3747885715,27313.6931320999,98763.6083215018,4624,4626,"NJ"
35,0.0045203923969956,0.0038362139725262,4.00547612639899,6.6070373389824,0.0102563684492965,1,-4088.21695495677,8182.43390991353,8198.28631433212,23343.7857437665,1455,1457,"NM"
36,0.00103832249859553,0.000930884159436429,4.60509215771312,9.66435731157235,0.00188444744050078,1,-27397.7411942306,54801.4823884613,54822.8956974987,197181.512416025,9298,9300,"NY"
37,0.000974274197985072,0.000849364754899051,4.24882905212577,7.79984422245885,0.00523748890580379,1,-22923.6555632375,45853.3111264751,45874.2727169371,144384.281416875,7998,8000,"NC"
38,0.00752409584729958,0.00621476088139905,3.209889473879,5.74650188320903,0.0167626439845424,1,-1963.73171073227,3933.46342146454,3947.36337676438,7809.96994936555,758,760,"ND"
39,0.0105521532947576,0.0104406913316276,4.38105943849822,94.6704418120465,2.90451618707095e-22,1,-25714.6181486568,51435.2362973137,51456.5106299648,170382.31337104,8877,8879,"OH"
40,0.0136820574079714,0.0134012151691923,4.28835354423048,48.7179473695035,3.51802145351934e-12,1,-10101.1924063541,20208.3848127081,20226.8783435144,64585.5961345433,3512,3514,"OK"
41,0.0159308408921807,0.0156763621854035,4.24088427876825,62.6018620336754,3.27693054253789e-15,1,-11078.6950353648,22163.3900707296,22182.1723247937,69548.3796346495,3867,3869,"OR"
42,6.18853588398782e-05,-4.68390202663649e-05,4.29203242880751,0.569194870079144,0.450598347719503,1,-26452.5541973427,52911.1083946854,52932.4889448698,169422.925176295,9197,9199,"PA"
