"Ast_var","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs"
"TVAL_BANK_log",0.00248399765072395,0.00248006721922134,3.14041383050854,631.991080128502,2.73468650465845e-139,1,-650549.976776454,1301105.95355291,1301137.28639931,2502957.07762116,253793,253795
"TVAL_STMF_log",0.000141223502993413,0.000137283840447644,3.9103167755956,35.8465988774711,2.13765658840959e-09,1,-706198.033684262,1412402.06736852,1412433.40021492,3880641.48102002,253793,253795
"TVAL_BOND_log",4.30570819063186e-06,3.65506158783724e-07,1.67680155168973,1.09276330394494,0.29586075572528,1,-491302.130656967,982610.261313934,982641.594160335,713580.500379412,253793,253795
"TVAL_RENT_log",7.2490156025044e-05,6.85502226548396e-05,2.50880012999746,18.3988279019693,1.79234284900198e-05,1,-593560.314246724,1187126.62849345,1187157.96133985,1597392.96127282,253793,253795
"TVAL_RE_log",0.000437586941749153,0.00043364844694016,2.48805733687322,111.105120857391,5.6813566742759e-26,1,-591453.210950168,1182912.42190034,1182943.75474674,1571087.62627094,253793,253795
"TVAL_OTH_log",0.00109693912026958,0.00109300322345263,3.15206475776272,278.701188386985,1.556234329443e-62,1,-651489.813255861,1302985.62651172,1303016.95935812,2521563.45719786,253793,253795
"TVAL_RET_log",0.00287185697950932,0.00286792807625746,5.48709260835332,730.956400641508,9.39717070698151e-161,1,-792178.741401197,1584363.48280239,1584394.81564879,7641246.66997642,253793,253795
"TVAL_BUS_log",1.61916924546001e-05,1.22515372561471e-05,1.40150582057288,4.10940474134807,0.0426464127346144,1,-445786.308003535,891578.61600707,891609.94885347,498504.922292339,253793,253795
"TVAL_HOME_log",0.0070578135611653,0.00705390115149906,6.00116861975701,1803.95565984865,0,1,-814907.526352071,1629821.05270414,1629852.38555054,9140107.39676593,253793,253795
"TVAL_VEH_log",0.00336674051286649,0.00336281355956403,4.40380404589705,857.341621753248,3.80160036494534e-188,1,-736361.654659835,1472729.30931967,1472760.64216607,4921932.026518,253793,253795
"TVAL_ESAV_log",9.85561558887814e-06,5.91543542483031e-06,1.79810608348263,2.50131089910684,0.113752824066765,1,-509028.644097958,1018063.28819592,1018094.62104232,820559.844418234,253793,253795
