Ast_var,term,estimate,std.error,statistic,p.value
TVAL_BANK_log,(Intercept),7.476984,0.006647856,1124.72106,0
TVAL_BANK_log,EJB1_UNION,0.481003707,0.019133435,25.13943277,2.73E-139
TVAL_STMF_log,(Intercept),1.790138402,0.008277643,216.2618556,0
TVAL_STMF_log,EJB1_UNION,-0.142640216,0.023824183,-5.987202926,2.14E-09
TVAL_BOND_log,(Intercept),0.347666059,0.003549575,97.94581501,0
TVAL_BOND_log,EJB1_UNION,0.010679497,0.010216161,1.045353196,0.295860756
TVAL_RENT_log,(Intercept),0.530661859,0.005310811,99.92106809,0
TVAL_RENT_log,EJB1_UNION,0.065564267,0.015285235,4.289385492,1.79E-05
TVAL_RE_log,(Intercept),0.562102745,0.005266901,106.7236277,0
TVAL_RE_log,EJB1_UNION,0.159784074,0.015158857,10.54064139,5.68E-26
TVAL_OTH_log,(Intercept),1.081149879,0.00667252,162.0302231,0
TVAL_OTH_log,EJB1_UNION,0.320605235,0.01920442,16.694346,1.56E-62
TVAL_RET_log,(Intercept),5.789663733,0.011615477,498.4439253,0
TVAL_RET_log,EJB1_UNION,0.90384528,0.033430922,27.03620537,9.40E-161
TVAL_BUS_log,(Intercept),0.197498342,0.002966809,66.56927184,0
TVAL_BUS_log,EJB1_UNION,-0.017309736,0.008538881,-2.027166678,0.042646413
TVAL_HOME_log,(Intercept),5.887432231,0.01270371,463.4419561,0
TVAL_HOME_log,EJB1_UNION,1.552940538,0.036563006,42.47299919,0
TVAL_VEH_log,(Intercept),6.13473635,0.009322293,658.0716385,0
TVAL_VEH_log,EJB1_UNION,0.785617245,0.026830827,29.28039654,3.80E-188
TVAL_ESAV_log,(Intercept),0.336888416,0.003806362,88.50667477,0
TVAL_ESAV_log,EJB1_UNION,0.017326276,0.010955227,1.581553318,0.113752824
