"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00160119037943389,0.00139933053114827,0.0684705602974104,7.93218856069127,0.00487554393977032,1,6247.41908078816,-12488.8381615763,-12469.3179453758,23.1879243853247,4946,4948,"AL"
2,0.00782092795814871,0.00564509665981128,0.00790450803943986,3.59445512348539,0.0586045736637941,1,1567.99583789125,-3129.99167578249,-3117.61106823015,0.0284914487895796,456,458,"AK"
4,0.000268695913290507,5.70229714976778e-05,0.0211492412862946,1.26939187888128,0.259938034061685,1,11516.8302849581,-23027.6605699162,-23008.2787013964,2.11255259219444,4723,4725,"AZ"
5,0.178306767563062,0.177945583724629,0.0256734765925765,493.673161945019,3.79523260267249e-99,1,5109.12734772184,-10212.2546954437,-10195.0628532455,1.49951483579528,2275,2277,"AR"
6,0.000613728736361554,0.000583141209312799,0.0428236513547492,20.0646732697124,7.51204230897679e-06,1,56585.1534218873,-113164.306843775,-113139.123747159,59.9178749139323,32673,32675,"CA"
8,0.000582115725155027,0.000425614333943725,0.032304177744705,3.71955623301384,0.0538229340098664,1,12864.0058790099,-25722.0117580199,-25701.7252284919,6.66417351987692,6386,6388,"CO"
9,0.00686726744681365,0.00649710988715912,0.0267162515880356,18.5522820423345,1.71247610566895e-05,1,5917.51787018478,-11829.0357403696,-11811.3494323487,1.91501297938952,2683,2685,"CT"
10,0.00258302583025835,0.000947916036537544,0.0645097764836872,1.57972623011472,0.209281183429595,1,810.065613119211,-1614.13122623842,-1600.88102939089,2.53852186980492,610,612,"DE"
11,0.0035898259458452,0.00214992685039128,0.000197623633689144,2.49310938327479,0.114802590822918,1,4935.48554787453,-9864.97109574906,-9851.34367986754,2.70261296100108e-05,692,694,"DC"
12,0.000243069610635584,0.00015929577701812,0.0269718475078934,2.90149799931402,0.0885233123839359,1,26188.8599085169,-52371.7198170338,-52349.5578740664,8.68175297904139,11934,11936,"FL"
13,0.000486926478074135,0.000357623363776427,0.041799590659291,3.76577533123232,0.0523479127064359,1,13577.8524290639,-27149.7048581279,-27128.8454896069,13.5059006738675,7730,7732,"GA"
15,0.0292127329146419,0.0279885371175607,0.00123510604634026,23.8627946479588,1.25172518322258e-06,1,4196.74088993728,-8387.48177987456,-8373.4467535306,0.00120971114794508,793,795,"HI"
16,0.000526336960027907,8.87390340034155e-05,0.0217695409064053,1.20278668779255,0.272881035996824,1,5506.38557423354,-11006.7711484671,-10989.567471934,1.08241708935359,2284,2286,"ID"
17,3.70863316156434e-05,-0.000100252346267649,0.0319889723206466,0.270035595123128,0.603323692566726,1,14737.608180198,-29469.2163603959,-29448.5364659632,7.45060616330448,7281,7283,"IL"
18,0.000208366044556798,4.55865535188282e-05,0.0400422470273874,1.28005096482423,0.257933731767606,1,11053.3291637965,-22100.658327593,-22080.4886337685,9.84796946168824,6142,6144,"IN"
19,0.00201536618474653,0.00159727459119174,0.0223296791480915,4.8203939419377,0.0282208514889259,1,5693.74863510726,-11381.4972702145,-11364.1613797726,1.19019298063498,2387,2389,"IA"
20,0.00035229591076986,-4.77231785014354e-05,0.00758029501527424,0.880697747228853,0.348101334190104,1,8662.62523132922,-17319.2504626584,-17301.7771248658,0.14359472042396,2499,2501,"KS"
21,0.0012085728010006,0.000914204564278265,0.0113684876630494,4.10564949009921,0.0428182589989616,1,10382.8133946688,-20759.6267893377,-20741.2366122177,0.438519842350468,3393,3395,"KY"
22,0.00104560273209061,0.000780698357317866,0.0156180020423709,3.94709499602537,0.0470246102054182,1,10340.5012422144,-20675.0024844288,-20656.2956072689,0.919829815976838,3771,3773,"LA"
23,0.00346565925526303,0.00245497533970029,0.0179601314311328,3.42902385394529,0.0643587466451348,1,2570.45543007287,-5134.91086014573,-5120.22381205249,0.318050392529235,986,988,"ME"
24,4.88557020355799e-05,-0.00014783020360909,0.0381676976375804,0.248394524637771,0.618229377345301,1,9393.9633332136,-18781.9266664272,-18762.3239255892,7.40623465877691,5084,5086,"MD"
25,0.0010284075566629,0.000745813046777899,0.0393234722953869,3.63916325579554,0.0565162432968579,1,6427.71211340668,-12849.4242268134,-12830.9111242457,5.46629589834903,3535,3537,"MA"
26,0.000136521686744559,1.70494106884744e-05,0.0719236175497817,1.14270600051586,0.28511209229549,1,10156.7982506655,-20307.596501331,-20286.498915439,43.2928935865522,8369,8371,"MI"
27,9.91429437450613e-05,-0.000119366858933434,0.0070235670921128,0.453723094020587,0.500606218149933,1,16205.0396274444,-32404.0792548887,-32384.7922023872,0.225736343735347,4576,4578,"MN"
