"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00105573858923033,0.000853768459547655,0.0865047904259514,5.22720162079798,0.0222783627451935,1,5090.5968842458,-10175.1937684916,-10155.6735522911,37.0113075797904,4946,4948,"AL"
2,0.0617422607425685,0.0596846779810389,0.00423967627236722,30.0071821639261,7.1285505191791e-08,1,1853.30525206316,-3700.61050412633,-3688.22989657398,0.00819653383187996,456,458,"AK"
4,0.000298630149354386,8.69635455323925e-05,0.0587776053871773,1.41085151820036,0.234974816917431,1,6687.13898095544,-13368.2779619109,-13348.8960933911,16.3170529653246,4723,4725,"AZ"
5,0.000839810088918374,0.000400618796649876,0.00487554584602325,1.91217381515103,0.166857696825364,1,8891.73975392597,-17777.4795078519,-17760.2876656537,0.0540789050999346,2275,2277,"AR"
6,0.000269498832097742,0.000238900769441441,0.0527324382788345,8.80770900842073,0.00300177811224385,1,49784.1710277803,-99562.3420555606,-99537.1589589451,90.8541393601121,32673,32675,"CA"
8,0.000761495930874823,0.00060502262926676,0.0567121975024565,4.86661892507518,0.0274165744267787,1,9268.88580930811,-18531.7716186162,-18511.4850890882,20.5391215847311,6386,6388,"CO"
9,0.00141300411638759,0.00104081365947972,0.0825234122086587,3.79645445003347,0.051465353330723,1,2889.34806454056,-5772.69612908111,-5755.00982106028,18.271534688349,2683,2685,"CT"
10,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,610,612,"DE"
11,0.0305537860345513,0.0291528521993412,0.0433031893661668,21.8095853398867,3.61760716228535e-06,1,1195.09122020519,-2384.18244041037,-2370.55502452885,1.29761501682321,692,694,"DC"
12,0.000128953452394255,4.51700565045066e-05,0.07774980155421,1.53912897686829,0.214771890491842,1,13552.1885209221,-27098.3770418443,-27076.215098877,72.141407612275,11934,11936,"FL"
13,6.71968456203201e-05,-6.21605674655523e-05,0.0384964691630542,0.519466523156836,0.47109113186427,1,14214.3508206518,-28422.7016413036,-28401.8422727826,11.4556910069099,7730,7732,"GA"
15,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,793,795,"HI"
16,0.00124062855043287,0.000803343361531983,0.00355046203617444,2.83711541557412,0.0922460624285203,1,9651.89579106969,-19297.7915821394,-19280.5879056063,0.0287916030510016,2284,2286,"ID"
17,0.000916461294499806,0.000779243393290385,0.0441884894486271,6.67887561624616,0.00977549950250335,1,12384.6667417153,-24763.3334834306,-24742.6535889979,14.2170451487902,7281,7283,"IL"
