"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,3.13991800407193e-05,-0.000170778054253695,0.0658373942167894,0.155305220937991,0.69353318220959,1,6441.45934474155,-12876.9186894831,-12857.3984732826,21.4387460125128,4946,4948,"AL"
2,0.00764759822117422,0.00547138681376447,0.125965354989868,3.5141798242281,0.061484783735472,1,299.989095144192,-593.978190288384,-581.597582736041,7.23547541992195,456,458,"AK"
4,0.000276969306651483,6.52981165828459e-05,0.0810852700160469,1.30848844645273,0.252726484433415,1,5166.91561171546,-10327.8312234309,-10308.4493549111,31.0528796471158,4723,4725,"AZ"
5,0.00257518016548953,0.00213675167325467,0.126687290775447,5.8736606107924,0.0154465925421741,1,1474.43569310699,-2942.87138621397,-2925.67954401578,36.5129984401518,2275,2277,"AR"
6,0.00103905091332343,0.00100847640381752,0.0936587230465033,33.984221827745,5.60824248808797e-09,1,31014.7761077414,-62023.5522154828,-61998.3691188673,286.60613154547,32673,32675,"CA"
8,0.000205291979797474,4.8731580796435e-05,0.0842751866431665,1.31126377492306,0.252208882602713,1,6738.61073313059,-13471.2214662612,-13450.9349367332,45.3553330367672,6386,6388,"CO"
9,0.00081937012726831,0.000446958412817056,0.120866666714264,2.20017280733403,0.138112720436473,1,1864.73602806232,-3723.47205612465,-3705.78574810382,39.1952792619814,2683,2685,"CT"
10,0.0254010324521736,0.0238033292266854,0.0580055510999852,15.8984672791227,7.49345045317369e-05,1,875.107792644078,-1744.21558528816,-1730.96538844062,2.05243281463193,610,612,"DE"
11,0.00390411750255346,0.00246467258564975,0.0228488179641657,2.71223820842761,0.100035190873743,1,1638.7840915426,-3271.56818308521,-3257.94076720369,0.361271389792831,692,694,"DC"
12,0.000204412941501672,0.000120635868679497,0.0893121762958832,2.43996280385484,0.118305545998169,1,11897.3596071748,-23788.7192143496,-23766.5572713823,95.1935181373924,11934,11936,"FL"
13,0.00276418898093847,0.00263518046722322,0.106203300150516,21.4264074620621,3.73669899055629e-06,1,6368.00493129176,-12730.0098625835,-12709.1504940625,87.1877596429118,7730,7732,"GA"
15,0.00376920389662099,0.00251292294314875,0.0647128477642276,3.00028738492268,0.08363859201824,1,1049.49256668771,-2092.98513337543,-2078.95010703147,3.32088786394459,793,795,"HI"
16,0.00743555144705564,0.00700097857115678,0.081484404856003,17.1100219535711,3.65520043055475e-05,1,2489.09448555817,-4972.18897111633,-4954.98529458327,15.1650936081393,2284,2286,"ID"
17,0.00101125976391684,0.000874054882686659,0.138071499375953,7.37043576621144,0.00664611595858564,1,4087.09147954181,-8168.18295908361,-8147.50306465096,138.803083221584,7281,7283,"IL"
