"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00108548065995797,0.000883516543633611,0.0733417362591229,5.37462139172744,0.0204723542340365,1,5907.36302940211,-11808.7260588042,-11789.2058426037,26.6045848325285,4946,4948,"AL"
2,0.0117490318847982,0.00958181484945775,0.0558073828472708,5.42125301398483,0.0203294542483736,1,672.847233614895,-1339.69446722979,-1327.31385967745,1.42019557499941,456,458,"AK"
4,0.00153039390250153,0.00131898809981301,0.106707492637709,7.23912912058027,0.00715826262469454,1,3869.47757739413,-7732.95515478826,-7713.57328626847,53.7783874762809,4723,4725,"AZ"
5,0.0044694729713179,0.00403187713526143,0.0955694420773796,10.2137008697226,0.0014131131796093,1,2116.25060298924,-4226.50120597848,-4209.30936378029,20.7787540391832,2275,2277,"AR"
6,6.84995272861139e-05,3.78953127826431e-05,0.109170131633624,2.23823837328972,0.134643947651361,1,26007.3344384122,-52008.6688768245,-51983.485780209,389.400657681218,32673,32675,"CA"
8,0.00170919391877251,0.00155286901960539,0.105532571262481,10.9336000079251,0.000949573981269594,1,5301.7440835251,-10597.4881670502,-10577.2016375222,71.1216712921707,6386,6388,"CO"
9,0.00148222864772612,0.00111006399198532,0.12768495561718,3.98272276763131,0.0460701369924091,1,1717.38877072648,-3428.77754145295,-3411.09123343212,43.7421506914488,2683,2685,"CT"
10,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,610,612,"DE"
11,0.0627349466574646,0.0613805173896286,0.102614295734032,46.3183631269988,2.18011897497259e-11,1,596.342048442982,-1186.68409688596,-1173.05668100444,7.28654803278199,692,694,"DC"
12,0.00344443756867789,0.00336093199113197,0.0840144728615426,41.2479940850612,1.39180846868228e-10,1,12627.2311028338,-25248.4622056677,-25226.3002627003,84.2353233135212,11934,11936,"FL"
13,0.00107240691492416,0.000943179541950667,0.0875327150341063,8.2986049336789,0.0039784663423362,1,7862.92971035914,-15719.8594207183,-15699.0000521973,59.2270760356011,7730,7732,"GA"
15,0.0200919548997946,0.0188562574910931,0.111168307257973,16.259607536856,6.0560851070654e-05,1,619.329531923772,-1232.65906384754,-1218.62403750358,9.80020528311222,793,795,"HI"
16,0.0123197950584883,0.0118873606430148,0.118941126302084,28.489395426583,1.03521630752313e-07,1,1624.4904618376,-3242.9809236752,-3225.77724714214,32.3117286454031,2284,2286,"ID"
17,0.00259898537299897,0.00246199855599205,0.0971131942616291,18.972521807472,1.34432511329427e-05,1,6649.93849020607,-13293.8769804121,-13273.1970859795,68.6669107702933,7281,7283,"IL"
18,0.0029575753564339,0.00279524347355486,0.0647515763992254,18.2193128298537,1.99835228081501e-05,1,8100.38161289357,-16194.7632257871,-16174.5935319626,25.7519727408666,6142,6144,"IN"
19,0.000461962531351191,4.32201612344807e-05,0.106305394879503,1.1032142059625,0.293668125754166,1,1965.95461563944,-3925.90923127888,-3908.5733408369,26.9750978724225,2387,2389,"IA"
20,0.00247029116290328,0.00207111961074768,0.0822099336336858,6.18854512442739,0.0129227195913852,1,2700.93145038631,-5395.86290077262,-5378.38956297998,16.8894244969495,2499,2501,"KS"
21,0.00251904419523906,0.00222506218645491,0.0659997315482549,8.56870189321097,0.00344264301342712,1,4411.66910642447,-8817.33821284894,-8798.94803572896,14.7797877671507,3393,3395,"KY"
22,0.00366470958736263,0.00340049975166579,0.0612470036264032,13.8704510288108,0.000198717772233664,1,5184.73182420174,-10363.4636484035,-10344.7567712436,14.1457580540649,3771,3773,"LA"
23,0.00325874771730238,0.00224785395230975,0.0478114512697368,3.22363024696888,0.0728886191044296,1,1603.09396334883,-3200.18792669767,-3185.50087860442,2.25393178430316,986,988,"ME"
