"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000425353607957232,0.000223256024780571,0.269251272943793,2.10469418422138,0.146911114196832,1,-527.586216283868,1061.17243256774,1080.69264876827,358.566442518244,4946,4948,"AL"
2,0.00934416621796636,0.00717167535440921,0.343673747950431,4.30113027157539,0.0386477460153759,1,-159.699043155892,325.398086311783,337.778693864126,53.8589101338151,456,458,"AK"
4,0.00131234571498799,0.00110089374499311,0.283781032890382,6.20635369356374,0.0127633226019857,1,-752.099507948454,1510.19901589691,1529.58088441669,380.351099269612,4723,4725,"AZ"
5,0.0041639716028963,0.00372624148052392,0.271754737072055,9.5126457835,0.00206512900124572,1,-263.321033836495,532.64206767299,549.833909871181,168.010199450506,2275,2277,"AR"
6,0.000591638141608359,0.000561049938447966,0.278182831373813,19.3420364872922,1.096189800512e-05,1,-4555.91489075755,9117.8297815151,9143.01287813058,2528.42257327953,32673,32675,"CA"
8,0.000131854401878556,-2.47174968996955e-05,0.269043407281535,0.842133249372359,0.358822028463069,1,-676.485483047435,1358.97096609487,1379.25749562287,462.246491040589,6386,6388,"CO"
9,0.000135285532187845,-0.000237381152295102,0.276969303558236,0.363020194240162,0.546884580640855,1,-361.716107656274,729.432215312549,747.118523333378,205.818282889613,2683,2685,"CT"
10,0.0194223979817442,0.0178148937161405,0.272759114852834,12.0823306023702,0.000545172259637548,1,-72.2990080367937,150.598016073587,163.848212921124,45.382496188534,610,612,"DE"
11,0.0502120984611168,0.048839572591841,0.308506443400774,36.5837173528898,2.39341013091038e-09,1,-167.589188905239,341.178377810479,354.805793691999,65.8619481288982,692,694,"DC"
12,0.00218124190954009,0.00209763048352263,0.264801645726922,26.0878448489656,3.31265050027237e-07,1,-1075.20092040548,2156.40184081097,2178.5637837783,836.811024791979,11934,11936,"FL"
13,0.000152760329890412,2.34139858192872e-05,0.264931291643723,1.18101776271592,0.277182782535297,1,-699.93481854205,1405.8696370841,1426.72900560508,542.557795227248,7730,7732,"GA"
15,0.0224005021126779,0.0211677158606131,0.271404265618367,18.1706293975623,2.26275724244739e-05,1,-90.2589513040538,186.517902608108,200.552928952071,58.4125983889053,793,795,"HI"
16,0.00214961660039517,0.00171272939225164,0.247355710994026,4.92030107617486,0.0266409096588983,1,-49.3159775708113,104.631955141623,121.835631674687,139.746192286947,2284,2286,"ID"
17,0.00465609073683479,0.00451938645043681,0.275663860386401,34.0595811552114,5.57435386704988e-09,1,-948.451657510959,1902.90331502192,1923.58320945457,553.287295924332,7281,7283,"IL"
18,8.41631434215875e-05,-7.86365695149005e-05,0.283757074997988,0.516973537013331,0.472162901224592,1,-977.749829883164,1961.49965976633,1981.66935359081,494.542032689303,6142,6144,"IN"
19,0.0240513128560187,0.0236424529116769,0.283901611669831,58.8253097151274,2.49125107119709e-14,1,-380.788047227957,767.576094455914,784.911984897891,192.392498634533,2387,2389,"IA"
20,0.00739669601018882,0.00699949580851222,0.267313661246384,18.6220852330062,1.65563029465003e-05,1,-248.114166813926,502.228333627853,519.701671420486,178.570027128877,2499,2501,"KS"
21,0.00263681534753979,0.00234286804879169,0.285447307724598,8.97036767736727,0.00276376509057439,1,-559.991898469323,1125.98379693865,1144.37397405862,276.462201498142,3393,3395,"KY"
22,0.000181499462620311,-8.36340564827065e-05,0.26218680562128,0.684558720581109,0.408073704020101,1,-301.747150704994,609.494301409988,628.201178569881,259.225784248971,3771,3773,"LA"
23,0.00055021205309982,-0.000463428705467006,0.263334306940166,0.542807743719533,0.461446689837602,1,-82.5913034370511,171.182606874102,185.869654967346,68.3741278106942,986,988,"ME"
24,4.38757522847935e-05,-0.000152811132893671,0.273737156161629,0.223074112160377,0.636727788159358,1,-626.366122924322,1258.73224584864,1278.33498668659,380.95444389301,5084,5086,"MD"
25,0.00217043016165993,0.00188815871333226,0.268555790421003,7.68915940495819,0.00558447441570405,1,-367.70343114748,741.40686229496,759.919964862576,254.952021430177,3535,3537,"MA"
26,0.00322175984313078,0.00310265621782824,0.291805856527306,27.0500569142823,2.02948475812976e-07,1,-1566.65346150639,3139.30692301278,3160.40450890476,712.625855995519,8369,8371,"MI"
27,0.00950176243314863,0.00928530739871525,0.278995586361466,43.8971653305477,3.86075332326388e-11,1,-650.811834297765,1307.62366859553,1326.91072109707,356.189146269201,4576,4578,"MN"
28,0.00554049603915338,0.00524988835243201,0.264759814038005,19.0652081562582,1.30067997468766e-05,1,-307.181303318347,620.362606636695,638.77830084848,239.87453174094,3422,3424,"MS"
29,0.01369836530683,0.0134303485582721,0.258166481772652,51.1101092768811,1.04829791841589e-12,1,-237.548810095947,481.097620191895,499.731254277274,245.271750903997,3680,3682,"MO"
30,0.0111958602439328,0.0104450598340953,0.250787104116161,14.9118994838523,0.000118118621670915,1,-46.2031417573969,98.4062835147939,113.960170972946,82.8316239853075,1317,1319,"MT"
31,0.000578362135254752,1.66182488847699e-06,0.287231483299023,1.00288160914536,0.316754052024568,1,-296.502834665048,599.005669330097,615.38195740724,142.975836021806,1733,1735,"NE"
32,0.00931502285691402,0.00890581799233603,0.238094778954234,22.7637148608257,1.94088640589467e-06,1,40.1268242587197,-74.2536485174395,-56.8753633549899,137.244368635708,2421,2423,"NV"
33,0.00784560410328645,0.00680013055650386,0.287372025780232,7.50435448838544,0.00627040424299294,1,-162.533751144572,331.067502289144,345.64004447678,78.3709644597817,949,951,"NH"
