"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.195103044970513,0.00414773020715501,47.0385090703228,0,"AL"
1,"EJB1_UNION",-0.0156232655864493,0.0107690480587587,-1.45075641794937,0.146911114196841,"AL"
2,"(Intercept)",0.232043463549331,0.0172268083872724,13.4699044844993,4.72937154653231e-35,"AK"
2,"EJB1_UNION",0.0987082006427772,0.0475950663870049,2.07391665010321,0.0386477460153771,"AK"
4,"(Intercept)",0.197681999099488,0.0042298879070156,46.7345715643236,0,"AZ"
4,"EJB1_UNION",-0.0483976212853848,0.0194270007025447,-2.49125544526518,0.0127633226019882,"AZ"
5,"(Intercept)",0.186750864713011,0.00585265258356942,31.9087562513603,5.73208094350503e-185,"AR"
5,"EJB1_UNION",0.0783054947440127,0.0253887649609037,3.0842577362308,0.00206512900124624,"AR"
6,"(Intercept)",0.180683398547761,0.00170609740693873,105.904503349527,0,"CA"
6,"EJB1_UNION",0.0173815992696941,0.00395219745348097,4.39795821799971,1.09618980052406e-05,"CA"
8,"(Intercept)",0.196870998472654,0.00350830033344705,56.115776803869,0,"CO"
8,"EJB1_UNION",0.0114278793357156,0.0124530358627685,0.917678183990629,0.358822028463075,"CO"
9,"(Intercept)",0.228068129143991,0.00587173749197137,38.8416766682496,2.95626978376169e-262,"CT"
9,"EJB1_UNION",-0.00854722728859532,0.0141859968963476,-0.602511571872397,0.546884580640863,"CT"
10,"(Intercept)",0.202678686759918,0.0117160071797039,17.2992969064602,7.4797376404755e-55,"DE"
10,"EJB1_UNION",-0.120415301574355,0.0346422682430713,-3.47596470096725,0.000545172259637506,"DE"
11,"(Intercept)",0.328848974166792,0.0121568569217982,27.0504930906228,1.64631237653761e-110,"DC"
11,"EJB1_UNION",-0.27394284069278,0.045291430564876,-6.04844751592425,2.39341013090985e-09,"DC"
12,"(Intercept)",0.164778944061456,0.00251929396961331,65.4067949389598,0,"FL"
12,"EJB1_UNION",0.047175973493352,0.00923637951238785,5.10762614616252,3.31265050027687e-07,"FL"
13,"(Intercept)",0.194489956596599,0.00311748602135239,62.3867934818285,0,"GA"
13,"EJB1_UNION",-0.0131914812405186,0.0121385091333175,-1.08674641141151,0.277182782535323,"GA"
15,"(Intercept)",0.19340927962609,0.0114484979663953,16.8938563114395,6.3612106717715e-55,"HI"
15,"EJB1_UNION",0.0901444722535873,0.0211472605010383,4.26270212395412,2.26275724244663e-05,"HI"
16,"(Intercept)",0.151303329068883,0.00536716177319995,28.1905661618757,2.69274854576742e-150,"ID"
16,"EJB1_UNION",0.0447219910746583,0.0201616137980121,2.21817516805464,0.026640909658908,"ID"
17,"(Intercept)",0.226041094079273,0.00355732322541551,63.542467118059,0,"IL"
17,"EJB1_UNION",-0.0495601608669256,0.0084920600375414,-5.8360587004604,5.5743538670266e-09,"IL"
18,"(Intercept)",0.221130098021736,0.00379118647612034,58.3274126489359,0,"IN"
18,"EJB1_UNION",0.00917772970717486,0.0127644206160387,0.719008718315262,0.472162901224582,"IN"
19,"(Intercept)",0.241203363867084,0.00610012355916548,39.5407341388478,1.90797800794156e-263,"IA"
19,"EJB1_UNION",0.153135678241214,0.0199661475012391,7.66976594917525,2.49125107119627e-14,"IA"
20,"(Intercept)",0.210512810382498,0.00558359420175188,37.702025393688,1.14742733331783e-246,"KS"
20,"EJB1_UNION",0.0833511709676983,0.0193151262152747,4.31533141635818,1.6556302946486e-05,"KS"
21,"(Intercept)",0.192147595235599,0.00519768890846034,36.9678906567182,1.09809453072544e-251,"KY"
21,"EJB1_UNION",0.0465924651510543,0.0155564524882353,2.99505720769502,0.00276376509057649,"KY"
22,"(Intercept)",0.1705240901369,0.00446247132873254,38.212926778699,2.3557279263521e-270,"LA"
22,"EJB1_UNION",-0.0126581920017422,0.0152991155657651,-0.827380638268229,0.408073704020089,"LA"
23,"(Intercept)",0.203621036341757,0.00942284235342432,21.6093009629689,4.3696021454049e-85,"ME"
23,"EJB1_UNION",-0.0151669495522445,0.020586154359436,-0.73675487356348,0.4614466898376,"ME"
24,"(Intercept)",0.243052241253818,0.00415277939185738,58.52760725272,0,"MD"
24,"EJB1_UNION",0.00513857288862559,0.0108797254136382,0.472307222219427,0.636727788159165,"MD"
25,"(Intercept)",0.223223633898437,0.00491543947670287,45.4127519942873,0,"MA"
25,"EJB1_UNION",-0.0345024373775183,0.0124425772024413,-2.77293335746784,0.00558447441570505,"MA"
26,"(Intercept)",0.238233105870051,0.00348351965786489,68.3886210695503,0,"MI"
26,"EJB1_UNION",0.0450486412139624,0.00866158964235749,5.20096692109061,2.02948475813349e-07,"MI"
27,"(Intercept)",0.296694992923132,0.00455780233286453,65.0960641236634,0,"MN"
