"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00241505700949792,0.00221336171168351,0.0642469076302212,11.9737893528836,0.000544100242620161,1,6562.45964532483,-13118.9192906497,-13099.3990744491,20.4154317826684,4946,4948,"AL"
2,4.41707854077532e-05,-0.00214871480497525,0.0908369855691876,0.0201427678678125,0.88720175554433,1,449.727787360003,-893.455574720006,-881.074967167663,3.76261922396734,456,458,"AK"
4,0.00120815102669056,0.000996676995571821,0.0957627550006708,5.71299946522893,0.0168787027631043,1,4380.80548551587,-8755.61097103175,-8736.22910251196,43.3122962736392,4723,4725,"AZ"
5,0.000736710886107218,0.000297474275507859,0.0460812741492206,1.67725291637617,0.19542128488452,1,3777.20018923355,-7548.4003784671,-7531.20853626891,4.83092570691556,2275,2277,"AR"
6,0.00105629345423335,0.00102571947245789,0.0759584734307021,34.5487696694197,4.19734694487153e-09,1,37859.2338772417,-75712.4677544834,-75687.2846578679,188.513071108152,32673,32675,"CA"
8,0.000901838972025005,0.000745387647091089,0.0923524868342902,5.7643421837811,0.0163830293066948,1,6153.94801848827,-12301.8960369765,-12281.6095074485,54.4660779311149,6386,6388,"CO"
9,0.00223479471164669,0.00186291055015264,0.0883582836331083,6.00938395082162,0.0142933501624494,1,2705.91445946333,-5405.82891892666,-5388.14261090583,20.9466808069178,2683,2685,"CT"
10,0.00258302583025828,0.000947916036537433,0.0352100312568797,1.57972623011468,0.209281183429601,1,1180.6229011843,-2355.24580236859,-2341.99560552105,0.756245243677373,610,612,"DE"
11,0.00015624323563046,-0.00128861768454924,0.0723554011456468,0.108137214764605,0.742374430663104,1,838.816733571549,-1671.6334671431,-1658.00605126158,3.62283041986365,692,694,"DC"
12,0.00104385761783621,0.000960150885610411,0.077362427875391,12.4704141480633,0.000415008055677131,1,13611.8060231644,-27217.6120463287,-27195.4501033614,71.4243365750137,11934,11936,"FL"
13,0.000159637192772363,3.02917383342427e-05,0.0763266340819046,1.2341925231601,0.266627792669063,1,8922.14150642313,-17838.2830128463,-17817.4236443253,45.03308669321,7730,7732,"GA"
15,0.00806557774074865,0.00681471466097661,0.0399506610713687,6.44801007494629,0.0112976233532683,1,1432.93262333091,-2859.86524666181,-2845.83022031785,1.26567186879122,793,795,"HI"
16,0.00057244313616529,0.000134865396732797,0.0766167264517891,1.30820899826325,0.252839041757804,1,2629.90348237556,-5253.80696475111,-5236.60328821805,13.407360411678,2284,2286,"ID"
17,0.00320796310157577,0.0030710599238668,0.0738308990525504,23.4323494550081,1.32050107590045e-06,1,8646.20820003015,-17286.4164000603,-17265.7365056277,39.6887430493844,7281,7283,"IL"
18,0.00186832215211581,0.00170581292420191,0.075956555792962,11.4967142241569,0.000701588851983769,1,7119.77773149888,-14233.5554629978,-14213.3857691733,35.4356447758221,6142,6144,"IN"
19,0.0103061280370599,0.0098915097413067,0.075104244655609,24.8569060811394,6.61826996468843e-07,1,2795.98628700047,-5585.97257400093,-5568.63668355896,13.4642257383462,2387,2389,"IA"
20,0.0340542389345969,0.0336677060170038,0.0380828782706193,88.1017822405409,1.35077971941945e-20,1,4625.47933668973,-9244.95867337945,-9227.48533558682,3.62431373781964,2499,2501,"KS"
21,0.0014964505252501,0.00120216713312671,0.0516522253793418,5.08506618213277,0.0241962395542442,1,5243.84265964224,-10481.6853192845,-10463.2951421645,9.05236244786384,3393,3395,"KY"
22,0.0133333278024994,0.0130716819069285,0.0556152005936141,50.9594380351795,1.12584281785644e-12,1,5548.66926168116,-11091.3385233623,-11072.6316462024,11.6638935752832,3771,3773,"LA"
23,0.012411916430743,0.0114103057983197,0.0850082499951791,12.3919575421389,0.000450900985315779,1,1034.51662752121,-2063.03325504243,-2048.34620694919,7.12523293130146,986,988,"ME"
24,0.00597105732950807,0.00577553629436434,0.0637961349213408,30.5392068179266,3.4349289896674e-08,1,6781.26956473509,-13556.5391294702,-13536.9363886322,20.6916096883053,5084,5086,"MD"
25,0.00705567676385173,0.00677478728061665,0.0748828683677574,25.1190492523558,5.65422981387954e-07,1,4149.51790085316,-8293.03580170632,-8274.52269913871,19.8223144515645,3535,3537,"MA"
26,0.000607504108059824,0.000488088109028673,0.0682041292365247,5.08729243140365,0.0241275116329738,1,10601.2948308873,-21196.5896617746,-21175.4920758826,38.9309413566732,8369,8371,"MI"
27,0.00110871214013632,0.000890422960097004,0.0917738717584256,5.0790980108894,0.0242630986707598,1,4439.32136422284,-8872.64272844568,-8853.35567594415,38.5411016277462,4576,4578,"MN"
28,0.00785211422508097,0.00756218205507075,0.0649741368619225,27.0825904721253,2.06419404234626e-07,1,4502.96947923999,-8999.93895847998,-8981.52326426819,14.4464468133772,3422,3424,"MS"
29,0.00315564383638612,0.00288476221786338,0.0695353801602392,11.6495310888783,0.00064912220587568,1,4592.3845187169,-9178.7690374338,-9160.13540334841,17.7934222660267,3680,3682,"MO"
30,0.00111708817929904,0.000358634943292357,0.0596333149954104,1.47285043594871,0.225114096319589,1,1848.39526046968,-3690.79052093936,-3675.23663348121,4.6834261829192,1317,1319,"MT"
31,0.00116040998576948,0.000584045536828781,0.00148675561263345,2.01332678985006,0.156102897985161,1,8836.00304208193,-17666.0060841639,-17649.6297960867,0.003830696422191,1733,1735,"NE"
32,3.61299932335241e-05,-0.000376907540846183,0.113822021795511,0.0874738740488394,0.767438870500992,1,1828.38032091684,-3650.76064183369,-3633.38235667124,31.3651508550408,2421,2423,"NV"
33,1.0156073959252e-05,-0.00104357400393962,0.0601289628618997,0.00963821207372484,0.921814544423063,1,1325.10223179203,-2644.20446358406,-2629.63192139643,3.43110207393048,949,951,"NH"
34,0.00455572595215349,0.0043284036698864,0.106098528092112,20.0408244485228,7.77333922816881e-06,1,3612.90942703363,-7219.81885406726,-7200.66375720382,49.293954867646,4379,4381,"NJ"
35,0.00830436032593703,0.00760401029791857,0.0508168953288932,11.8574426982371,0.000591065921446438,1,2213.91429316726,-4421.82858633452,-4406.05757821324,3.65661730082864,1416,1418,"NM"
36,0.000991829836278946,0.000878306180578714,0.0946426072039468,8.73676794637658,0.00312684019270708,1,8263.51653657408,-16521.0330731482,-16499.784870406,78.8235632655729,8800,8802,"NY"
37,0.000907643953878723,0.000776563875677927,0.114019525818602,6.92434705820557,0.00852012490294336,1,5737.65631031475,-11469.3126206295,-11448.4954512935,99.0894471859253,7622,7624,"NC"
38,0.00548056594151743,0.00414384627208386,0.0916506816878573,4.10001144356641,0.04323960092689,1,725.242263728158,-1444.48452745632,-1430.6403506557,6.24948650566362,744,746,"ND"
39,0.00299085256381361,0.00287373648870071,0.05971473584674,25.5375067934118,4.4289178657935e-07,1,11915.5110423033,-23825.0220846066,-23803.8733308274,30.3560783023946,8513,8515,"OH"
40,0.000750711347396537,0.000450906580324095,0.0816717238968526,2.504000702614,0.113652374938078,1,3623.17348330611,-7240.34696661221,-7222.01028273716,22.2320115241177,3333,3335,"OK"
41,0.000776264662080259,0.000507800466664432,0.0978314590849286,2.89150164280838,0.0891314325437929,1,3373.34500771938,-6740.69001543875,-6722.02235452356,35.6232411072455,3722,3724,"OR"
42,0.000472541144725839,0.000360272532027306,0.0614293654854019,4.20902274792163,0.0402386864959245,1,12209.1207176392,-24412.2414352785,-24390.9583306913,33.5960665018897,8903,8905,"PA"
44,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,589,591,"RI"
45,0.000344743021943929,0.000131414968811749,0.0891264355051447,1.61602291345197,0.203710324689372,1,4683.19065870368,-9360.38131740736,-9341.02303341359,37.2233417764258,4686,4688,"SC"
46,0.00179862006108524,0.000183407472187369,0.0821096636100638,1.11355005121181,0.291723902793183,1,671.073455529395,-1336.14691105879,-1322.85775262467,4.16655405834154,618,620,"SD"
47,0.0017997067495625,0.00161232167480185,0.0572900066065506,9.6043228195227,0.0019513186991633,1,7678.44008622682,-15350.8801724536,-15331.1374158067,17.4839856531251,5327,5329,"TN"
48,0.0026765379366146,0.00262337287120251,0.0709876613403501,50.3439225715941,1.33631130812247e-12,1,23007.8144914712,-46009.6289829425,-45986.1103763643,94.5312544057926,18759,18761,"TX"
49,0.000981029013139092,0.000618408696991368,0.0608056190158195,2.70538899629539,0.100123769275111,1,3808.78829808374,-7611.57659616747,-7593.8109009344,10.1861257022362,2755,2757,"UT"
50,1.43380924789096e-06,-0.00220606854437411,0.167171556079742,0.000649516520577401,0.979678845840818,1,169.259465590225,-332.518931180449,-320.158038923596,12.6596871104414,453,455,"VT"
51,0.000479338861943686,0.000313690757678287,0.0881083430227923,2.89371776434815,0.0889770278458187,1,6098.86625548132,-12191.7325109626,-12171.616020503,46.8424253850797,6034,6036,"VA"
53,0.000119546673981424,-1.07988420303684e-05,0.0972828567064461,0.917152178603994,0.338254010912012,1,6992.59140212742,-13979.1828042548,-13958.3464153983,72.5979927369852,7671,7673,"WA"
54,0.0138362398224828,0.01313133363222,0.155923871767708,19.6284839225576,1.01387260326349e-05,1,616.668566094877,-1227.33713218975,-1211.60230755074,34.0128430480585,1399,1401,"WV"
55,0.0232709444113514,0.023118306646765,0.064760211315464,152.458629582277,1.24426718899591e-34,1,8438.32054668733,-16870.6410933747,-16850.3484648532,26.8366699206211,6399,6401,"WI"
56,0.000311998960003464,-0.00171988722097205,0.00176268583217582,0.153551396197625,0.695334031214564,1,2432.45919088607,-4858.91838177214,-4846.31077522058,0.00152867418073305,492,494,"WY"
61,0.00468536474263027,-0.00291245690055564,0.00950768453145901,0.61667211507028,0.4337045891046,1,431.49087305575,-856.9817461115,-848.310698726835,0.0118418845346166,131,133,NA
