"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.0128968751482141,0.000989703174215985,13.0310536372995,3.4449661737841e-38,"AL"
1,"EJB1_UNION",-0.00889175699977485,0.00256963700981615,-3.46031636601117,0.000544100242619824,"AL"
2,"(Intercept)",0.0305365991009344,0.00455324665968821,6.70655498883635,5.9135716963114e-11,"AK"
2,"EJB1_UNION",0.00178540959902711,0.0125799319393591,0.141925219280484,0.887201755544326,"AK"
4,"(Intercept)",0.0160017249958554,0.00142738827607377,11.2104921023104,8.34383486358622e-29,"AZ"
4,"EJB1_UNION",-0.0156693547974964,0.00655569926477176,-2.39018816523487,0.0168787027631051,"AZ"
5,"(Intercept)",0.00990163187953218,0.000992430494899147,9.97715399760908,5.64748158837219e-23,"AR"
5,"EJB1_UNION",-0.00557555633921079,0.00430515637401133,-1.29508799561112,0.195421284884537,"AR"
6,"(Intercept)",0.00995743246680753,0.000465853891540138,21.3745825625449,1.12894637960566e-100,"CA"
6,"EJB1_UNION",0.00634308939264645,0.00107915676816057,5.87782014605558,4.19734694496404e-09,"CA"
8,"(Intercept)",0.0156345384218029,0.00120426760733208,12.9826114450089,4.64050078654663e-38,"CO"
8,"EJB1_UNION",-0.0102630478939555,0.00427465903061437,-2.40090445119793,0.0163830293066861,"CO"
9,"(Intercept)",0.0172598640536194,0.00187319186664191,9.21414637816108,6.15195013881002e-20,"CT"
9,"EJB1_UNION",-0.0110940589435825,0.00452559298551407,-2.45140448535547,0.0142933501624549,"CT"
10,"(Intercept)",0.00562062192378802,0.00151240034352574,3.71635853419942,0.000220697154718192,"DE"
10,"EJB1_UNION",-0.00562062192378803,0.0044719141587839,-1.25687160446669,0.209281183429602,"DE"
11,"(Intercept)",0.0142111954923255,0.00285120222952444,4.98428183913697,7.86783206304418e-07,"DC"
11,"EJB1_UNION",0.00349309457905504,0.0106224025367426,0.328842233851761,0.742374430663092,"DC"
12,"(Intercept)",0.0110777673945312,0.000736017699157757,15.0509524529203,9.93066936465967e-51,"FL"
12,"EJB1_UNION",0.00952909416540156,0.00269843014719676,3.53134735590646,0.000415008055676191,"FL"
13,"(Intercept)",0.012202834608088,0.000898146886805676,13.5866802940088,1.4382612478259e-41,"GA"
13,"EJB1_UNION",-0.00388507725361542,0.00349710122639842,-1.11094217813551,0.266627792668992,"GA"
15,"(Intercept)",0.00973550182917546,0.00168521692534799,5.77700216674784,1.09207238017977e-08,"HI"
15,"EJB1_UNION",-0.00790449756094593,0.00311287309703857,-2.53929322350657,0.0112976233532677,"HI"
16,"(Intercept)",0.0148865874654754,0.00166244136327902,8.95465415761369,6.89653325160149e-19,"ID"
16,"EJB1_UNION",0.00714275095324635,0.00624492089946619,1.14376964388082,0.252839041757801,"ID"
17,"(Intercept)",0.013085327239564,0.000952755909261373,13.734186387475,2.13287310469241e-42,"IL"
17,"EJB1_UNION",-0.0110097966304053,0.00227442373657932,-4.84069720753258,1.32050107589658e-06,"IL"
18,"(Intercept)",0.0115852801389994,0.0010148309679926,11.4159702496227,6.95308920021634e-30,"IN"
18,"EJB1_UNION",-0.0115852801389989,0.00341680089102219,-3.39068049573501,0.000701588851983415,"IN"
19,"(Intercept)",0.00747310153382911,0.00161374628880169,4.63090238266536,3.83614427769387e-06,"IA"
19,"EJB1_UNION",0.0263338547357454,0.0052819088202534,4.98567007343417,6.61826996469615e-07,"IA"
20,"(Intercept)",0.00384023527596109,0.000795467531686912,4.82764553295755,1.46490414900457e-06,"KS"
20,"EJB1_UNION",0.0258284597146114,0.00275173216740304,9.38625496353706,1.35077971943047e-20,"KS"
21,"(Intercept)",0.00970510316849034,0.000940531550609414,10.3187428026226,1.3344614904286e-24,"KY"
21,"EJB1_UNION",-0.00634778133366248,0.00281496923698647,-2.25500913127492,0.0241962395542374,"KY"
22,"(Intercept)",0.00458050681795805,0.000946581722534126,4.83899774199676,1.35718813846596e-06,"LA"
22,"EJB1_UNION",0.0231665474998205,0.00324525629380433,7.13858795807555,1.12584281785542e-12,"LA"
23,"(Intercept)",0.0233936946419521,0.0030418343426368,7.69065373286349,3.5360553177648e-14,"ME"
23,"EJB1_UNION",-0.0233936946419525,0.00664551830166174,-3.52022123482871,0.000450900985315764,"ME"
24,"(Intercept)",0.00716512308015205,0.000967830886009013,7.40328003965491,1.54668987969614e-13,"MD"
24,"EJB1_UNION",0.0140122355055322,0.00253558720390074,5.52622898710635,3.4349289896536e-08,"MD"
25,"(Intercept)",0.00804851011261633,0.00137059866304351,5.87225883815185,4.69605992554888e-09,"MA"
25,"EJB1_UNION",0.0173884108724799,0.00346943132131103,5.01189078615602,5.65422981387984e-07,"MA"
26,"(Intercept)",0.0132927909254094,0.000814207184771695,16.326054564523,5.22828079425081e-59,"MI"
26,"EJB1_UNION",-0.00456622829188555,0.00202448362891515,-2.25550270037621,0.0241275116329637,"MI"
27,"(Intercept)",0.0160730809496017,0.00149926087452376,10.7206699132379,1.67617242389119e-26,"MN"
27,"EJB1_UNION",0.00793063361635763,0.00351896210352456,2.25368542855702,0.0242630986707483,"MN"
28,"(Intercept)",0.00659470874677467,0.00113867115924302,5.79158319172569,7.60243849657296e-09,"MS"
