"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000189873802221708,-1.22713911057115e-05,0.110925542972194,0.939294173144625,0.332506818071236,1,3860.23017724883,-7714.46035449765,-7694.94013829712,60.8579387098619,4946,4948,"AL"
2,0.131320212074549,0.129415212539625,0.143313881166268,68.9345113565982,1.16682950552679e-15,1,240.893222658011,-475.786445316022,-463.405837763679,9.36572405193227,456,458,"AK"
4,0.00253011864598467,0.00231892451484883,0.102376413733802,11.9800613415659,0.000542491763741063,1,4065.25807492804,-8124.51614985609,-8105.1342813363,49.501432810322,4723,4725,"AZ"
5,0.00219577604803295,0.0017571807847574,0.0668315367083153,5.00638340604521,0.0253504798956292,1,2930.68352254569,-5855.36704509138,-5838.17520289319,10.1611835297584,2275,2277,"AR"
6,0.000411271853535993,0.000380678130028844,0.137029770137996,13.443014003868,0.000246309898734656,1,18580.6109322235,-37155.221864447,-37130.0387678315,613.506080199748,32673,32675,"CA"
8,0.00271082498242413,0.00255465693121559,0.129603744078775,17.3583838784326,3.1361295200485e-05,1,3989.25260149396,-7972.50520298791,-7952.21867345991,107.266475240405,6386,6388,"CO"
9,0.000117053517448697,-0.000255619962417963,0.13287988905374,0.314091352812501,0.575227145769598,1,1610.31181749636,-3214.62363499272,-3196.93732697189,47.3739051667688,2683,2685,"CT"
10,0.130617283368666,0.129192065800418,0.12051233303372,91.6472588316634,2.54595542326498e-20,1,427.60520290053,-849.210405801059,-835.960208953522,8.85916567207047,610,612,"DE"
11,0.0237385039400002,0.022327721431243,0.182760913040465,16.826480192834,4.58314403594361e-05,1,195.764169372575,-385.528338745149,-371.900922863629,23.1138735240861,692,694,"DC"
12,0.00012210110543386,3.83171353571798e-05,0.110144279027178,1.4573325341611,0.227378945861281,1,9394.93778739454,-18783.8755747891,-18761.7136318217,144.780450123642,11934,11936,"FL"
