"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00100804819974644,0.000806068427849915,0.28032260040521,4.99083740060278,0.0255263946158195,1,-726.971024678412,1459.94204935682,1479.46226555736,388.660440433606,4946,4948,"AL"
2,0.00133443992888384,-0.000855616123903724,0.241633066931223,0.609317705446555,0.435449836312656,1,1.64175135475421,2.71649729049158,15.0971048428341,26.6242617997726,456,458,"AK"
4,0.0141422652730234,0.0139335297797506,0.271535455442146,67.7520868698033,2.37524737313616e-16,1,-543.67877498227,1093.35754996454,1112.73941848432,348.233891324147,4723,4725,"AZ"
5,0.00412668093733027,0.00368893442345664,0.311218662004909,9.42710177360978,0.00216328794310629,1,-572.07267228326,1150.14534456652,1167.33718676471,220.349801444786,2275,2277,"AR"
6,0.00329527416897977,0.0032647687141445,0.298956048454801,108.022456533761,2.90989765322175e-25,1,-6909.10314259008,13824.2062851802,13849.3893817956,2920.14019087159,32673,32675,"CA"
8,0.000122352740614457,-3.42206460532957e-05,0.252112045573329,0.781440212915601,0.376734311884158,1,-261.271117539143,528.542235078286,548.828764606291,405.897247778954,6386,6388,"CO"
9,0.0129151870778089,0.0125472836812669,0.223063428408649,35.1048324076411,3.52349762226846e-09,1,219.45353646189,-432.907072923781,-415.220764902952,133.498817369647,2683,2685,"CT"
10,0.00445931654184173,0.00282728263453325,0.199148699608125,2.73236758248241,0.0988479498330164,1,120.197796675205,-234.395593350411,-221.145396502874,24.1927247789205,610,612,"DE"
11,0.00455578898771188,0.0031172857926075,0.210514921324712,3.16703431957344,0.0755775565844338,1,97.6480294464093,-189.296058892819,-175.668643011298,30.667040213442,692,694,"DC"
12,0.0043462925626336,0.00426286255530683,0.299625608971459,52.095075883331,5.6082415982756e-13,1,-2549.92578257283,5105.85156514566,5128.01350811299,1071.38088325181,11934,11936,"FL"
13,0.000820726664029777,0.000691466732162249,0.286033554583795,6.34942825802288,0.0117618984298809,1,-1292.50456734167,2591.00913468335,2611.86850320433,632.431452308808,7730,7732,"GA"
15,0.0436586345060796,0.0424526554827581,0.2508050254176,36.2018191542309,2.71596727673216e-09,1,-27.5067247877328,61.0134495754656,75.0484759194286,49.8822064943551,793,795,"HI"
16,0.00736036243808949,0.00692575664230932,0.300991770259541,16.935720852219,4.00387829821278e-05,1,-497.956043532195,1001.91208706439,1019.11576359746,206.921368524913,2284,2286,"ID"
17,0.000755344705015686,0.000618104675446207,0.255990063030471,5.50382208008475,0.0190016341501801,1,-409.192126809534,824.384253619069,845.064148051723,477.130572968478,7281,7283,"IL"
18,0.00769618152632916,0.0075346211521069,0.265807587994754,47.6365665985472,5.64559154572139e-12,1,-576.265180823842,1158.53036164768,1178.70005547217,433.954864698187,6142,6144,"IN"
19,0.00554762249696273,0.00513101069239508,0.222032678850157,13.3160473038435,0.000268787794431646,1,206.435719424583,-406.871438849167,-389.53554840719,117.675544509499,2387,2389,"IA"
20,0.00387388067072408,0.00347527077903576,0.274462843216273,9.71847601251325,0.00184500030343776,1,-314.123459892338,634.246919784676,651.720257577309,188.249300913595,2499,2501,"KS"
21,0.000192256412531371,-0.000102411357461918,0.268562140548684,0.652451445693241,0.41929420807774,1,-352.981340368125,711.96268073625,730.352857856229,244.722239979357,3393,3395,"KY"
22,0.00200428000347932,0.00173962985232667,0.296023808655803,7.57331894484163,0.0059521853668583,1,-759.723841933867,1525.44768386773,1544.15456102763,330.453089342691,3771,3773,"LA"
23,0.00142568000671257,0.000412927146678843,0.185653097954331,1.40772745550681,0.235719818391542,1,262.758649199807,-519.517298399614,-504.83025030637,33.9845337611198,986,988,"ME"
24,6.68190625006713e-05,-0.000129863309831668,0.203099439111377,0.339730814247924,0.560010493025761,1,891.665800172685,-1777.33160034537,-1757.72885950742,209.711858938837,5084,5086,"MD"
25,0.033110900022182,0.0328373811820186,0.195999386837698,121.055280880815,1.04104360511899e-27,1,746.264628042799,-1486.5292560856,-1468.01615351798,135.799710330064,3535,3537,"MA"
26,0.00146070702127955,0.00134139297026037,0.229183382186735,12.2425398249691,0.000469550846533643,1,455.497429487581,-904.994858975162,-883.897273083182,439.581914729841,8369,8371,"MI"
27,0.00560027692719101,0.00538296929540061,0.173999626237716,25.771193036575,3.99636233987765e-07,1,1510.65795468989,-3015.31590937977,-2996.02885687824,138.542380803638,4576,4578,"MN"
28,0.0106547667410798,0.0103656535811562,0.309479370191975,36.8532748349867,1.41294386196115e-09,1,-841.559442450123,1689.11888490025,1707.53457911203,327.75053852567,3422,3424,"MS"
29,0.0109039794824841,0.0106352033899522,0.291881378464068,40.5690081277917,2.13226596853383e-10,1,-689.487897588267,1384.97579517653,1403.60942926191,313.51663986623,3680,3682,"MO"
30,0.00495238927542151,0.00419684818907029,0.287830856050414,6.55475839088815,0.0105711602860032,1,-227.91994333571,461.83988667142,477.393774129572,109.108974431939,1317,1319,"MT"
31,3.65325758757099e-05,-0.00054048038859289,0.304280525804216,0.0633132669893355,0.80136364489487,1,-396.545720163064,799.091440326127,815.46772840327,160.452644318935,1733,1735,"NE"
32,0.00279503589833172,0.00238313793711664,0.293211797603507,6.78574832001256,0.00924508842362962,1,-464.405697623541,934.811395247082,952.189680409532,208.141016132644,2421,2423,"NV"
33,0.00541318765922976,0.00436515097604662,0.224498079023287,5.16507460672919,0.0232683720872884,1,72.2781181514956,-138.556236302991,-123.983694115355,47.8290187234037,949,951,"NH"
34,0.000109783084008208,-0.000118554485508904,0.20559913594663,0.480792907800131,0.488100156705223,1,714.614373564482,-1423.22874712896,-1404.07365026552,185.104729590061,4379,4381,"NJ"
