"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.169795560221074,0.00431828048475615,39.3201786730772,1.70529827180581e-294,"AL"
1,"EJB1_UNION",-0.025047499326178,0.0112118599207146,-2.23401821850281,0.0255263946158237,"AL"
2,"(Intercept)",0.127753437439209,0.0121119712194413,10.5476998850648,2.01767164868861e-23,"AK"
2,"EJB1_UNION",-0.0261212432184894,0.0334635448022231,-0.78058805105292,0.43544983631264,"AK"
4,"(Intercept)",0.152036289498658,0.00404736189590364,37.5642933369845,1.90385035733885e-270,"AZ"
4,"EJB1_UNION",0.15300663861332,0.0185886964675262,8.23116558391372,2.37524737313338e-16,"AZ"
5,"(Intercept)",0.23516486401897,0.00670256837419947,35.0857836712567,6.1858322990288e-216,"AR"
5,"EJB1_UNION",-0.0892728050484275,0.0290756935692146,-3.07035857410981,0.00216328794310651,"AR"
6,"(Intercept)",0.16922701746564,0.00183349970427182,92.2972701175589,0,"CA"
6,"EJB1_UNION",-0.0441441013279468,0.00424732657860574,-10.3933852297362,2.90989765331445e-25,"CA"
8,"(Intercept)",0.137194817484927,0.00328751699395993,41.7320481497104,0,"CO"
8,"EJB1_UNION",-0.0103155967976467,0.0116693450201338,-0.883991070608389,0.37673431188423,"CO"
9,"(Intercept)",0.113498470525782,0.00472893522440237,24.0008511726074,1.7693604518813e-115,"CT"
9,"EJB1_UNION",-0.0676924209399528,0.0114250101453152,-5.92493311419157,3.52349762226374e-09,"CT"
10,"(Intercept)",0.0965452864383182,0.00855416910887242,11.2863429761028,5.84138797371616e-27,"DE"
10,"EJB1_UNION",-0.0418094144083152,0.0252932433653255,-1.65298747196778,0.0988479498330157,"DE"
11,"(Intercept)",0.0756442281626028,0.00829545000823056,9.11876125919031,8.13420980783187e-19,"DC"
11,"EJB1_UNION",-0.0549997946895879,0.0309054223858217,-1.77961634055582,0.0755775565844412,"DC"
12,"(Intercept)",0.181826953468773,0.002850605356894,63.7853826482984,0,"FL"
12,"EJB1_UNION",-0.0754324748432072,0.0104510522526913,-7.21769186674789,5.60824159831069e-13,"FL"
13,"(Intercept)",0.181055215187795,0.00336579949661768,53.7926324398523,0,"GA"
13,"EJB1_UNION",-0.0330229894664263,0.0131053636329973,-2.5198071866758,0.0117618984298802,"GA"
15,"(Intercept)",0.156202557231275,0.0105795714629358,14.7645448379939,9.17783313175405e-44,"HI"
15,"EJB1_UNION",-0.11758146787269,0.01954221019847,-6.01679475752929,2.71596727673081e-09,"HI"
16,"(Intercept)",0.195299193598967,0.00653096513071334,29.9035731611134,4.30251005579735e-166,"ID"
16,"EJB1_UNION",-0.100962434500612,0.0245334130510511,-4.1153032515501,4.00387829821315e-05,"ID"
17,"(Intercept)",0.14539553747608,0.00330344135577809,44.0133551097455,0,"IL"
17,"EJB1_UNION",0.0185007154090039,0.00788599195129029,2.34602260860497,0.01900163415017,"IL"
