"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00335630911203408,0.00315480411994196,0.344014271093936,16.6562082516475,4.55096058136845e-05,1,-1740.03472759509,3486.06945519018,3505.58967139072,585.338419370781,4946,4948,"AL"
2,0.0417446863660417,0.0396432492747392,0.309706461624965,19.8648279973811,1.04733880420605e-05,1,-112.035968164649,230.071936329298,242.452543881641,43.7386501217486,456,458,"AK"
4,0.00466869334122045,0.00445795201014709,0.343344906921821,22.1536673297301,2.58872640068341e-06,1,-1652.36590893996,3310.73181787993,3330.11368639971,556.774279690534,4723,4725,"AZ"
5,0.00617510134613775,0.00573825523683935,0.316433910213598,14.1356446004642,0.000174377661987553,1,-609.913331274825,1225.82666254965,1243.01850474784,227.796704437729,2275,2277,"AR"
6,0.00923337573243692,0.00920305202098493,0.373701964871014,304.493589021465,7.03078100247922e-68,1,-14200.9223718608,28407.8447437215,28433.027840337,4562.88764925372,32673,32675,"CA"
8,0.00556553454066249,0.00540981351569225,0.339987806288027,35.7404181081493,2.37608666689587e-09,1,-2171.51397425342,4349.02794850684,4369.31447803484,738.168649999142,6386,6388,"CO"
9,0.029771387117886,0.02940976631547,0.343186510507454,82.3276396683566,2.17342851447217e-19,1,-937.292520877538,1880.58504175508,1898.2713497759,315.995640007661,2683,2685,"CT"
10,0.0500417443124042,0.0484844356965229,0.40458955143648,32.1334793900725,2.22202322012005e-08,1,-313.600851211685,633.201702423369,646.451899270906,99.852550130259,610,612,"DE"
11,0.00296512801088181,0.00152432617274723,0.302258211493111,2.05797073018787,0.151863443874385,1,-153.389204699148,312.778409398297,326.405825279817,63.2211382791898,692,694,"DC"
12,0.00101032458269845,0.000926615040598766,0.351908464357103,12.0694075891092,0.000514378887799907,1,-4469.68065646843,8945.36131293686,8967.52325590419,1477.9013959932,11934,11936,"FL"
13,4.47022128806351e-05,-8.46581102482702e-05,0.342236015014497,0.34556355302282,0.556652475279407,1,-2679.55944257382,5365.11888514764,5385.97825366862,905.380037491313,7730,7732,"GA"
15,0.0262632795330257,0.0250353643748076,0.360305719482769,21.3885131698654,4.37778855790475e-06,1,-315.516976153748,637.033952307496,651.068978651459,102.947427713153,793,795,"HI"
16,0.000335146357045127,-0.000102535277649807,0.358763895346868,0.765730911416507,0.381632986080341,1,-899.335526161367,1804.67105232273,1821.8747288558,293.977140468583,2284,2286,"ID"
17,0.00924762256963123,0.00911154890153187,0.327821571487054,67.9604121709182,1.96189690642837e-16,1,-2210.50266046094,4427.00532092189,4447.68521535454,782.467101273452,7281,7283,"IL"
18,0.00224857675486393,0.00208612943750075,0.314593197379881,13.8418829646521,0.000200628972773819,1,-1611.57632791917,3229.15265583833,3249.32234966281,607.866859963134,6142,6144,"IN"
19,0.0169359682460603,0.0165241274284005,0.31876766770091,41.122607376062,1.71779719613177e-10,1,-657.517343008317,1321.03468601663,1338.37057645861,242.549815593917,2387,2389,"IA"
20,0.000309676562585535,-9.03595812469238e-05,0.251341629069047,0.774121457173133,0.379029657447183,1,-94.0284460957885,194.056892191577,211.53022998421,157.868363643203,2499,2501,"KS"
21,0.017971707305845,0.0176822795744291,0.335221897866293,62.093936949048,4.37480577188066e-15,1,-1105.68805035551,2217.37610071102,2235.766277831,381.284034705207,3393,3395,"KY"
22,9.16406714582716e-05,-0.000173516676547303,0.338832957875554,0.345608643877329,0.556644761184228,1,-1269.3329556438,2544.66591128761,2563.3727884475,432.94011327531,3771,3773,"LA"
23,0.0221784311157947,0.0211867256706788,0.354880149801903,22.363929960276,2.58420770007154e-06,1,-377.366806424533,760.733612849065,775.420660942309,124.176761833293,986,988,"ME"
24,0.00264627213355421,0.00245009712807287,0.317054684254175,13.4893440021224,0.000242388224557675,1,-1373.52954372391,2753.05908744783,2772.66182828577,511.062352553405,5084,5086,"MD"
25,0.00452932193824631,0.00424771778603639,0.325959980239695,16.0840026778844,6.18464509614192e-05,1,-1052.87669647024,2111.75339294047,2130.26649550809,375.593427317643,3535,3537,"MA"
26,0.00786807594051528,0.00774952749696656,0.329261568663933,66.3701327911552,4.27660944410212e-16,1,-2577.56698172102,5161.13396344205,5182.23154933403,907.309908433312,8369,8371,"MI"
27,0.0159185457075417,0.0157034929421805,0.248195432519767,74.0215810794687,1.04731934320193e-17,1,-115.279719828164,236.559439656328,255.846492157865,281.886051183534,4576,4578,"MN"
28,7.1147991284835e-06,-0.000285109889708535,0.34706708860677,0.0243470158417976,0.876014397893533,1,-1234.04114531712,2474.08229063424,2492.49798484602,412.198939987397,3422,3424,"MS"
29,0.000897628659422972,0.000626133449819544,0.293333704036845,3.30624124357173,0.069098444692812,1,-707.763139962958,1421.52627992592,1440.15991401129,316.64435588023,3680,3682,"MO"
30,0.00529992088780495,0.00454464368270835,0.319555274213746,7.01718634170514,0.00816964935888497,1,-365.830967777716,737.661935555432,753.215823013584,134.486210006892,1317,1319,"MT"
31,0.00996493303618553,0.00939364909679496,0.308953542859928,17.4430477545304,3.10759958756579e-05,1,-422.98861349107,851.97722698214,868.353515059283,165.418821422001,1733,1735,"NE"
32,0.00659585429698664,0.00618552627315216,0.391533706508837,16.0745888992682,6.27380660047603e-05,1,-1165.08011709451,2336.16023418902,2353.53851935147,371.136015508099,2421,2423,"NV"
33,0.01273185006795,0.0116915253578003,0.30475156305147,12.2383424557109,0.000489904982629401,1,-218.375771107284,442.751542214568,457.324084402204,88.1369659080162,949,951,"NH"
34,0.0301683205567668,0.0299468472342177,0.372318329601812,136.216498716481,5.12879822921276e-31,1,-1886.91491094874,3779.82982189747,3798.98491876091,607.021089943219,4379,4381,"NJ"
35,0.022700983162872,0.0220108002413768,0.34275451890264,32.8912560074577,1.18971375112609e-08,1,-492.74371330368,991.48742660736,1007.25843472864,166.352614883103,1416,1418,"NM"
36,0.00311578578868746,0.00300250349161801,0.382554587252257,27.5046134240798,1.60364202529094e-07,1,-4030.79655547131,8067.59311094261,8088.84131368472,1287.86250760415,8800,8802,"NY"
37,1.08520399384063e-07,-0.00013109062568839,0.336195822216592,0.000827142573867172,0.977056687045678,1,-2506.3584876236,5018.71697524721,5039.53414458321,861.496602536038,7622,7624,"NC"
38,0.0161764290554044,0.0148540855460702,0.239933913779968,12.2331519315658,0.000497362159773716,1,7.30744470778677,-8.61488941557354,5.22928738503774,42.8308025384393,744,746,"ND"
39,0.0165986999824859,0.0164831823858669,0.33215794988422,143.689796778168,7.62842571220611e-33,1,-2696.49962315915,5398.9992463183,5420.14800009759,939.229956953678,8513,8515,"OH"
40,0.00207514383947391,0.001775736441886,0.330872985227321,6.93083690046295,0.00851130307676102,1,-1042.58064815647,2091.16129631294,2109.49798018799,364.886615533345,3333,3335,"OK"
41,0.00869489434671292,0.00842855767136286,0.353162300029955,32.6462524745478,1.19220226001294e-08,1,-1407.08501697907,2820.17003395814,2838.83769487333,464.221277024631,3722,3724,"OR"
42,0.00122846416994851,0.00111628046380119,0.317055831888756,10.9504687635718,0.00093951556380804,1,-2405.67532534819,4817.35065069637,4838.63375528354,894.968737960179,8903,8905,"PA"
44,0.00658818961788242,0.00490158212996716,0.23786100490782,3.90617832844178,0.0485749763939592,1,11.1256769933683,-16.2513539867367,-3.10590593451839,33.3243581592415,589,591,"RI"
45,0.00112187167931856,0.000908709466702184,0.341539641686179,5.26299509443162,0.0218275317151487,1,-1614.70495811108,3235.40991622217,3254.76820021594,546.618745586877,4686,4688,"SC"
46,0.0014138637306125,-0.000201971441344373,0.252547820948785,0.875004923243608,0.349938815319486,1,-25.5243860590704,57.0487721181407,70.3379305522582,39.4162883531755,618,620,"SD"
47,0.000936553901421254,0.000749006793086648,0.30371607180697,4.99369950162179,0.0254810718318702,1,-1210.15651998637,2426.31303997273,2446.05579661962,491.380870262835,5327,5329,"TN"
48,0.00708852330984044,0.00703559343742233,0.344765294003886,133.922924541632,7.23084269605062e-31,1,-6641.27819961687,13288.5563992337,13312.0750058119,2229.75304202628,18759,18761,"TX"
49,0.000566867546780003,0.000204096899791506,0.338926136357409,1.56260588194179,0.211390247945786,1,-928.01338554844,1862.02677109688,1879.79246632995,316.469400871474,2755,2757,"UT"
50,0.0246569568796122,0.0225038817292361,0.325356034546158,11.4519722524802,0.000776256642733602,1,-133.72480990836,273.44961981672,285.810512073573,47.9530167946671,453,455,"VT"
51,0.00681455665792746,0.0066499584737475,0.305359634843302,41.4011654616771,1.33516588418719e-10,1,-1403.41688010792,2812.83376021585,2832.95025067551,562.637352773923,6034,6036,"VA"
53,0.0149285851726375,0.0148001701791781,0.325274192769618,116.252664665304,6.52019180971475e-27,1,-2269.07035448312,4544.14070896624,4564.97709782278,811.617117996859,7671,7673,"WA"
54,2.89243718770316e-06,-0.000711901778368329,0.313685758708415,0.00404653132993442,0.949287983579111,1,-362.663819331102,731.327638662205,747.062463301216,137.659858547847,1399,1401,"WV"
55,0.0130878201990631,0.0129335910726681,0.319885379203565,84.8595884901299,4.26136309548149e-20,1,-1785.8133632551,3577.62672651019,3597.91935503162,654.788270644705,6399,6401,"WI"
