"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.00774737091952492,0.00105476719995186,7.34510034050976,2.39223158516969e-13,"AL"
1,"EJB1_UNION",-0.00771293988345343,0.00273856738499755,-2.81641413160273,0.00487554393976957,"AL"
2,"(Intercept)",0.0020754245812565,0.000396217186221408,5.23809832947718,2.48329351558051e-07,"AK"
2,"EJB1_UNION",-0.0020754245812565,0.00109468816613836,-1.89590482975421,0.0586045736637955,"AK"
4,"(Intercept)",0.00193036257970774,0.000315239249953708,6.12348424249585,9.89721640237927e-10,"AZ"
4,"EJB1_UNION",-0.0016312294011851,0.00144782870490799,-1.12667292453548,0.259938034061675,"AZ"
5,"(Intercept)",0.000217817985001695,0.000552917460529534,0.393943039514593,0.69366001326713,"AR"
5,"EJB1_UNION",0.0532928435800117,0.00239855198095538,22.2187569846972,3.79523260265699e-99,"AR"
6,"(Intercept)",0.00387302387522519,0.000262637777360919,14.7466366573109,4.65167421673236e-49,"CA"
6,"EJB1_UNION",-0.0027252606881904,0.000608403922690567,-4.47936081039449,7.51204230903331e-06,"CA"
8,"(Intercept)",0.00288498531313073,0.000421243392278654,6.84873725264823,8.14670026034158e-12,"CO"
8,"EJB1_UNION",-0.00288374689543239,0.00149524230322841,-1.92861510753544,0.0538229340098637,"CO"
9,"(Intercept)",0.00643890725170615,0.000566383400900686,11.3684603776642,2.77708947197269e-29,"CT"
9,"EJB1_UNION",-0.00589389527858691,0.00136837063617133,-4.30723600959306,1.71247610566834e-05,"CT"
10,"(Intercept)",0.0102977773963786,0.00277093216427162,3.71635853419947,0.000220697154718156,"DE"
10,"EJB1_UNION",-0.0102977773963787,0.00819318167407245,-1.25687160446671,0.209281183429595,"DE"
11,"(Intercept)",4.58101112410783e-05,7.78746211145994e-06,5.88254691777757,6.29061329139453e-09,"DC"
11,"EJB1_UNION",-4.58101112410786e-05,2.90128691788222e-05,-1.57895832220956,0.114802590822914,"DC"
12,"(Intercept)",0.00185251932576006,0.00025660721476799,7.21927997010918,5.54342225577455e-13,"FL"
12,"EJB1_UNION",-0.00160251802351853,0.000940788034187914,-1.70337840755152,0.088523312384006,"FL"
13,"(Intercept)",0.00374520164537509,0.000491862017393667,7.6143339248283,2.96432128362005e-14,"GA"
13,"EJB1_UNION",-0.00371647593018982,0.00191515584980072,-1.94056057138981,0.0523479127064224,"GA"
15,"(Intercept)",0.000132141553555943,5.20998040601619e-05,2.53631574896813,0.0113933467043179,"HI"
15,"EJB1_UNION",0.000470113091895257,9.62369152483853e-05,4.88495595148603,1.25172518322255e-06,"HI"
16,"(Intercept)",0.00260004397935593,0.000472358803859567,5.50438344349972,4.11930538801022e-08,"ID"
16,"EJB1_UNION",0.00194601832843909,0.0017744044580623,1.09671632056436,0.272881035996887,"ID"
17,"(Intercept)",0.00208070985955356,0.000412803891064654,5.04043179967913,4.75682655138629e-07,"IL"
17,"EJB1_UNION",-0.000512087314867499,0.000985447541456479,-0.519649492565216,0.60332369256662,"IL"
18,"(Intercept)",0.0028044574509006,0.000534991507805674,5.24205975231903,1.6409603814118e-07,"IN"
18,"EJB1_UNION",-0.00203791693918093,0.00180124524991146,-1.13139337315732,0.257933731767594,"IN"
19,"(Intercept)",0.00396100440124206,0.000479792280990259,8.25566512463853,2.46928358969584e-16,"IA"
19,"EJB1_UNION",-0.00344786431062765,0.00157039498614976,-2.19553955599477,0.0282208514889258,"IA"
20,"(Intercept)",0.000722604846349927,0.000158335683621656,4.56375233820695,5.26777699940388e-06,"KS"
20,"EJB1_UNION",0.000514015182566377,0.000547724924668511,0.938454978797002,0.348101334190096,"KS"
21,"(Intercept)",0.00125538878753193,0.000207007950795635,6.06444719976623,1.46960785204839e-09,"KY"
21,"EJB1_UNION",-0.00125538878753181,0.000619565620019606,-2.02624023504094,0.0428182589989727,"KY"
22,"(Intercept)",0.001810588499858,0.000265821486176685,6.81129477492479,1.12107052877056e-11,"LA"
22,"EJB1_UNION",-0.00181058849985813,0.00091134112407522,-1.98672972394987,0.0470246102054026,"LA"
23,"(Intercept)",0.00259993533393417,0.000642664030709827,4.04555912529059,5.62771710791995e-05,"ME"
23,"EJB1_UNION",-0.00259993533393418,0.00140403292777598,-1.85176236432898,0.0643587466451363,"ME"
