"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00145435044381153,0.00125246090690156,0.0321542250930439,7.20369399064419,0.00729960393823382,1,9987.41444007213,-19968.8288801443,-19949.3086639437,5.11364067033861,4946,4948,"AL"
2,0.0018692418065868,-0.000319641435065465,0.00455485934599895,0.853970541240862,0.355920251345512,1,1820.46310909942,-3634.92621819885,-3622.5456106465,0.0094605151097963,456,458,"AK"
4,0.000127061347877615,-8.46415821780244e-05,0.0218637627866834,0.600187006596011,0.438545465324108,1,11359.8347548746,-22713.6695097492,-22694.2876412294,2.25770793383752,4723,4725,"AZ"
5,0.000297337478037592,-0.000142092263730298,0.00434947096486789,0.676643954142377,0.410830975334134,1,9151.72270964134,-18297.4454192827,-18280.2535770845,0.0430382172088705,2275,2277,"AR"
6,0.000110901314586078,8.02983978448468e-05,0.0267155218125474,3.62388054458721,0.0569646549476183,1,72002.7153917031,-143999.430783406,-143974.247686791,23.3193443410816,32673,32675,"CA"
8,0.00122908384279398,0.00107268376196756,0.0663537598084311,7.85858828396938,0.00507324609609194,1,8265.89881073802,-16525.797621476,-16505.511091948,28.1164177204057,6386,6388,"CO"
9,0.0269779457580275,0.0266152837922272,0.0275445025234492,74.388682305024,1.07898507512697e-17,1,5835.54235989229,-11665.0847197846,-11647.3984117638,2.03559107848612,2683,2685,"CT"
10,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,610,612,"DE"
11,0.00443020091129631,0.00299151623053229,0.0154239125129594,3.07934113049958,0.0797351688026494,1,1911.51243365978,-3817.02486731957,-3803.39745143805,0.164624777427539,692,694,"DC"
12,2.62846506513127e-06,-8.1165516126136e-05,0.0258300615297669,0.0313681845374538,0.859424477452616,1,26705.1473861822,-53404.2947723645,-53382.1328293972,7.96227026638886,11934,11936,"FL"
13,0.00117674530482073,0.00104753142969849,0.00677712944218778,9.10695777606844,0.0025546856280017,1,27644.9345699967,-55283.8691399934,-55263.0097714724,0.355034907270782,7730,7732,"GA"
15,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,793,795,"HI"
16,0.00173536830900542,0.00129829973120732,0.0156133425770227,3.97047144809122,0.0464236325769253,1,6266.21984350868,-12526.4396870174,-12509.2360104843,0.55678544932034,2284,2286,"ID"
17,0.0022604389699787,0.00212340565573199,0.043837297113765,16.4955433093423,4.92762068053502e-05,1,12442.7803342336,-24879.5606684672,-24858.8807740346,13.9919604494091,7281,7283,"IL"
18,0.000212427875467783,4.96490457504439e-05,0.0505248791021392,1.30500923146163,0.253344783020198,1,9624.65994078098,-19243.319881562,-19223.1501877375,15.6790728536913,6142,6144,"IN"
19,0.000247905397685044,-0.00017092664865026,0.0211418091886485,0.591896918715223,0.441762648242025,1,5824.34126323145,-11642.6825264629,-11625.3466360209,1.06693194060113,2387,2389,"IA"
20,0.000622326874571882,0.000222415840908319,0.0589688189767711,1.55616330179906,0.212344759235286,1,3531.93204171674,-7057.86408343347,-7040.39074564084,8.6898267071765,2499,2501,"KS"
21,7.06749764819531e-05,-0.000224028626531148,0.0537789743939377,0.239817144274299,0.624369873102416,1,5106.85678659901,-10207.713573198,-10189.323396078,9.81316024872891,3393,3395,"KY"
22,0.00113919424268641,0.000874314686664768,0.00863392209283971,4.30080093683663,0.0381621472402868,1,12576.8539961286,-25147.7079922571,-25129.0011150972,0.281107726969406,3771,3773,"LA"
23,0.0382101025096683,0.0372346563661691,0.00930345079606725,39.1719243182336,5.77976288655149e-10,1,3220.33119828149,-6434.66239656298,-6419.97534846974,0.0853424379608365,986,988,"ME"
24,0.00278260187352052,0.00258645368348775,0.0674483755645431,14.1862225343806,0.000167450074878849,1,6498.13249672788,-12990.2649934558,-12970.6622526178,23.1285566342471,5084,5086,"MD"
25,0.0048725142742437,0.00459100720614591,0.130069460100201,17.308674724113,3.25292397427697e-05,1,2196.58641705307,-4387.17283410614,-4368.65973153852,59.8053578334284,3535,3537,"MA"
