"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.0117159562813319,0.0115161414726545,0.351032565618402,58.6340740152263,2.26955505061577e-14,1,-1839.96382531287,3685.92765062575,3705.44786682628,609.465222068459,4946,4948,"AL"
2,3.96579736872412e-06,-0.00218900796184762,0.364291728979734,0.00180841077192888,0.966098467078903,1,-186.383130598179,378.766261196357,391.1468687487,60.515059494188,456,458,"AK"
4,0.0014340378518191,0.00122261164768001,0.374807647296091,6.7826874046169,0.00923345630352263,1,-2066.64187133717,4139.28374267434,4158.66561119412,663.490688383513,4723,4725,"AZ"
5,0.00338716847619532,0.00294909690189926,0.344454897593311,7.73199786276311,0.00546973913217036,1,-803.113946955462,1612.22789391092,1629.41973610912,269.926876482941,2275,2277,"AR"
6,0.0151117293100904,0.0150815855133564,0.364022391172788,501.321364506369,3.31499244357014e-110,1,-13343.4253411707,26692.8506823413,26718.0337789568,4329.57441956313,32673,32675,"CA"
8,0.0126665452356501,0.0125119361760252,0.375205608422769,81.9262808168162,1.84465442689639e-19,1,-2801.14343640953,5608.28687281907,5628.57340234707,899.016281507877,6386,6388,"CO"
9,0.0748457491237449,0.0745009283071678,0.329619509479608,217.056933704634,2.6595566671705e-47,1,-828.99284684587,1663.98569369174,1681.67200171257,291.505323422356,2683,2685,"CT"
10,0.0619112069291225,0.0603733564486784,0.364245857092898,40.2582745958797,4.33968518311568e-10,1,-249.313905608778,504.627811217556,517.878008065093,80.9317770896972,610,612,"DE"
11,0.0149393889566016,0.0135158909637644,0.328795916298387,10.4948437101937,0.00125433656422816,1,-211.79318143686,429.58636287372,443.213778755241,74.8098741655512,692,694,"DC"
12,0.000676305474344017,0.000592567943379918,0.385089323974169,8.07649170637602,0.00449192129919717,1,-5545.1646306787,11096.3292613574,11118.4912043247,1769.73805929563,11934,11936,"FL"
13,0.001259086804832,0.00112988358190902,0.356112450170477,9.74501081588257,0.00180473274927354,1,-2986.87513421794,5979.75026843588,6000.60963695686,980.288276496431,7730,7732,"GA"
15,0.0837129985256587,0.0825575294191336,0.373960448966891,72.4493610888644,8.52085536209545e-17,1,-345.08870924731,696.177418494619,710.212444838582,110.898208991474,793,795,"HI"
16,0.000312716884717305,-0.000124974570236747,0.377100202262667,0.71446879114892,0.398052797081867,1,-1013.28449172688,2032.56898345376,2049.77265998683,324.795220856308,2284,2286,"ID"
17,0.0264732215372268,0.0263395136978555,0.334354280852016,197.993039613054,2.17669521228258e-44,1,-2354.20849262951,4714.41698525903,4735.09687969168,813.963268488347,7281,7283,"IL"
18,0.0142597708467356,0.0140992791129106,0.353971579228146,88.8505003147563,5.89568421013528e-21,1,-2336.17669664993,4678.35339329987,4698.52308712435,769.567288211587,6142,6144,"IN"
19,0.00155831309027241,0.0011400300207669,0.308726557526302,3.72549884009055,0.0537059621833131,1,-581.053659226716,1168.10731845343,1185.44320889541,227.509952437712,2387,2389,"IA"
20,0.00222213482074068,0.00182286396632725,0.341997458139133,5.56548216875236,0.0183945069727765,1,-864.311983795072,1734.62396759014,1752.09730538278,292.288691172697,2499,2501,"KS"
21,0.00990818576312793,0.00961638151490019,0.37227534560799,33.9549058086143,6.16733249188697e-09,1,-1461.62345790191,2929.24691580382,2947.6370929238,470.232249491032,3393,3395,"KY"
22,4.7108654029518e-05,-0.000218060503049733,0.358647824556312,0.177655103438117,0.673420223922544,1,-1483.76643254354,2973.53286508708,2992.23974224697,485.057176224396,3771,3773,"LA"
23,0.0229410215905984,0.0219500895638139,0.349817910133487,23.1509538197519,1.73176921007907e-06,1,-363.171850851509,732.343701703018,747.030749796261,120.659354266658,986,988,"ME"
24,0.00199329078990286,0.00179698734591971,0.347927799462577,10.1541305106926,0.00144849740173072,1,-1846.12433025559,3698.24866051117,3717.85140134912,615.43728350002,5084,5086,"MD"
25,0.00321738691511108,0.00293541163559619,0.359538711384372,11.410173688442,0.000738330674972732,1,-1399.66977980238,2805.33955960476,2823.85266217237,456.96268041821,3535,3537,"MA"
26,0.00595116570057545,0.00583238820812715,0.343318916339647,50.1034798589319,1.57624617126551e-12,1,-2927.53609101871,5861.07218203742,5882.1697679294,986.436273631872,8369,8371,"MI"
27,0.0261559742569491,0.0259431586918829,0.318425110748689,122.904423127179,3.33566159128964e-28,1,-1255.98385324839,2517.96770649679,2537.25475899832,463.981466086722,4576,4578,"MN"
28,0.000761463143428174,0.000469458895369645,0.355060475518722,2.60771255380959,0.106437249186693,1,-1312.00572241167,2630.01144482334,2648.42713903512,431.404495045039,3422,3424,"MS"
