"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.317445130332846,0.00540754500505004,58.7041125014009,0,"AL"
1,"EJB1_UNION",0.107508299762975,0.0140399951614085,7.65728894682826,2.26955505062497e-14,"AL"
2,"(Intercept)",0.333099187044743,0.0182602943914913,18.2417205277893,3.1538575971269e-56,"AK"
2,"EJB1_UNION",0.00214542546611669,0.0504504319239653,0.0425254132481977,0.966098467078892,"AK"
4,"(Intercept)",0.324690084417876,0.00558668181099724,58.118592646306,0,"AZ"
4,"EJB1_UNION",0.0668238871780559,0.0256584746104329,2.60435930789451,0.00923345630352319,"AZ"
5,"(Intercept)",0.317315926434456,0.0074183613799825,42.7743958781372,7.30282106458411e-294,"AR"
5,"EJB1_UNION",0.0894834415198644,0.0321807984981323,2.78064702232475,0.00546973913216918,"AR"
6,"(Intercept)",0.248014263228702,0.00223255207584314,111.09002379487,0,"CA"
6,"EJB1_UNION",0.115796255416007,0.00517173673263064,22.3902068884133,3.31499244425114e-110,"CA"
8,"(Intercept)",0.317790025930456,0.0048926452963159,64.9525985809247,0,"CO"
8,"EJB1_UNION",0.157193225569307,0.0173668960886718,9.05131376192441,1.84465442690928e-19,"CO"
9,"(Intercept)",0.247327830006607,0.00698791962514243,35.3936283291991,1.61118595818375e-225,"CT"
9,"EJB1_UNION",0.248729880986385,0.0168826699507158,14.732852191773,2.65955666717313e-47,"CT"
10,"(Intercept)",0.320413656743286,0.0156456992433793,20.4793439883407,2.4548405537005e-71,"DE"
10,"EJB1_UNION",0.293527805403149,0.046261708594588,6.34494086622403,4.33968518311534e-10,"DE"
11,"(Intercept)",0.253476273863796,0.012956374158184,19.5638278710627,3.5486438085506e-68,"DC"
11,"EJB1_UNION",0.15637459646723,0.0482701017485647,3.23957461871064,0.00125433656422779,"DC"
12,"(Intercept)",0.3402979895207,0.00366369781799266,92.8837492681503,0,"FL"
12,"EJB1_UNION",0.0381727935686243,0.0134320582964288,2.84191690701442,0.00449192129920117,"FL"
13,"(Intercept)",0.306609238492838,0.0041904283127452,73.1689497133945,0,"GA"
13,"EJB1_UNION",0.0509343083078819,0.0163162086368246,3.12169998812877,0.00180473274927295,"GA"
15,"(Intercept)",0.268893507580444,0.0157745694591618,17.0460124618027,9.50762586155344e-56,"HI"
15,"EJB1_UNION",0.24801639950967,0.0291382267458839,8.51171904428621,8.52085536209495e-17,"HI"
16,"(Intercept)",0.324293356104236,0.00818237744387085,39.6331455409887,6.85196586469208e-262,"ID"
16,"EJB1_UNION",0.0259807537384996,0.0307369035896478,0.845262557522221,0.398052797081838,"ID"
17,"(Intercept)",0.276390089542737,0.00431469778854862,64.0578096283563,0,"IL"
17,"EJB1_UNION",0.144932262429435,0.0103000684341587,14.0709999507176,2.17669521224052e-44,"IL"
18,"(Intercept)",0.358489709541216,0.00472929975088806,75.8018582928475,0,"IN"
18,"EJB1_UNION",0.150090339602255,0.015922923237856,9.42605433438394,5.89568421012959e-21,"IN"
19,"(Intercept)",0.286427053948832,0.00663353101741611,43.1786710873631,1.60686232620619e-301,"IA"
19,"EJB1_UNION",0.0419075839610248,0.021712028856985,1.93015513368493,0.0537059621833218,"IA"
20,"(Intercept)",0.38128998031391,0.00714357438888797,53.3752375991236,0,"KS"
20,"EJB1_UNION",-0.0582975994830347,0.0247115094621818,-2.35912741681169,0.0183945069727739,"KS"
21,"(Intercept)",0.353525018415199,0.00677873422658716,52.1520694864572,0,"KY"
21,"EJB1_UNION",0.118222504708275,0.0202884510372736,5.82708381685118,6.16733249190396e-09,"KY"
22,"(Intercept)",0.348565499302146,0.00610425696442804,57.1020357323385,0,"LA"
22,"EJB1_UNION",-0.00882089266873007,0.020927805662437,-0.421491522379844,0.673420223922577,"LA"
23,"(Intercept)",0.376518161366585,0.0125174689841729,30.0794163614588,1.45464312438919e-141,"ME"
23,"EJB1_UNION",0.131581328794361,0.0273470083688699,4.81154380835841,1.73176921007886e-06,"ME"
24,"(Intercept)",0.322122991195739,0.00527830206071605,61.0277675453914,0,"MD"
24,"EJB1_UNION",0.0440650923237118,0.0138284439533271,3.18655464580379,0.00144849740172981,"MD"
25,"(Intercept)",0.336380557917489,0.00658072116997036,51.1160630011929,0,"MA"
25,"EJB1_UNION",-0.0562687941899602,0.0166579471872614,-3.37789486047776,0.000738330674972693,"MA"
26,"(Intercept)",0.309101085716591,0.00409847221100622,75.4186120590296,0,"MI"
26,"EJB1_UNION",0.072133213236052,0.0101906370392351,7.07838116089614,1.57624617126751e-12,"MI"
27,"(Intercept)",0.36349875005779,0.00520194147706945,69.8775162427568,0,"MN"
27,"EJB1_UNION",0.13535883274634,0.0122096395854888,11.0862267308213,3.33566159129328e-28,"MN"
28,"(Intercept)",0.316717269495149,0.00622243161335808,50.8992768703527,0,"MS"
28,"EJB1_UNION",-0.0453630480646773,0.0280913343851367,-1.6148413401351,0.106437249186711,"MS"
29,"(Intercept)",0.322509146163033,0.0062134825007011,51.9047323504399,0,"MO"
29,"EJB1_UNION",0.0486131157583352,0.0151297297814332,3.21308552502979,0.00132450168500532,"MO"
30,"(Intercept)",0.269025198228217,0.00998366032102134,26.9465496198588,9.66749249553796e-128,"MT"
30,"EJB1_UNION",0.157484039298727,0.0330995104976263,4.75789632327102,2.17182456144728e-06,"MT"
31,"(Intercept)",0.312083565453872,0.00866591704960266,36.0127570651257,1.68043329709745e-212,"NE"
31,"EJB1_UNION",0.102853628161844,0.030291452249081,3.39546705506551,0.00070058189838522,"NE"
32,"(Intercept)",0.287285066585964,0.00820592678487632,35.0094601277013,1.25152570024422e-217,"NV"
32,"EJB1_UNION",-0.0562907150178323,0.0183793767170034,-3.06271077004236,0.00221755265391234,"NV"
33,"(Intercept)",0.225062743892994,0.010878771647809,20.6882496645034,8.99586431792927e-79,"NH"
33,"EJB1_UNION",0.159076952733717,0.0366041626258736,4.34587056012241,1.53683936102725e-05,"NH"
34,"(Intercept)",0.270297144041503,0.00546131198516297,49.4930787283043,0,"NJ"
34,"EJB1_UNION",0.125462349903146,0.0142553579566401,8.80106625766673,1.91790000658943e-18,"NJ"
35,"(Intercept)",0.310164389094376,0.0104902875739598,29.5668147233925,4.98704469630348e-150,"NM"
35,"EJB1_UNION",0.134317321496248,0.0312295350128531,4.30097090593783,1.81700855850326e-05,"NM"
36,"(Intercept)",0.257704926325559,0.00426131333135896,60.4754699517425,0,"NY"
36,"EJB1_UNION",0.0167221186983956,0.00859420131564179,1.94574435532022,0.0517172511045726,"NY"
37,"(Intercept)",0.328950223417252,0.00411611770958417,79.9175938655273,0,"NC"
37,"EJB1_UNION",0.00739862039377558,0.0240672682282601,0.307414216005124,0.758536507850846,"NC"
38,"(Intercept)",0.299035891758043,0.0114497627095492,26.1172130238685,3.20527455572945e-107,"ND"
38,"EJB1_UNION",0.251989497797565,0.0393999458774745,6.39568131847691,2.82321537095446e-10,"ND"
39,"(Intercept)",0.299319367270816,0.00404008346236136,74.0874217226861,0,"OH"
39,"EJB1_UNION",0.158126399465874,0.011439851972573,13.8224165701603,5.42816080726602e-43,"OH"
40,"(Intercept)",0.313252362067852,0.0059402273798987,52.7340692593478,0,"OK"
40,"EJB1_UNION",0.0313261782667319,0.0240179482436767,1.30428202896054,0.192227500088245,"OK"
41,"(Intercept)",0.283339604547494,0.00646405468978068,43.8331075687584,0,"OR"
41,"EJB1_UNION",0.116248622652656,0.0154841549953925,7.50758583127378,7.49516972297761e-14,"OR"
42,"(Intercept)",0.297517741084342,0.0038078764035048,78.1321948397549,0,"PA"
42,"EJB1_UNION",0.0729162762569764,0.010279315655512,7.09349519954442,1.40757160327682e-12,"PA"
44,"(Intercept)",0.297899323955189,0.0173426396239793,17.1772769551925,6.51296075919122e-54,"RI"
44,"EJB1_UNION",0.133860518659351,0.0347736495293937,3.84948144560438,0.000131317867089445,"RI"
45,"(Intercept)",0.290450257467133,0.00523955105830587,55.4341878216272,0,"SC"
45,"EJB1_UNION",-0.101983194916347,0.0230611093620184,-4.42230221085173,9.98661787359802e-06,"SC"
46,"(Intercept)",0.296083754908646,0.0126017353511485,23.4954747626613,1.02407202548129e-87,"SD"
46,"EJB1_UNION",0.384123314295695,0.0640502130472118,5.99722149265226,3.41627157364456e-09,"SD"
47,"(Intercept)",0.351589656708071,0.00509291285822001,69.0350819846842,0,"TN"
47,"EJB1_UNION",-0.0632979115432216,0.0185891319325036,-3.40510314161274,0.000666276572975397,"TN"
