"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.0153791889372561,0.00101420411412634,15.1638005831835,8.39419107085763e-51,"AL"
1,"EJB1_UNION",-0.00103773200546466,0.00263325054931886,-0.394087834039601,0.693533182209559,"AL"
2,"(Intercept)",0.0329874978272464,0.00631407271223462,5.2244405996984,2.66256085804131e-07,"AK"
2,"EJB1_UNION",-0.0327023289835268,0.0174448280351927,-1.87461458018125,0.061484783735471,"AK"
4,"(Intercept)",0.0140071440495496,0.00120861355526343,11.5894315338013,1.2069139317079e-30,"AZ"
4,"EJB1_UNION",0.00634964293910425,0.00555091219988705,1.14389179840269,0.252726484433375,"AZ"
5,"(Intercept)",0.0286848065296027,0.00272840395590138,10.5134016051982,2.81718804000084e-25,"AR"
5,"EJB1_UNION",-0.028684806529603,0.0118357968059216,-2.42356361806174,0.0154465925421732,"AR"
6,"(Intercept)",0.0160357610520927,0.000574409656187982,27.9169419931284,1.63142531280909e-169,"CA"
6,"EJB1_UNION",0.00775702530309441,0.0013306276483442,5.82959877073578,5.60824248803315e-09,"CA"
8,"(Intercept)",0.0150367340686553,0.00109894038433784,13.6829388408686,5.00458834704904e-42,"CO"
8,"EJB1_UNION",0.00446681163955955,0.00390079033050104,1.1451042637777,0.25220888260293,"CO"
9,"(Intercept)",0.0312643097201867,0.00256236820961111,12.2013337516905,2.30202902786385e-33,"CT"
9,"EJB1_UNION",-0.00918254706776409,0.00619062884172616,-1.48329794961568,0.13811272043647,"CT"
10,"(Intercept)",0.0126679361063619,0.00249155176176892,5.08435598278241,4.91408591085885e-07,"DE"
10,"EJB1_UNION",0.0293747536961966,0.00736710068104251,3.98728821119352,7.49345045317312e-05,"DE"
11,"(Intercept)",0.00713380885924372,0.000900369560391096,7.92320084226857,9.25817641918757e-15,"DC"
11,"EJB1_UNION",-0.0055243279436637,0.00335440531129894,-1.64688743040551,0.100035190873741,"DC"
12,"(Intercept)",0.0166005558609652,0.000849706302004237,19.5368162173316,1.07716808843289e-83,"FL"
12,"EJB1_UNION",0.0048661261601663,0.00311524179950441,1.56203802893902,0.118305545998407,"FL"
13,"(Intercept)",0.0242686549542714,0.00124971007232308,19.4194281471689,4.66038468314489e-82,"GA"
13,"EJB1_UNION",-0.0225239619254968,0.00486597759316076,-4.62886675786479,3.73669899054931e-06,"GA"
15,"(Intercept)",0.0112264581547889,0.00272974672796842,4.11263727867677,4.31986703155678e-05,"HI"
15,"EJB1_UNION",-0.0087339235451981,0.00504229160258837,-1.73213376646339,0.0836385920182424,"HI"
16,"(Intercept)",0.0149927367714613,0.00176806098835393,8.47976221986527,3.98916315783186e-17,"ID"
16,"EJB1_UNION",0.0274728130512451,0.00664167847455632,4.13642622967839,3.65520043055421e-05,"ID"
17,"(Intercept)",0.0358066050176438,0.00178175314968581,20.0962770987428,1.8118685765943e-87,"IL"
17,"EJB1_UNION",-0.011547390324743,0.00425341015151724,-2.71485464918636,0.00664611595859546,"IL"
18,"(Intercept)",0.0184802653120844,0.00127412780975319,14.5042476670093,6.74004102761241e-47,"IN"
18,"EJB1_UNION",0.00745189192685771,0.00428981886929625,1.73711108881392,0.0824176954394638,"IN"
19,"(Intercept)",0.0179832658003617,0.00126681459925387,14.1956572105765,5.69826025677392e-44,"IA"
19,"EJB1_UNION",-0.0179832658003615,0.00414637620043323,-4.33710424019956,1.50371843078931e-05,"IA"
20,"(Intercept)",0.0124644290845082,0.00161242065057817,7.73025889989614,1.54354913329811e-14,"KS"
20,"EJB1_UNION",0.00263780313832767,0.00557778865238113,0.472911991242552,0.636317270423356,"KS"
21,"(Intercept)",0.0106290757375566,0.00147072439290274,7.22710236455533,6.06606133626165e-13,"KY"
21,"EJB1_UNION",0.00941732020786368,0.00440181291039552,2.13941855312008,0.0324729404666829,"KY"
22,"(Intercept)",0.0138438793779312,0.00130611729043792,10.5992620106036,6.92293409830789e-26,"LA"
22,"EJB1_UNION",0.00215598435437386,0.00447788633177153,0.481473667403458,0.630207827960682,"LA"
23,"(Intercept)",0.009795276964873,0.00211377985327898,4.63400999384027,4.06744468785417e-06,"ME"
23,"EJB1_UNION",0.00932349352930594,0.00461799069849169,2.01895026171256,0.0437626394863147,"ME"
24,"(Intercept)",0.0221872873371528,0.00154359423789839,14.3737821717713,5.95266225992422e-46,"MD"
24,"EJB1_UNION",0.00105175859430689,0.00404401001684259,0.260078137770801,0.794814033171504,"MD"
25,"(Intercept)",0.0279865325067592,0.00235584278986636,11.8796265298954,6.07390148353002e-32,"MA"
25,"EJB1_UNION",0.0298374061969961,0.00596340488549541,5.00341780742888,5.90678115042793e-07,"MA"
26,"(Intercept)",0.0169343794727741,0.00113416805006869,14.9311025572873,9.01254815647521e-50,"MI"
26,"EJB1_UNION",0.016578753392415,0.00282004960499888,5.87888715256183,4.28868235154558e-09,"MI"
27,"(Intercept)",0.0266909291537533,0.00175051256994305,15.2474935696244,3.05143968565504e-51,"MN"
27,"EJB1_UNION",0.0224034549519122,0.00410868281834519,5.45270977157965,5.22183671197793e-08,"MN"
28,"(Intercept)",0.0178196921285381,0.00153180293648656,11.6331492152708,1.0498065427173e-30,"MS"
28,"EJB1_UNION",-0.00760883154454073,0.0069153654350499,-1.10027902588865,0.271287960608567,"MS"
29,"(Intercept)",0.0182818193530523,0.00170939041776125,10.6949349681014,2.60730895009795e-26,"MO"
29,"EJB1_UNION",0.0180971450017901,0.00416233812661107,4.34783154354753,1.41211703852897e-05,"MO"
30,"(Intercept)",0.0213451318973133,0.0031843261372427,6.70318647567801,3.01600468869949e-11,"MT"
