"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.0259445748585749,0.00170877270254127,15.1831632258582,6.3319020021606e-51,"AL"
1,"EJB1_UNION",-0.00429983635400598,0.00443660856326137,-0.969171900719848,0.332506818071159,"AL"
2,"(Intercept)",0.0169479239920832,0.00718367575298105,2.35922730574946,0.0187337313375446,"AK"
2,"EJB1_UNION",0.164786711131528,0.0198474097278785,8.3026809740347,1.166829505527e-15,"AK"
4,"(Intercept)",0.028012642704328,0.00152596792676948,18.3572945491925,9.28970560472845e-73,"AZ"
4,"EJB1_UNION",-0.0242578230494335,0.00700845522082105,-3.46122252124365,0.000542491763741544,"AZ"
5,"(Intercept)",0.0168601802420849,0.00143931903522302,11.7139979597869,8.13510679398567e-31,"AR"
5,"EJB1_UNION",-0.0139703714139676,0.00624375565903579,-2.23749489519982,0.0253504798956284,"AR"
6,"(Intercept)",0.0416468396931198,0.000840404615738814,49.5557008055071,0,"CA"
6,"EJB1_UNION",-0.00713791818296935,0.00194680852846281,-3.66647160139853,0.000246309898735454,"CA"
8,"(Intercept)",0.0414667385307719,0.00169002044377082,24.5362348624909,4.00647552623851e-127,"CO"
8,"EJB1_UNION",-0.0249933848488688,0.00599888356035116,-4.16633938589161,3.13612952005003e-05,"CO"
9,"(Intercept)",0.0439570182378598,0.0028170480138489,15.6039293692413,1.31010753362757e-52,"CT"
9,"EJB1_UNION",-0.0038143054495137,0.00680593000555029,-0.560438536159365,0.575227145769628,"CT"
10,"(Intercept)",0.0144287552468344,0.00517644794318874,2.78738536641135,0.00547901201028582,"DE"
10,"EJB1_UNION",0.146527210499131,0.01530588838362,9.57325748278295,2.54595542326911e-20,"DE"
11,"(Intercept)",0.0609397531915784,0.00720178887104751,8.46175225110627,1.5656913838923e-16,"DC"
11,"EJB1_UNION",0.110060570014626,0.0268308924497647,4.10200928726808,4.58314403594464e-05,"DC"
12,"(Intercept)",0.0264730655424581,0.00104790065476683,25.2629535271631,3.1751322293184e-137,"FL"
12,"EJB1_UNION",0.00463791050536729,0.00384187326109931,1.20720028750771,0.227378945861662,"FL"
13,"(Intercept)",0.0261396115728899,0.00130164810877341,20.0819341239025,1.75781684003839e-87,"GA"
13,"EJB1_UNION",0.029949573726528,0.00506820795618429,5.90930245669638,3.58133615861064e-09,"GA"
15,"(Intercept)",0.0396459881170248,0.00554554782104011,7.14915629554322,1.9839078439342e-12,"HI"
