"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000383287072428194,0.000294927069517614,0.275410795778322,4.33778926892986,0.0372977006693898,1,-1463.69317040836,2933.38634081673,2955.38799449093,858.103567056717,11313,11315,"AL"
2,0.0256510232730447,0.0247050533927272,0.320623995916724,27.1161099383388,2.31269346239001e-07,1,-289.457843084889,584.915686169777,599.733448007902,105.883739160336,1030,1032,"AK"
4,0.000106503703373388,1.28982459405291e-05,0.338824800814267,1.13779373868138,0.286143111894743,1,-3595.94389763144,7197.88779526287,7219.71730298556,1226.31758799942,10682,10684,"AZ"
5,0.0074261260304385,0.00725697574516748,0.293386311155128,43.9025332918942,3.75912118061134e-11,1,-1129.99305700266,2265.98611400531,2286.01894374378,505.091195799616,5868,5870,"AR"
6,0.00341792530691952,0.00340279416994282,0.385004987601416,225.886878969772,5.71536021514957e-51,1,-30589.3105000089,61184.6210000178,61211.9070874328,9762.79612040031,65863,65865,"CA"
8,0.000267241818819496,0.000178495013832269,0.309463089975933,3.01128382996932,0.082714124286282,1,-2770.93071241685,5547.8614248337,5569.85032496819,1078.8198067072,11265,11267,"CO"
9,0.000922814353735922,0.000784034358507935,0.316813072973136,6.64947676514861,0.00993816877875094,1,-1939.6346451516,3885.26929030319,3905.91521585594,722.567396564902,7199,7201,"CT"
10,0.00357416481874632,0.00285782705082316,0.30256267628278,4.98949654589372,0.0256600748962115,1,-310.29536588201,626.59073176402,642.30837668536,127.337944753443,1391,1393,"DE"
11,0.0430357351564386,0.04202840435134,0.368829975532435,42.7225445093293,1.02779130669064e-10,1,-400.285056251335,806.570112502669,821.145807607043,129.233773308694,950,952,"DC"
12,0.00103792674741724,0.00100316935994804,0.335853887001219,29.8620472651079,4.67754804686737e-08,1,-9422.66440936405,18851.3288187281,18876.127267343,3241.92253014682,28741,28743,"FL"
13,0.000164315124072057,0.000107165327851599,0.315890410770036,2.87516552882123,0.0899735181619683,1,-4663.32581726188,9332.65163452376,9355.9609886737,1745.76921953,17495,17497,"GA"
15,0.0149394401647691,0.0144642541735317,0.335335460662852,31.4391426520482,2.33293413497142e-08,1,-676.102437509308,1358.20487501862,1375.11802431661,233.108582951927,2073,2075,"HI"
16,0.00245579252418233,0.00220758545588795,0.240011868679951,9.89412808046207,0.00167017748423607,1,33.6844278645632,-61.3688557291264,-42.4709980084345,231.517296674005,4019,4021,"ID"
17,0.00151741491806982,0.00146603678772683,0.303788580850666,29.5342572402994,5.55979839328379e-08,1,-4420.98646334095,8847.9729266819,8871.59757356848,1793.51531105516,19434,19436,"IL"
18,0.000112133297441461,3.25117122604857e-05,0.265309023050918,1.40832786971777,0.235356624120402,1,-1155.50620107943,2317.01240215885,2339.32721947892,883.943526310218,12558,12560,"IN"
19,0.0023917903148844,0.00226175796221428,0.25780444821964,18.3938094310441,1.8184245227175e-05,1,-485.413283281642,976.826566563284,997.663346375704,509.905160379503,7672,7674,"IA"
20,0.00177726417121858,0.00158959304209116,0.280484288830066,9.4700989943522,0.00209910725695587,1,-784.916653783516,1575.83330756703,1595.57155717082,418.453369576022,5319,5321,"KS"
21,0.00528113485589623,0.00515648336903607,0.24958357959818,42.3672030628942,8.02179832359996e-11,1,-246.259100366738,498.518200733476,519.473033590303,497.089866376227,7980,7982,"KY"
22,6.29015569301068e-05,-5.907174124542e-05,0.305873030383399,0.51569940200831,0.472702446552202,1,-1920.69723879389,3847.39447758779,3868.43014588754,766.991031249141,8198,8200,"LA"
23,0.00129887536588528,0.000907381393076778,0.173147087077653,3.31774038963585,0.0686530329347961,1,855.426428168205,-1704.85285633641,-1687.31778308469,76.4787600106278,2551,2553,"ME"
24,0.000890025118110994,0.000802129457436962,0.282105499666555,10.1259278476963,0.00146591418372581,1,-1743.73630603459,3493.47261206918,3515.48854896557,904.62579161304,11367,11369,"MD"
25,0.000941951054481098,0.000810496048040954,0.318103544055775,7.16557763746792,0.00744753069996827,1,-2078.6044650564,4163.2089301128,4184.01743006145,769.042972030419,7600,7602,"MA"
26,0.001406128029947,0.00135131444602066,0.296023325482131,25.6529117278048,4.12668115399523e-07,1,-3672.54381624981,7351.08763249962,7374.51845801206,1596.43986454302,18218,18220,"MI"
27,0.000820982331507597,0.000729791401721247,0.278601133335048,9.00289462374726,0.00270158804800776,1,-1543.82858778978,3093.65717557957,3115.56292452596,850.466907016998,10957,10959,"MN"
28,0.000344561202296854,0.000202220971797451,0.262595439279784,2.42068739869128,0.119787435288997,1,-573.62974252446,1153.25948504892,1173.83117653153,484.280549502603,7023,7025,"MS"
29,0.000430355891263358,0.000334519875529016,0.235022489532233,4.49054447814798,0.0341063867279248,1,304.942008206686,-603.884016413371,-582.126116560872,576.107001211236,10430,10432,"MO"
