"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,1.81940359757627e-06,-8.65743187214996e-05,0.259348409533479,0.0205829503480743,0.885923458428199,1,-783.75878009631,1573.51756019262,1595.51921386682,760.93045282912,11313,11315,"AL"
2,0.0143738146876375,0.0134168960611206,0.241814272962954,15.0209372974143,0.000113048918440418,1,1.66844861947402,2.66310276105196,17.4808645991765,60.2283668868603,1030,1032,"AK"
4,0.000715936964335107,0.00062238855925778,0.300330277390701,7.65311780295516,0.0056771707489704,1,-2307.44956259526,4620.89912519051,4642.7286329132,963.49797907874,10682,10684,"AZ"
5,0.0160460633276431,0.0158783820160082,0.272491668454538,95.6938085181552,1.98854937438554e-22,1,-696.304721742187,1398.60944348437,1418.64227322284,435.709030625046,5868,5870,"AR"
6,0.000843041268665971,0.00082787103714399,0.288019375454645,55.5720766321332,9.11942032133933e-14,1,-11473.4080254031,22952.8160508061,22980.1021382211,5463.67574505342,65863,65865,"CA"
8,0.0054283513528492,0.00534006270228138,0.295369141605376,61.4841354798571,4.86550105821477e-15,1,-2245.74286941347,4497.48573882694,4519.47463896143,982.79160434003,11265,11267,"CO"
9,0.00817851812259789,0.00804074600398741,0.331932260962378,59.3626504773164,1.48711125943286e-14,1,-2275.33799261779,4556.67598523558,4577.32191078833,793.178807220826,7199,7201,"CT"
10,0.00218277487514405,0.0014654368268876,0.304531450119911,3.04288177721671,0.0813127120571667,1,-319.33024680059,644.66049360118,660.37813852252,129.000511119981,1391,1393,"DE"
11,5.20452752086358e-05,-0.00100053151923851,0.378724901556875,0.0494455848572758,0.824078615690504,1,-425.488610008198,856.977220016396,871.55291512077,136.260923506302,950,952,"DC"
12,0.00110803050555725,0.00107327555724335,0.265123901252168,31.8812301357661,1.65438130903685e-08,1,-2625.55033306529,5257.10066613058,5281.89911474553,2020.22452053898,28741,28743,"FL"
13,0.000978790036968441,0.000921686795472887,0.279925143858785,17.1407088518136,3.48729860655293e-05,1,-2548.40869644283,5102.81739288566,5126.12674703559,1370.87471744551,17495,17497,"GA"
15,0.00845344978878927,0.00797513500335212,0.159803875195265,17.6734026339231,2.73413873301777e-05,1,861.854616833932,-1717.70923366786,-1700.79608436987,52.9387783873499,2073,2075,"HI"
16,0.00539127580382016,0.00514379913693885,0.287463873482772,21.7849863252149,3.14917362105922e-06,1,-691.739437107137,1389.47887421427,1408.37673193497,332.111988323473,4019,4021,"ID"
17,0.00265793770843396,0.00260661826507214,0.281577543275072,51.7920213923602,6.39487516833386e-13,1,-2945.32512078817,5896.65024157635,5920.27488846293,1540.84243084821,19434,19436,"IL"
18,0.000785284863047599,0.000705716881272189,0.26042048315124,9.86935756725732,0.00168444559312396,1,-921.919042161778,1849.83808432356,1872.15290164362,851.668842585662,12558,12560,"IN"
19,0.00998310859531351,0.00985406572625647,0.323934353417114,77.3627296748189,1.7355130196847e-18,1,-2237.6908937511,4481.3817875022,4502.21856731462,805.049545963917,7672,7674,"IA"
20,0.0114913141162639,0.0113054692796623,0.314916535303401,61.8328403758673,4.49442940760774e-15,1,-1401.03484115281,2808.06968230562,2827.80793190941,527.498124359683,5319,5321,"KS"
21,0.00675739651644563,0.00663293002478105,0.297496297589284,54.2908892672453,1.90187256878128e-13,1,-1647.96161650617,3301.92323301233,3322.87806586916,706.262295693066,7980,7982,"KY"
22,4.8800938428183e-05,-7.3174079754379e-05,0.29693603754506,0.400089617983057,0.52706061887104,1,-1677.5399438783,3361.07988775659,3382.11555605635,722.825943201497,8198,8200,"LA"
23,0.023259582054098,0.0228766967471806,0.284932944671445,60.7481708853481,9.36888164547232e-15,1,-416.254588105525,838.50917621105,856.044249462775,207.107483328768,2551,2553,"ME"
24,0.000556137203223524,0.000468212169107529,0.309740219312152,6.32512922872109,0.0119175647110653,1,-2806.20153794316,5618.40307588633,5640.41901278271,1090.53865232459,11367,11369,"MD"
