"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.0968697959125013,0.00265652773371447,36.4648163401833,2.36013533347114e-275,"AL"
1,"EJB1_UNION",-0.000959838180995092,0.00669027867857842,-0.143467593370721,0.885923458429541,"AL"
2,"(Intercept)",0.0897256327547002,0.00802488850215559,11.1809195517917,1.79378327193893e-27,"AK"
2,"EJB1_UNION",-0.0897256327547016,0.0231509071457349,-3.87568539711549,0.000113048918440419,"AK"
4,"(Intercept)",0.131234321959793,0.00303224726864806,43.2795581404891,0,"AZ"
4,"EJB1_UNION",-0.0293288501138562,0.010601707963032,-2.76642690179031,0.00567717074898938,"AZ"
5,"(Intercept)",0.102066532024671,0.00366661834059815,27.8366937989024,2.75205137866037e-160,"AR"
5,"EJB1_UNION",0.14752374862361,0.0150806485755577,9.78232122341958,1.98854937437562e-22,"AR"
6,"(Intercept)",0.120635195331222,0.00127727604321463,94.4472386936881,0,"CA"
6,"EJB1_UNION",-0.0199410874111727,0.00267497990743662,-7.45466811011746,9.11942032194629e-14,"CA"
8,"(Intercept)",0.141751644247848,0.00293409837520478,48.3118239816871,0,"CO"
8,"EJB1_UNION",-0.072551333387421,0.00925260160993804,-7.84118202057841,4.86550105825182e-15,"CO"
9,"(Intercept)",0.176506634796462,0.00440855471928489,40.0373015728596,1.19119909022916e-316,"CT"
9,"EJB1_UNION",-0.073641037792279,0.00955791708001735,-7.70471611918873,1.48711125945517e-14,"CT"
10,"(Intercept)",0.133990247295577,0.00861689758723705,15.5497086902874,2.15527662313284e-50,"DE"
10,"EJB1_UNION",-0.0467506639622473,0.0268006448373272,-1.74438578795441,0.0813127120571362,"DE"
11,"(Intercept)",0.226292001975882,0.013969478443084,16.1990301139636,2.68596796300581e-52,"DC"
11,"EJB1_UNION",-0.00650627713635497,0.0292596279186995,-0.222363632047312,0.82407861569051,"DC"
12,"(Intercept)",0.103983071544163,0.00162845883555523,63.8536690482015,0,"FL"
12,"EJB1_UNION",-0.0329592541590859,0.00583727078520838,-5.64634661845815,1.65438130903031e-08,"FL"
13,"(Intercept)",0.122922435066131,0.00217934637498449,56.4033494065421,0,"GA"
13,"EJB1_UNION",-0.0377606708510221,0.00912063996160518,-4.14013391713539,3.48729860655064e-05,"GA"
15,"(Intercept)",0.048845454888633,0.00425727603506841,11.4734056439561,1.37465509290014e-29,"HI"
15,"EJB1_UNION",-0.0315910333356066,0.00751456328018852,-4.20397462336815,2.73413873301737e-05,"HI"
16,"(Intercept)",0.121171166039646,0.0047503335292866,25.5079280839136,3.75497027584593e-133,"ID"
16,"EJB1_UNION",-0.0742031874950231,0.0158980520871312,-4.66743894713287,3.14917362106264e-06,"ID"
17,"(Intercept)",0.124104721456439,0.0022348127914243,55.5324911029095,0,"IL"
