"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00937570240993551,0.00928813728153532,0.427061158637671,107.071188968043,5.55005543954312e-25,1,-6427.17005905574,12860.3401181115,12882.3417717857,2063.27889138335,11313,11315,"AL"
2,0.0784230795097168,0.0775283446354543,0.42663006102993,87.6495169302148,4.75500305051846e-20,1,-584.24677085888,1174.49354171776,1189.31130355589,187.473605243634,1030,1032,"AK"
4,0.00488586184819602,0.0047927038124207,0.430077973360387,52.4470251818171,4.72450302233974e-13,1,-6143.90015449455,12293.8003089891,12315.6298167118,1975.81816877956,10682,10684,"AZ"
5,0.000209493134508071,3.91130208635682e-05,0.418913694728523,1.22956329836281,0.267537426196219,1,-3220.73860957385,6447.47721914771,6467.51004888617,1029.76759554731,5868,5870,"AR"
6,0.0053620473212897,0.00534694570197858,0.452955885803382,355.064394809175,5.40212681982895e-79,1,-41294.9054694654,82595.8109389307,82623.0970263457,13513.0481182149,65863,65865,"CA"
8,0.00510737741680406,0.00501906027321031,0.450399324280959,57.8299660629824,3.08505209129075e-14,1,-6999.38791066218,14004.7758213244,14026.7647214588,2285.21284553807,11265,11267,"CO"
9,0.0124659041822167,0.012328727616608,0.443251844721418,90.8748817765749,2.04670266208701e-21,1,-4357.9189814946,8721.83796298919,8742.48388854194,1414.40335231452,7199,7201,"CT"
10,0.000297522041078308,-0.000421171329129333,0.455464493750839,0.413976326221462,0.520064203258237,1,-880.073199275965,1766.14639855193,1781.86404347327,288.560035949182,1391,1393,"DE"
11,0.009931107839162,0.00888893005794,0.447275557935679,9.52918783925517,0.00208094803068102,1,-583.8678779736,1173.7357559472,1188.31145105157,190.052653490339,950,952,"DC"
12,0.000354166945325936,0.000319385767459823,0.438255398663613,10.1827185579395,0.00141915365008772,1,-17071.913597724,34149.8271954479,34174.6256440629,5520.22048051169,28741,28743,"FL"
13,0.000227303256967526,0.000170157061097576,0.428795690265363,3.97757459630744,0.0461254037059439,1,-10010.1501831295,20026.300366259,20049.6097204089,3216.73119110766,17495,17497,"GA"
15,0.0192632548987809,0.0187901546840674,0.4731086995899,40.7170707171285,2.16403485601924e-10,1,-1390.30449999138,2786.60899998276,2803.52214928076,464.00340769411,2073,2075,"HI"
16,0.0354294126430262,0.0351894100087001,0.432944292795917,147.620932338906,2.19524285817072e-33,1,-2338.38666953052,4682.77333906105,4701.67119678174,753.324417110853,4019,4021,"ID"
17,0.00695965023501999,0.00690855214148456,0.435560315545204,136.201759273315,2.2937705454407e-31,1,-11423.8021841994,22853.6043683988,22877.2290152854,3686.87833127829,19434,19436,"IL"
18,0.00211797739555592,0.00203851553677248,0.431101934144867,26.6540127298539,2.4706406224657e-07,1,-7252.74937096991,14511.4987419398,14533.8135592599,2333.89020519522,12558,12560,"IN"
19,0.00605171620296257,0.00592216090006925,0.421247982031896,46.7114511549471,8.85483074827805e-12,1,-4253.50342104208,8513.00684208416,8533.84362189658,1361.39534407153,7672,7674,"IA"
20,0.00516776454465613,0.00498073084744699,0.423174601555764,27.6301255964477,1.52609640883692e-07,1,-2973.26916650346,5952.53833300692,5972.27658261071,952.509198154596,5319,5321,"KS"
21,0.00578110279623698,0.00565651396200095,0.435929143867512,46.4014518771676,1.03336521886401e-11,1,-4697.70770362691,9401.41540725383,9422.37024011065,1516.47306341504,7980,7982,"KY"
22,0.00212623785840233,0.00200451624799236,0.426545628150685,17.4680391693762,2.95213998054213e-05,1,-4647.60118327168,9301.20236654337,9322.23803484313,1491.55373538881,8198,8200,"LA"
23,0.0534055291670653,0.0530344611659547,0.40338963929381,143.923833386967,2.68484895924339e-32,1,-1303.80266637678,2613.60533275356,2631.14040600529,415.106885979544,2551,2553,"ME"
24,0.0011535472553435,0.00106567477775521,0.443101874078147,13.127514860226,0.000292259341136664,1,-6877.05120574738,13760.1024114948,13782.1183483911,2231.78849131507,11367,11369,"MD"
25,0.00253180274945051,0.00240055693402286,0.447113276237215,19.2905407399076,1.1378292419969e-05,1,-4666.59161550586,9339.18323101171,9359.99173096036,1519.31814158558,7600,7602,"MA"
26,0.0035198313378804,0.00346513377675051,0.435664494441574,64.3507912451471,1.10393413359352e-15,1,-10713.3746749722,21432.7493499445,21456.1801754569,3457.84110518089,18218,18220,"MI"
27,0.00401099778843029,0.00392009799813986,0.430695272328968,44.1254900106769,3.22577857414546e-11,1,-6317.78472647382,12641.5694529476,12663.475201894,2032.50616171468,10957,10959,"MN"
28,0.00976929585566687,0.00962829760646511,0.408307971328664,69.2866465432767,1.01392202286143e-16,1,-3674.51481102062,7355.02962204123,7375.60131352384,1170.84225034107,7023,7025,"MS"
29,0.00450915235624923,0.00441370740441382,0.42064053386546,47.2434871571113,6.62768992143982e-12,1,-5767.49828195556,11540.9965639111,11562.7544637636,1845.46812456036,10430,10432,"MO"
30,7.02269396077446e-05,-0.000448408834801128,0.422783074357722,0.135407048786369,0.712930801608671,1,-1076.0214585481,2158.0429170962,2174.73874294189,344.621377913371,1928,1930,"MT"
31,0.000465266393369137,0.00014293981045832,0.44046385748972,1.44346268051302,0.229671574208603,1,-1857.7328194782,3721.46563895641,3739.58601294976,601.620078649399,3101,3103,"NE"
32,0.0022194431726185,0.00205155144170366,0.437647235454238,13.2194906832141,0.00027939710294614,1,-3521.98567697679,7049.97135395359,7070.04227138096,1138.29311535048,5943,5945,"NV"
33,0.044169631277798,0.0438682025900898,0.423246261927587,146.53426524744,5.24361193986055e-33,1,-1773.1427925084,3552.2855850168,3570.47288339155,568.044689805326,3171,3173,"NH"
34,0.000407926945590102,0.000307586444380004,0.449066041619188,4.0654266290359,0.043796414497732,1,-6160.27135541007,12326.5427108201,12348.1629124493,2008.94000558531,9962,9964,"NJ"
35,0.00235868156408852,0.00210845800792192,0.400893532452474,9.42629702904097,0.00215336018350913,1,-2012.96264335524,4031.92528671049,4050.7991742662,640.773194332183,3987,3989,"NM"
36,0.00161646849170179,0.0015734588190397,0.435408696825785,37.5838361848638,8.89791582976829e-10,1,-13637.0783326738,27280.1566653477,27304.314327049,4400.73756143198,23213,23215,"NY"
37,0.00155737312053212,0.00149800914961362,0.439298378390434,26.2343151314509,3.05741879586604e-07,1,-10030.4070575926,20066.8141151851,20090.0052653395,3245.78217454848,16819,16821,"NC"
38,0.0451045364838237,0.0444455334034124,0.432597751437999,68.4435897563078,2.92481844995207e-16,1,-842.018078172745,1690.03615634549,1705.87618110414,271.167040281809,1449,1451,"ND"
39,0.00893495424862685,0.00888487010441064,0.425258806528834,178.398860326856,1.62386058358078e-40,1,-11158.2087855851,22322.4175711701,22346.0963672859,3578.56189947014,19788,19790,"OH"
40,7.12557274993032e-05,-4.56539818742829e-05,0.413901445669286,0.609493667216204,0.435000123124446,1,-4591.41923514993,9188.83847029986,9210.00128385884,1465.2521207371,8553,8555,"OK"
41,0.00921374046731249,0.00909452662306598,0.442425367770469,77.2875040273081,1.77509599813597e-18,1,-5015.521660792,10037.043321584,10058.1200490846,1626.79685245525,8311,8313,"OR"
42,0.00471709102102965,0.00467650532967945,0.428894596616425,116.225469226011,4.8778833119055e-27,1,-14036.9737824353,28079.9475648705,28104.2699097238,4511.01995089092,24523,24525,"PA"
44,0.0272673191780519,0.0265851784481629,0.424968010551266,39.9731580058009,3.43644588623116e-10,1,-803.244830726101,1612.4896614522,1628.2817518809,257.532477048451,1426,1428,"RI"
45,0.00736941828510995,0.00725888035841571,0.435347778098194,66.6686856312223,3.64621109695213e-16,1,-5274.38407837878,10554.7681567576,10576.0770903185,1701.95863729741,8980,8982,"SC"
46,0.00772009841810257,0.0071187166595682,0.406435834167045,12.837267357287,0.000349649875995225,1,-855.741992844991,1717.48398568998,1733.71321155223,272.563644036852,1650,1652,"SD"
47,0.00148366927375798,0.00141746344358118,0.437005071917655,22.4099489394859,2.22231618760715e-06,1,-8915.57552240313,17837.1510448063,17860.0152143814,2880.26131472262,15082,15084,"TN"
48,0.00116181234499759,0.00113909547202684,0.42042274096856,51.1431457352762,8.72058334480864e-13,1,-24290.5144596236,48587.0289192472,48613.1027760613,7771.75295571993,43969,43971,"TX"
