"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,7.97316426259635e-06,-8.04200141018008e-05,0.139062321336371,0.0902011264911508,0.763927139038592,1,6268.31701430732,-12530.6340286146,-12508.6323749404,218.774518414501,11313,11315,"AL"
2,0.0120405510213264,0.0110813670902791,0.244022153102571,12.5529115236327,0.000413322049437573,1,-7.7114490899773,21.4228981799546,36.2406600180791,61.3332155409589,1030,1032,"AK"
4,0.00380480998472,0.00371155074581186,0.162208222177556,40.7982096923753,1.75806610755165e-10,1,4273.91539644262,-8541.83079288523,-8520.00128516254,281.059521427282,10682,10684,"AZ"
5,0.000480730949832236,0.000310397059401057,0.134083490754123,2.82228597383246,0.093017148939938,1,3466.37858783993,-6926.75717567987,-6906.7243459414,105.497148467815,5868,5870,"AR"
6,3.64592041471068e-05,2.12767262641744e-05,0.139623969879485,2.40140011587796,0.121231512624456,1,36217.7835611858,-72429.5671223716,-72402.2810349566,1283.98950082768,65863,65865,"CA"
8,0.00278104328227924,0.00269251962877559,0.172694007343075,31.4158213337531,2.13173266026063e-08,1,3801.30804825072,-7596.61609650144,-7574.62719636695,335.958575239948,11265,11267,"CO"
9,0.00245853609559027,0.00231996942467716,0.0986916569339597,17.7426222293356,2.55980419856659e-05,1,6458.97454890618,-12911.9490978124,-12891.3031722596,70.1185706251184,7199,7201,"CT"
10,0.00238929067673742,0.00167210109419025,0.136935966801985,3.33146316522232,0.0681807378135806,1,794.04025003535,-1582.0805000707,-1566.36285514936,26.0832794745562,1391,1393,"DE"
11,0.0139687199277952,0.0129307922645612,0.246995306504353,13.458278859504,0.000257484932503772,1,-18.5650125137988,43.1300250275975,57.7057201319716,57.9563473634203,950,952,"DC"
12,0.000429984378323441,0.000395205838411128,0.139946522023537,12.3634971280205,0.000438484190716222,1,15739.4131136907,-31472.8262273815,-31448.0277787665,562.893319250186,28741,28743,"FL"
13,0.000366417311328795,0.000309279067105317,0.118653458745846,6.41282063019062,0.0113385995352847,1,12469.5304469242,-24933.0608938483,-24909.7515396984,246.305864049802,17495,17497,"GA"
15,0.0083596895450916,0.00788132953040044,0.255857825811207,17.4757280883681,3.03099511940029e-05,1,-114.795259006608,235.590518013216,252.503667311211,135.705269630781,2073,2075,"HI"
16,0.00654114205828444,0.00629395149895595,0.180338659747847,26.4619412490934,2.81603772484432e-07,1,1183.09471155023,-2360.18942310046,-2341.29156537977,130.706047410392,4019,4021,"ID"
17,0.00173794837507626,0.00168658159254942,0.138185949407283,33.8340906240543,6.0959580213833e-09,1,10889.3681039751,-21772.7362079502,-21749.1115610636,371.099160428549,19434,19436,"IL"
18,0.00147589180318391,0.00139637881479426,0.125226385581397,18.5616442429754,1.65748383555529e-05,1,8274.19121659221,-16542.3824331844,-16520.0676158643,196.930131135714,12558,12560,"IN"
19,0.000866687328858948,0.000736456187999779,0.164835878817823,6.65499298509968,0.00990626675344506,1,2946.79119645304,-5887.58239290608,-5866.74561309366,208.45489120698,7672,7674,"IA"
20,1.85332662602148e-06,-0.000186151589086192,0.118211079430931,0.00985786259364745,0.920914324479249,1,3812.67145722065,-7619.34291444131,-7599.60466483752,74.3269576179011,5319,5321,"KS"
21,0.00423896151743413,0.00411417943241121,0.136303368110271,33.9709143075863,5.81175359473798e-09,1,4582.13888975344,-9158.27777950687,-9137.32294665005,148.257293102468,7980,7982,"KY"
22,0.00234689726763031,0.00222520257346925,0.130350889361806,19.2851240048662,1.13993577690769e-05,1,5073.41173884702,-10140.823477694,-10119.7878093943,139.295123022078,8198,8200,"LA"
23,0.0080161928551014,0.00762733209181432,0.121831626937113,20.6145582479016,5.87748192399779e-06,1,1752.80966360675,-3499.61932721349,-3482.08425396177,37.8643535167889,2551,2553,"ME"
24,0.000841410868815392,0.000753510931353341,0.108411887097229,9.57237164336563,0.00198006727220869,1,9128.93147552649,-18251.862951053,-18229.8470141566,133.597911279686,11367,11369,"MD"
25,0.00186154137540106,0.00173020736768736,0.126746118268164,14.1741001268933,0.000167905171659984,1,4916.6869325008,-9827.3738650016,-9806.56536505295,122.09079656996,7600,7602,"MA"
26,4.32490935490008e-05,-1.1639299847932e-05,0.13945307364651,0.78794606422874,0.374733632615601,1,10041.8341781439,-20077.6683562878,-20054.2375307754,354.288356315641,18218,18220,"MI"
27,0.000295863889169491,0.000204625033998207,0.111140584603008,3.2427400433109,0.0717680522653784,1,8527.33023440794,-17048.6604688159,-17026.7547198695,135.343379134409,10957,10959,"MN"
28,0.00165807390290955,0.00151592070255402,0.124948820278106,11.6639927821696,0.000640822687971018,1,4643.91066627803,-9281.82133255606,-9261.24964107345,109.644534599078,7023,7025,"MS"
29,0.000165193867009598,6.93324282624586e-05,0.110458228213479,1.72325670434895,0.189303258187867,1,8181.55877782783,-16357.1175556557,-16335.3596558032,127.256640478037,10430,10432,"MO"
30,0.0048149276655893,0.00429875283554038,0.174220636483952,9.32809464020654,0.0022875526141467,1,634.994370926433,-1263.98874185287,-1247.29291600717,58.520256581012,1928,1930,"MT"
31,0.0207815127439612,0.0204657376755136,0.0825002910967619,65.8111257678629,7.0758768364521e-16,1,3339.87463157142,-6673.74926314284,-6655.62888914949,21.1063301942874,3101,3103,"NE"
32,0.000106819853006216,-6.14273588643854e-05,0.148989921245381,0.634898206148996,0.425596121385398,1,2883.95708219398,-5761.91416438796,-5741.84324696059,131.922693988165,5943,5945,"NV"
33,0.00469508659785569,0.00438120929940022,0.138632645981841,14.9583503520644,0.000112118303728922,1,1768.32687479625,-3530.65374959251,-3512.46645121776,60.9434823967392,3171,3173,"NH"
34,0.000637243395179302,0.00053692591308685,0.163866167905922,6.35226664273871,0.0117386356761274,1,3884.63550372761,-7763.27100745521,-7741.65080582607,267.500829244319,9962,9964,"NJ"
35,0.000737070726281088,0.000486440445550129,0.138368911519072,2.94086861384781,0.0864419858382116,1,2230.42584617728,-4454.85169235456,-4435.97780479885,76.3349252761165,3987,3989,"NM"
36,0.00310190850084805,0.00305896281991502,0.142189870891941,72.2286486895606,2.03019181058392e-17,1,12343.3351719129,-24680.6703438258,-24656.5126821245,469.319491186987,23213,23215,"NY"
37,0.00087744385388283,0.000818039456704223,0.14404384278545,14.7706886284099,0.000121854516168835,1,8726.03642211363,-17446.0728442273,-17422.8816940729,348.971185170154,16819,16821,"NC"
38,0.00171138613558822,0.00102243609151342,0.110836747926319,2.48404967864748,0.115224081220983,1,1133.88107955667,-2261.76215911333,-2245.92213435468,17.8006530170886,1449,1451,"ND"
39,0.000232710947389235,0.000182187029405978,0.13489414261527,4.60595608334197,0.0318732064399925,1,11564.8195798476,-23123.6391596953,-23099.9603635795,360.070951139254,19788,19790,"OH"
40,0.0023133816759151,0.00219673411151378,0.14865298959448,19.8322329985131,8.56182816679291e-06,1,4169.01395323712,-8332.02790647424,-8310.86509291527,189.001724880416,8553,8555,"OK"
41,0.0027669238219961,0.00264693428088447,0.142449035684877,23.0597083409464,1.59792685248857e-06,1,4405.4973133692,-8804.9946267384,-8783.9178992378,168.644549476119,8311,8313,"OR"
42,0.000200661726320722,0.000159891863813044,0.158635203468882,4.92181513448458,0.0265287627388752,1,10355.6879631073,-20705.3759262146,-20681.0535813613,617.124428539463,24523,24525,"PA"
44,0.049058931252484,0.0483920721579907,0.162972166323732,73.5671623249839,2.49607203748927e-17,1,565.399591469548,-1124.7991829391,-1109.0070925104,37.8744558966529,1426,1428,"RI"
45,0.000777227878187732,0.000665955854566191,0.158121743516589,6.98493523251588,0.00823413063819387,1,3822.4053125178,-7638.8106250356,-7617.50169147466,224.52232223908,8980,8982,"SC"
46,0.000533902166690733,-7.18348622990028e-05,0.0952842784906607,0.881409161300668,0.347953419085767,1,1540.58517326914,-3075.17034653828,-3058.94112067604,14.9805046503516,1650,1652,"SD"
47,0.00018935621577295,0.00012306456719946,0.140456127063479,2.85641132552693,0.0910310007262738,1,8205.51300798772,-16405.0260159754,-16382.1618464003,297.536544182716,15082,15084,"TN"
