"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000238242355416297,0.000149869531439917,0.125288876436849,2.69587803915854,0.100635846585483,1,7448.47270317957,-14890.9454063591,-14868.9437526849,177.583583847796,11313,11315,"AL"
2,0.00160663384296452,0.000637319895239186,0.00602369659475753,1.65749584717611,0.198230976471478,1,3812.29629279437,-7618.59258558875,-7603.77482375062,0.0373734682856642,1030,1032,"AK"
4,0.00147740037980379,0.0013839232594498,0.127550566246795,15.8049410830229,7.06813500318248e-05,1,6842.00655296445,-13678.0131059289,-13656.1835982062,173.787027718597,10682,10684,"AZ"
5,1.71360259420255e-05,-0.000153276868395835,0.110246852008165,0.100555923356717,0.751174802852091,1,4615.37655876959,-9224.75311753918,-9204.72028780071,71.3218336404035,5868,5870,"AR"
6,0.000906134277303825,0.000890965003724875,0.15226121315408,59.7348497009254,1.10066154454162e-14,1,30510.9321149135,-61015.864229827,-60988.5781424121,1526.93334770279,65863,65865,"CA"
8,0.00205840740144579,0.00196981959917342,0.117590223593811,23.235788095481,1.4517765229258e-06,1,8131.3894959917,-16256.7789919834,-16234.7900918489,155.76634461475,11265,11267,"CO"
9,0.00148191843589738,0.00134321610480093,0.058906515611816,10.6841638794503,0.00108563719332752,1,10175.0412893807,-20344.0825787614,-20323.4366532086,24.9803686093994,7199,7201,"CT"
10,NA,NA,0,NA,NA,1,Inf,-Inf,-Inf,0,1391,1393,"DE"
11,0.00410968882425625,0.00306138323354488,0.112289356044306,3.92031566050096,0.0479941386240252,1,731.887313700298,-1457.7746274006,-1443.19893229622,11.9784545068027,950,952,"DC"
12,2.61316343648866e-06,-3.21802462164289e-05,0.10697939370214,0.0751051265900912,0.784045749678373,1,23460.4764936485,-46914.952987297,-46890.1545386821,328.928980644137,28741,28743,"FL"
13,8.00639018987054e-07,-5.63585035566749e-05,0.0964474661015964,0.0140071908518821,0.90579013249608,1,16095.0604742802,-32184.1209485603,-32160.8115944104,162.740479486238,17495,17497,"GA"
15,0.000154853809902766,-0.00032746415738627,0.129522245565772,0.321061665550558,0.571031660645998,1,1297.80098757913,-2589.60197515826,-2572.68882586027,34.7766730758374,2073,2075,"HI"
16,0.00103238799433554,0.00078382675721056,0.131743560299629,4.15345532664878,0.0416150004332885,1,2445.60514789625,-4885.21029579249,-4866.3124380718,69.7552336696155,4019,4021,"ID"
17,0.00122502272135432,0.00117362954561684,0.133569376428733,23.8362915655605,1.05718717764828e-06,1,11549.7882460762,-23093.5764921524,-23069.9518452658,346.717685862338,19434,19436,"IL"
