"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.0230073484544069,0.00128334457720069,17.9276469181737,6.83763825287582e-71,"AL"
1,"EJB1_UNION",-0.00530668433219965,0.00323201326044876,-1.64191292069848,0.100635846585604,"AL"
2,"(Intercept)",0.000742463990496462,0.000199903392597297,3.71411400702011,0.000214861212150628,"AK"
2,"EJB1_UNION",-0.000742463990496471,0.000576698963343141,-1.28743770613421,0.198230976471477,"AK"
4,"(Intercept)",0.0231124100035731,0.00128779841805032,17.9472265842386,5.5345877910823e-71,"AZ"
4,"EJB1_UNION",-0.0179001038759352,0.00450255587154381,-3.97554286645591,7.06813500316168e-05,"AZ"
5,"(Intercept)",0.0167012786321059,0.00148346968499622,11.258254078949,4.18529211625678e-29,"AR"
5,"EJB1_UNION",-0.0019348032945022,0.00610144905026348,-0.317105539776433,0.751174802851869,"AR"
6,"(Intercept)",0.0292921118834332,0.000675230961686217,43.380877870712,0,"CA"
6,"EJB1_UNION",0.0109295427553517,0.00141412599491324,7.72883236335831,1.10066154455876e-14,"CA"
8,"(Intercept)",0.021014250041417,0.00116810199640803,17.9900814364129,2.31281861019651e-71,"CO"
8,"EJB1_UNION",-0.0177561441454532,0.00368357874564532,-4.82035144937361,1.45177652292791e-06,"CO"
9,"(Intercept)",0.00535207060226171,0.000782366247390863,6.84087614989845,8.51750612143407e-12,"CT"
9,"EJB1_UNION",0.00554430864866148,0.00169620027308614,3.26866392880242,0.0010856371933253,"CT"
10,"(Intercept)",0,0,NA,NA,"DE"
10,"EJB1_UNION",0,0,NA,NA,"DE"
11,"(Intercept)",0.0171768707482991,0.00414185529443764,4.14714410022171,3.6677422366244e-05,"DC"
11,"EJB1_UNION",-0.0171768707482984,0.00867528056269984,-1.97997870203206,0.0479941386240369,"DC"
12,"(Intercept)",0.016907858377368,0.00065709480764955,25.7312311412838,2.26155980661663e-144,"FL"
12,"EJB1_UNION",0.00064549945813606,0.00235538058442666,0.274053145552775,0.784045749682188,"FL"
13,"(Intercept)",0.0161018723639529,0.000750888015015148,21.4437732950473,1.03046147237604e-100,"GA"
13,"EJB1_UNION",-0.000371920183464656,0.0031424923156083,-0.118351978656362,0.9057901324961,"GA"
15,"(Intercept)",0.025870318145219,0.0034505543209239,7.49743830675071,9.58852436363825e-14,"HI"
15,"EJB1_UNION",-0.00345108003970639,0.0060906101889383,-0.56662303655128,0.571031660645977,"HI"
16,"(Intercept)",0.0248056536474888,0.00217705913503745,11.3941110961426,1.26854299000239e-29,"ID"
16,"EJB1_UNION",-0.0148489180343782,0.00728601461607011,-2.03800277886175,0.0416150004333019,"ID"
17,"(Intercept)",0.0222825978831577,0.00106010780374589,21.0191810723609,5.25439776615627e-97,"IL"
17,"EJB1_UNION",0.0120916852648979,0.00247666627204044,4.88224247303854,1.05718717765876e-06,"IL"
18,"(Intercept)",0.0177539940407692,0.00102896812588518,17.2541729856755,5.98280795936767e-66,"IN"
18,"EJB1_UNION",-0.00564864465666344,0.00335135852286293,-1.68547907307692,0.0919210233154823,"IN"
19,"(Intercept)",0.0311506922786763,0.00184482931898037,16.8854061230407,7.78349184273326e-63,"IA"
19,"EJB1_UNION",0.033103469466105,0.00585834253455285,5.65065447622067,1.65561404982886e-08,"IA"
20,"(Intercept)",0.0205958922510986,0.00167502631572906,12.2958618964348,2.77487693874474e-34,"KS"
20,"EJB1_UNION",0.00132871012998737,0.00562402528575011,0.236256073270864,0.813243067434103,"KS"
21,"(Intercept)",0.0112351824646574,0.00127782250821425,8.7924437020275,1.77108890549591e-18,"KY"
21,"EJB1_UNION",0.0320771121962888,0.00417143505665213,7.68970672218327,1.65060059956681e-14,"KY"
22,"(Intercept)",0.0167774800553943,0.00125082622237438,13.4131182695758,1.35488904567444e-40,"LA"
22,"EJB1_UNION",-0.00286927421394753,0.00386687612310726,-0.742013481321948,0.4581004250095,"LA"
23,"(Intercept)",0.0106230542029646,0.00144978807522003,7.32731520181139,3.1346679857324e-13,"ME"
23,"EJB1_UNION",-0.0106230542029647,0.00360458196008118,-2.94709742228347,0.00323680774945449,"ME"
24,"(Intercept)",0.0246344929573277,0.00124930446112448,19.7185663894569,3.92273534929952e-85,"MD"
24,"EJB1_UNION",0.00362335875025012,0.00333331967662706,1.08701207857644,0.277054520721445,"MD"
25,"(Intercept)",0.0227230506823953,0.00146283920096241,15.5335259456033,1.36351957200879e-53,"MA"
25,"EJB1_UNION",0.000292190289739998,0.00351720471115084,0.0830745759021777,0.933794429284136,"MA"
26,"(Intercept)",0.011367915432201,0.000701582457748159,16.2032492498289,1.2294557298852e-58,"MI"
26,"EJB1_UNION",-0.00161285330033582,0.00175161437274263,-0.920781038014922,0.357176949181349,"MI"
27,"(Intercept)",0.0172251734214967,0.00114906277157384,14.9906287520775,2.66172501038521e-50,"MN"
27,"EJB1_UNION",0.00867735885638967,0.0027115440906604,3.20015406951258,0.00137745631377336,"MN"
28,"(Intercept)",0.014764063488309,0.0011894121542351,12.4129078685963,5.17160990871879e-35,"MS"
28,"EJB1_UNION",-0.00469627370376011,0.00559919903023312,-0.838740269528262,0.401643621753196,"MS"
29,"(Intercept)",0.0235724226176614,0.00129835363716222,18.1556256654258,1.50871822039932e-72,"MO"
29,"EJB1_UNION",-0.0160166783190151,0.0034458729336947,-4.64807572049438,3.39155034523371e-06,"MO"
30,"(Intercept)",0.0496534292038677,0.00399616460447048,12.4252712584263,3.72743498751345e-34,"MT"
30,"EJB1_UNION",-0.0357340152844482,0.0110591501086787,-3.23117191947741,0.00125361463564963,"MT"
31,"(Intercept)",0.0251253667504957,0.00280747553051724,8.94945173248465,6.0156952419496e-19,"NE"
31,"EJB1_UNION",0.044050744740753,0.00857007752852594,5.14006373852837,2.91668422041484e-07,"NE"
32,"(Intercept)",0.0314646135460881,0.00187231612370693,16.8051821739336,5.91716233880552e-62,"NV"
32,"EJB1_UNION",-0.0227051550273722,0.00402407284015782,-5.64233201764849,1.75505216468402e-08,"NV"
33,"(Intercept)",0.0135303088837282,0.00200155136598058,6.75991089396778,1.636877278426e-11,"NH"
33,"EJB1_UNION",0.0115284000915848,0.00638299462855845,1.80611151386609,0.0709957027390844,"NH"
34,"(Intercept)",0.017214279881479,0.00110134395545852,15.6302486577067,2.00182918499716e-54,"NJ"
34,"EJB1_UNION",-0.0094846130095991,0.00261160789751403,-3.63171401749375,0.000282958520344321,"NJ"
35,"(Intercept)",0.0148583099564517,0.00142529087695792,10.4247562351375,4.00938330218579e-25,"NM"
35,"EJB1_UNION",0.0227984364492472,0.00417454403944665,5.46129978120178,5.01477677765572e-08,"NM"
36,"(Intercept)",0.0129980061476452,0.000752363254533725,17.2762373352493,1.85081527245054e-66,"NY"
36,"EJB1_UNION",0.00239233562681673,0.00145152342313046,1.64815502712126,0.099334396242213,"NY"
37,"(Intercept)",0.0115305653280609,0.000635212411766039,18.1522985295631,6.11604012637338e-73,"NC"
37,"EJB1_UNION",0.0137415773683442,0.0031363197685254,4.38143377669842,1.18614394217189e-05,"NC"
38,"(Intercept)",0.0209131278122938,0.00348122230255512,6.00740946561907,2.38021776722699e-09,"ND"
38,"EJB1_UNION",-0.0209131278122935,0.0115419316409055,-1.81192615438614,0.0702045405386918,"ND"
39,"(Intercept)",0.0147912217971151,0.000685905833176621,21.5645079567451,5.76805855724046e-102,"OH"
39,"EJB1_UNION",-0.0139393661121637,0.00176995812175268,-7.87553442132314,3.56704705175361e-15,"OH"
40,"(Intercept)",0.0166860506091827,0.00123198419782553,13.5440459696106,2.29014326103521e-41,"OK"
40,"EJB1_UNION",0.0359179303622852,0.00442545959639689,8.11620343150999,5.47767508327736e-16,"OK"
41,"(Intercept)",0.0271502144023891,0.00160062987925266,16.9622064128065,1.81389881107876e-63,"OR"
41,"EJB1_UNION",-0.00659564457915718,0.00351073412627281,-1.87870808267657,0.0603193356490287,"OR"
42,"(Intercept)",0.0234175353837889,0.000881402871121664,26.5684809421916,2.32775493051963e-153,"PA"
42,"EJB1_UNION",-0.00339824434381515,0.00221027680105874,-1.53747455621276,0.124190042810532,"PA"
44,"(Intercept)",0.0175996522266585,0.00268136652080034,6.56368761604637,7.32884854863154e-11,"RI"
