"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,3.18420594670627e-05,-5.65490090329579e-05,0.10319014078205,0.360240689556339,0.548384615236579,1,9644.13452544501,-19282.26905089,-19260.2673972158,120.463144914208,11313,11315,"AL"
2,0.0124619982274356,0.0115032234684331,0.183025501544291,12.9978371983854,0.000326788154579855,1,289.126340187884,-572.252680375768,-557.434918537643,34.5032842420053,1030,1032,"AK"
4,0.000346271415740935,0.000252688404265067,0.109980539404633,3.70015251999622,0.0544340394667168,1,8425.47629914109,-16844.9525982822,-16823.1230905595,129.206470867895,10682,10684,"AZ"
5,0.000737379714273805,0.000567089560850831,0.0826371270472758,4.33013711862999,0.0374864959327517,1,6307.47978865561,-12608.9595773112,-12588.9267475728,40.0719544905708,5868,5870,"AR"
6,0.000199343587174619,0.0001841635823705,0.0944727022733386,13.1319844589707,0.000290515475233367,1,61947.415707191,-123888.831414382,-123861.545326967,587.833299806523,65863,65865,"CA"
8,0.000712870497050308,0.000624163250756093,0.0929743438616985,8.03621492980313,0.00459328683907789,1,10777.8085578509,-21549.6171157018,-21527.6282155673,97.3772353650229,11265,11267,"CO"
9,0.00596262523419753,0.00582454530993515,0.0955337159097811,43.1824196460432,5.33467803792277e-11,1,6693.15958024237,-13380.3191604847,-13359.673234932,65.703047612946,7199,7201,"CT"
10,0.00267899612332341,0.00196201481212532,0.085183009004545,3.73649365957168,0.0534388055886959,1,1455.3132745893,-2904.62654917859,-2888.90890425725,10.0932977270881,1391,1393,"DE"
11,0.00395944577411146,0.00291098203282103,0.174132487836796,3.77642603952935,0.0522746401509819,1,314.209348870056,-622.418697740112,-607.843002635738,28.8060171542202,950,952,"DC"
12,0.00128303542041224,0.00124828656113185,0.0992577929061563,36.9230946563436,1.24425322615196e-09,1,25613.7813118216,-51221.5626236433,-51196.7641750283,283.159477777217,28741,28743,"FL"
13,0.000748064125048547,0.000690947695447197,0.11722130964654,13.0971793977711,0.000296574553708247,1,12682.004387164,-25358.008774328,-25334.6994201781,240.395915939698,17495,17497,"GA"
15,0.00429466580177579,0.00381434484943699,0.112613782722333,8.94124185269137,0.0028208558543157,1,1588.06969629167,-3170.13939258335,-3153.22624328536,26.2895041943751,2073,2075,"HI"
16,0.0024750665837817,0.00222686431122243,0.102446823856043,9.97197389959186,0.00160118510963965,1,3456.94067298488,-6907.88134596975,-6888.98348824906,42.1808185554103,4019,4021,"ID"
17,0.000383594896395779,0.000332158423970941,0.0963872783252033,7.45764393070653,0.00632245871010413,1,17890.7208789271,-35775.4417578542,-35751.8171109676,180.55172125742,19434,19436,"IL"
18,0.00157851339288004,0.00149900857630048,0.0709960183292905,19.8543114843721,8.42971238668523e-06,1,15401.9835338598,-30797.9670677197,-30775.6522503996,63.2977779405415,12558,12560,"IN"
19,0.00329853067544419,0.00316861651103784,0.103846879304994,25.3900772908034,4.79019580217649e-07,1,6492.43094360716,-12978.8618872143,-12958.0251074019,82.7361855471134,7672,7674,"IA"
20,0.00426194904608058,0.00407474505078931,0.0590598001622011,22.7663359398442,1.87835006751804e-06,1,7505.02692076809,-15004.0538415362,-14984.3155919324,18.5529911144642,5319,5321,"KS"
21,0.00734871613306862,0.00722432374160664,0.031241882746451,59.0768940664049,1.69677720509126e-14,1,16340.6103401051,-32675.2206802101,-32654.2658473533,7.7889207955931,7980,7982,"KY"
22,0.000185786266053539,6.38279574741718e-05,0.0521657122766162,1.52335882825547,0.217147288128231,1,12583.0089430983,-25160.0178861966,-25138.9822178968,22.3089020830043,8198,8200,"LA"
23,0.000655238839548826,0.00026349255920366,0.190797096456921,1.672610238881,0.196026378460603,1,607.609032270293,-1209.21806454059,-1191.68299128886,92.865410173815,2551,2553,"ME"
24,0.00131458546011291,0.00122672714969319,0.108214598771976,14.9625624922017,0.000110277259948674,1,9149.63966899537,-18293.2793379907,-18271.2634010944,133.112109836345,11367,11369,"MD"
25,0.000148036718709455,1.64772498566501e-05,0.0978196327975847,1.12524563986412,0.288825437867821,1,6886.06649289635,-13766.1329857927,-13745.324485844,72.7219722609728,7600,7602,"MA"
26,0.000356466879991373,0.000301595679358946,0.100567340802621,6.49642938159557,0.0108172630952217,1,15997.9630043,-31989.9260085999,-31966.4951830875,184.253026877863,18218,18220,"MI"
27,0.00210414716079393,0.00201307334014589,0.123695866001953,23.1037541394954,1.55529962901377e-06,1,7354.38921625095,-14702.7784325019,-14680.8726835555,167.649411233267,10957,10959,"MN"
28,0.000961718926649066,0.000819466572801297,0.0875785216978604,6.76065387064031,0.00933847632797364,1,7140.37391444506,-14274.7478288901,-14254.1761374075,53.8663921811223,7023,7025,"MS"
