"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.0149566839943007,0.00105698535543951,14.1503228188829,4.50176817072594e-45,"AL"
1,"EJB1_UNION",0.00159769989607451,0.00266194344494152,0.600200541116157,0.548384615236696,"AL"
2,"(Intercept)",0.0448615946924134,0.00607391459961113,7.38594426324097,3.120418642009e-13,"AK"
2,"EJB1_UNION",0.0631732520104679,0.0175225653127703,3.60525133636841,0.000326788154579727,"AK"
4,"(Intercept)",0.0154575707374026,0.00111040482868233,13.9206623909816,1.14091695296988e-43,"AZ"
4,"EJB1_UNION",-0.00746796679119346,0.00388233104738826,-1.92357805144343,0.0544340394667596,"AZ"
5,"(Intercept)",0.00951684127913652,0.00111195622003552,8.55864746080785,1.44145360205328e-17,"AR"
5,"EJB1_UNION",-0.00951684127913665,0.0045734296368096,-2.080898151912,0.0374864959327348,"AR"
6,"(Intercept)",0.0126666006636109,0.000418956950937788,30.233656788026,1.99554033248243e-199,"CA"
6,"EJB1_UNION",0.00317958425669716,0.000877415208555015,3.62380800525843,0.000290515475232687,"CA"
8,"(Intercept)",0.00944236267873347,0.000923576070870684,10.2236978377232,1.98528724404178e-24,"CO"
8,"EJB1_UNION",0.00825634127443903,0.00291247270795476,2.83482185151081,0.00459328683907773,"CO"
9,"(Intercept)",0.0100759800416333,0.00126883001038764,7.9411583578126,2.30778140148712e-15,"CT"
9,"EJB1_UNION",0.0180768998368468,0.00275087251948407,6.57133317113407,5.33467803791275e-11,"CT"
10,"(Intercept)",0.0144909946070603,0.00241030364671969,6.01210334091387,2.33622196817356e-09,"DE"
10,"EJB1_UNION",-0.0144909946070605,0.00749662988701735,-1.93300120526905,0.0534388055886987,"DE"
11,"(Intercept)",0.0467545299744112,0.00642297357548166,7.27926550295749,7.03065501606181e-13,"DC"
11,"EJB1_UNION",-0.0261435906211282,0.0134531734821692,-1.94330286870817,0.0522746401509801,"DC"
12,"(Intercept)",0.0137716643883475,0.000609666759927475,22.5888391717235,5.27806304589618e-112,"FL"
12,"EJB1_UNION",0.0132792827856215,0.00218537299730019,6.07643766168373,1.24425322616161e-09,"FL"
13,"(Intercept)",0.0184467476504438,0.000912621970029231,20.2129120887293,7.98470800056438e-90,"GA"
13,"EJB1_UNION",0.0138222536857222,0.00381935451162356,3.61900254183175,0.000296574553706105,"GA"
15,"(Intercept)",0.0224919897551396,0.00300010220538378,7.49707450458753,9.61445960181323e-14,"HI"
15,"EJB1_UNION",-0.0158345930811728,0.00529551236135133,-2.9901909391695,0.00282085585431569,"HI"
16,"(Intercept)",0.0178916217218883,0.00169293127667205,10.5684276547005,9.06593798418047e-26,"ID"
16,"EJB1_UNION",-0.017891621721889,0.00566577261376164,-3.15784323543658,0.00160118510963902,"ID"
17,"(Intercept)",0.0137488176886202,0.000765002492834837,17.9722521395608,1.22210628153123e-71,"IL"
17,"EJB1_UNION",-0.00488068895032496,0.00178722943585184,-2.73086871356206,0.00632245871008456,"IL"
18,"(Intercept)",0.0059503892047433,0.000665639676968385,8.93935474496349,4.45680236064496e-19,"IN"
18,"EJB1_UNION",0.00966018815001813,0.00216799446789925,4.45581771220047,8.42971238674086e-06,"IN"
19,"(Intercept)",0.0132928685557553,0.0012489934811493,10.6428646397125,2.86887364216068e-26,"IA"
19,"EJB1_UNION",0.0199853036965862,0.00396623772221933,5.03885674442209,4.79019580216524e-07,"IA"
20,"(Intercept)",0.00452921753822382,0.000848136748741445,5.34019725586087,9.6704702275726e-08,"KS"
20,"EJB1_UNION",0.0135874538253549,0.00284768213842636,4.77140817158176,1.87835006752488e-06,"KS"
21,"(Intercept)",0.00180698149755533,0.000367348241800483,4.9189877395323,8.87321046654717e-07,"KY"
21,"EJB1_UNION",0.00921725803581888,0.00119920358578402,7.68614949545268,1.69677720505489e-14,"KY"
22,"(Intercept)",0.00464372692604131,0.0006088046369636,7.62761425274585,2.65944851070006e-14,"LA"
22,"EJB1_UNION",-0.00232296325827882,0.00188209366912913,-1.23424423363248,0.217147288128298,"LA"
23,"(Intercept)",0.0554983492950517,0.0041244389035773,13.4559756108681,6.32034690478051e-40,"ME"
23,"EJB1_UNION",-0.0132621101824038,0.0102545181060587,-1.29329433574925,0.19602637846059,"ME"
24,"(Intercept)",0.015122611629849,0.00109469749527364,13.8144206003402,4.64508210952916e-43,"MD"
24,"EJB1_UNION",0.011298109725167,0.00292080658838407,3.86814716527248,0.000110277259948455,"MD"
25,"(Intercept)",0.0129065080618593,0.00123368503896036,10.4617529225577,1.92601936294242e-25,"MA"
25,"EJB1_UNION",0.00314650932851243,0.00296623362858538,1.06077596120203,0.28882543786783,"MA"
26,"(Intercept)",0.0155334151182768,0.000813118483400005,19.1035075888631,1.44762310042502e-80,"MI"
26,"EJB1_UNION",-0.00517429246914937,0.00203008214720414,-2.54880940472063,0.0108172630952414,"MI"
27,"(Intercept)",0.0184162751892295,0.00130452133619204,14.1172663706578,7.34473147142838e-45,"MN"
27,"EJB1_UNION",0.014796717428788,0.00307839328520498,4.8066364684143,1.55529962901787e-06,"MN"
28,"(Intercept)",0.0130884725705841,0.00106930373349935,12.2401822424686,4.21292112694137e-34,"MS"
