"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00158655850620463,0.00149830486512847,0.329614293910771,17.977258352851,2.25335959956876e-05,1,-3496.53903994001,6999.07807988001,7021.07973355422,1229.1074776541,11313,11315,"AL"
2,0.000728451540191034,-0.000241715011711774,0.297625791847155,0.75085204572593,0.386408405882269,1,-212.643896359789,431.287792719579,446.105554557703,91.2385453318252,1030,1032,"AK"
4,0.00126494187567036,0.00117144486592269,0.320391681711989,13.5292227963712,0.000236030699161036,1,-2998.29258992228,6002.58517984455,6024.41468756724,1096.51616296475,10682,10684,"AZ"
5,0.000216590489903395,4.62115857605694e-05,0.323201640319086,1.27122833072005,0.25958247214343,1,-1698.12801091815,3402.2560218363,3422.28885157476,612.967174189436,5868,5870,"AR"
6,2.99268347593742e-05,1.47442576953205e-05,0.312950689586281,1.97113010744168,0.160332673618329,1,-16941.3808967152,33888.7617934304,33916.0478808454,6450.4993270535,65863,65865,"CA"
8,0.00102288217533982,0.000934202448946153,0.292811944265233,11.5345662073769,0.000685500757986197,1,-2147.77261957223,4301.54523914447,4323.53413927896,965.84797294491,11265,11267,"CO"
9,0.000244187783292674,0.000105313521281847,0.309650271761249,1.75833721639111,0.184874121663612,1,-1774.95915443724,3555.91830887448,3576.56423442722,690.263810482268,7199,7201,"CT"
10,0.00494358644510836,0.00422823316433574,0.299332646715088,6.91069235017436,0.00866256609759362,1,-295.344346297608,596.688692595215,612.406337516555,124.633646444738,1391,1393,"DE"
11,0.00935640490837126,0.00831362217669585,0.209395401874772,8.97253533661675,0.00281180462397202,1,138.653022553534,-271.306045107067,-256.730350002693,41.6541126099822,950,952,"DC"
12,0.000726150663277491,0.000691382428027021,0.329200371502561,20.8854622054917,4.89608445525384e-06,1,-8847.52824761653,17701.0564952331,17725.854943848,3114.74507621457,28741,28743,"FL"
13,0.00108334226495625,0.00102624499958115,0.33468424358758,18.9736278583881,1.33291697696054e-05,1,-5674.51556985941,11355.0311397188,11378.3404938688,1959.6769331368,17495,17497,"GA"
15,0.0103265620200012,0.00984915081017002,0.335395279626467,21.6303300118428,3.51424381656453e-06,1,-676.472554286053,1358.94510857211,1375.8582578701,233.19175672392,2073,2075,"HI"
16,1.51166889934997e-06,-0.000247306068928532,0.31534273293082,0.00607540649049059,0.937875767958989,1,-1063.93483186089,2133.86966372178,2152.76752144247,399.653536594147,4019,4021,"ID"
17,0.000441427146110395,0.000389993649513865,0.320223339392045,8.58248369879512,0.00339806614020278,1,-5445.00489661342,10896.0097932268,10919.6344401134,1992.82041113413,19434,19436,"IL"
18,0.00296261657283077,0.00288322197309943,0.303538583521825,37.3150892233586,1.03474918358647e-09,1,-2846.25125466997,5698.50250933994,5720.81732666,1157.03976503826,12558,12560,"IN"
