state,r.squared,adj.r.squared,sigma,statistic,p.value,df,nobs,logLik,AIC,BIC,deviance,df.residual,nobs,TEHC_ST
AL,0.007556878,0.007469152,0.246664379,86.14191935,1.98E-20,1,11315,-216.3823123,438.7646246,460.7662783,688.3204334,11313,11315,1
AK,0.009190599,0.008228648,0.273516204,9.554124621,0.002048599,1,1032,-125.4645616,256.9291232,271.746885,77.05544709,1030,1032,2
AZ,0.000174398,8.08E-05,0.23243006,1.863243921,0.17227962,1,10684,430.7894667,-855.5789334,-833.7494256,577.0815125,10682,10684,4
AR,0.001131257,0.000961034,0.224148755,6.645733267,0.009963522,1,5870,450.0952493,-894.1904985,-874.1576688,294.8239556,5868,5870,5
CA,0.001448084,0.001432923,0.161059865,95.51347963,1.52E-22,1,65865,26810.73028,-53615.46056,-53588.17447,1708.50467,65863,65865,6
CO,0.001138219,0.001049549,0.188746931,12.83664522,0.00034133,1,11267,2799.831258,-5593.662515,-5571.673615,401.3201749,11265,11267,8
CT,0.005961652,0.005823572,0.162549004,43.17532885,5.35E-11,1,7201,2865.825998,-5725.651997,-5705.006071,190.2132649,7199,7201,9
DE,0.002345055,0.001627834,0.299586509,3.26963892,0.070789046,1,1393,-296.5252409,599.0504818,614.7681267,124.8451382,1391,1393,10
DC,0.009791126,0.008748801,0.020891848,9.393543185,0.002239009,1,952,2332.884784,-4659.769567,-4645.193872,0.414645855,950,952,11
FL,0.000105918,7.11E-05,0.190460589,3.044502251,0.081021634,1,28743,6881.253822,-13756.50764,-13731.7092,1042.586552,28741,28743,12
GA,0.001506637,0.001449564,0.231757695,26.3983829,2.81E-07,1,17497,755.5465903,-1505.093181,-1481.783826,939.6849537,17495,17497,13
HI,0.005246478,0.004766616,0.131122751,10.93331083,0.00096063,1,2075,1272.317353,-2538.634705,-2521.721556,35.64145362,2073,2075,15
ID,0.008935345,0.00868875,0.244277821,36.23492179,1.91E-09,1,4021,-37.15679567,80.31359134,99.21144906,239.8203763,4019,4021,16
IL,1.30E-06,-5.02E-05,0.203795878,0.025228324,0.873801101,1,19436,3338.119485,-6670.238969,-6646.614322,807.1476554,19434,19436,17
IN,4.40E-06,-7.52E-05,0.222735646,0.055196914,0.81425895,1,12560,1041.358946,-2076.717892,-2054.403075,623.0170496,12558,12560,18
IA,0.000240807,0.000110494,0.167117355,1.847912978,0.174066276,1,7674,2841.304499,-5676.608998,-5655.772218,214.2652302,7672,7674,19
KS,0.000130902,-5.71E-05,0.239202284,0.696361244,0.404046553,1,5321,62.22986934,-118.4597387,-98.72148908,304.3411199,5319,5321,20
KY,0.001474649,0.00134952,0.238483772,11.78507651,0.000600107,1,7982,116.86267,-227.7253401,-206.7705072,453.8585875,7980,7982,21
LA,0.000904674,0.000782803,0.205047911,7.423233297,0.006452354,1,8200,1358.69939,-2711.398779,-2690.363111,344.6820065,8198,8200,22
ME,0.013972244,0.013585718,0.162972789,36.14826647,2.09E-09,1,2553,1010.031504,-2014.063007,-1996.527934,67.75489192,2551,2553,23
MD,0.000845393,0.000757493,0.142441278,9.617708213,0.001931817,1,11369,6025.284415,-12044.56883,-12022.55289,230.6309479,11367,11369,24
MA,0.002464063,0.002332808,0.150546747,18.77313438,1.49E-05,1,7602,3608.476786,-7210.953572,-7190.145073,172.2488542,7600,7602,25
MI,0.000105788,5.09E-05,0.163896381,1.927453455,0.165054294,1,18220,7099.190302,-14192.3806,-14168.94978,489.372348,18218,18220,26
MN,0.000975851,0.000884674,0.143828335,10.70284393,0.001073018,1,10959,5701.831108,-11397.66222,-11375.75647,226.6629646,10957,10959,27
MS,0.000716323,0.000574036,0.28273501,5.03434247,0.024880552,1,7025,-1092.745669,2191.491338,2212.063029,561.4122014,7023,7025,28
MO,0.000488778,0.000392947,0.23748291,5.100445654,0.023940269,1,10432,196.2984501,-386.5969002,-364.8390003,588.2325203,10430,10432,29
MT,0.001150967,0.000632892,0.187551018,2.221621593,0.136253629,1,1930,492.6985963,-979.3971926,-962.7013668,67.81814075,1928,1930,30
NE,0.002136531,0.001814744,0.169350421,6.63956939,0.010019635,1,3103,1108.295564,-2210.591128,-2192.470754,88.93533181,3101,3103,31
NV,0.000908892,0.00074078,0.210346672,5.406459489,0.020095868,1,5945,833.6554202,-1661.31084,-1641.239923,262.9523287,5943,5945,32
NH,0.004728665,0.004414798,0.149420013,15.06583779,0.00010594,1,3173,1530.562506,-3055.125012,-3036.937714,70.79682477,3171,3173,33
NJ,0.00256797,0.002467847,0.169038329,25.64798434,4.17E-07,1,9964,3574.999805,-7143.999611,-7122.379409,284.6537556,9962,9964,34
NM,0.003647737,0.003397836,0.181727067,14.59677089,0.00013517,1,3989,1143.094103,-2280.188205,-2261.314318,131.6695857,3987,3989,35
NY,0.002977986,0.002935035,0.169934621,69.33447144,8.76E-17,1,23215,8205.249867,-16404.49973,-16380.34207,670.3398012,23213,23215,36
NC,0.000705967,0.000646553,0.238050277,11.88205369,0.00056816,1,16821,275.7685056,-545.5370113,-522.3458611,953.0979891,16819,16821,37
ND,0.003467382,0.002779644,0.134294194,5.041718757,0.024894185,1,1451,855.3260966,-1704.652193,-1688.812168,26.13261419,1449,1451,38
OH,0.000996826,0.000946341,0.201152586,19.74487408,8.90E-06,1,19790,3657.261768,-7308.523536,-7284.84474,800.6692347,19788,19790,39
OK,0.007536024,0.007419987,0.241646745,64.94503794,8.74E-16,1,8555,12.46224786,-18.92449572,2.23831784,499.4366074,8553,8555,40
OR,0.004897907,0.004778174,0.220414587,40.90686318,1.68E-10,1,8313,776.6569411,-1547.313882,-1526.237155,403.769907,8311,8313,41
PA,0.002174064,0.002133375,0.177560084,53.43073876,2.76E-13,1,24525,7591.676221,-15177.35244,-15153.0301,773.1509274,24523,24525,42
RI,9.78E-06,-0.000691473,0.174913433,0.013950111,0.905996668,1,1428,464.4232012,-922.8464024,-907.054312,43.62805531,1426,1428,44
SC,0.000119597,8.25E-06,0.26338644,1.074112448,0.300046292,1,8982,-760.7234498,1527.4469,1548.755833,622.9643036,8980,8982,45
