"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00614134293907588,0.00607665965518,0.304620633966473,94.9448229770931,2.27252005734506e-22,1,-3537.25834773238,7080.51669546476,7103.43662836092,1425.77567125496,15365,15367,"AL"
2,0.000434149365885169,-0.000219161647601274,0.347759646776561,0.664537038138023,0.415089628717097,1,-554.647818884262,1115.29563776852,1131.29862581943,185.033261047023,1530,1532,"AK"
4,0.00342997226631257,0.00336324064533144,0.355348907933157,51.3995047007377,7.88914433978137e-13,1,-5738.65679956432,11483.3135991286,11506.1481881843,1885.75868767894,14934,14936,"AZ"
5,0.000580555511312756,0.000452850496683421,0.303579604844565,4.54606667559694,0.0330255057980017,1,-1774.60256578077,3555.20513156155,3576.1015185471,721.248671513559,7826,7828,"AR"
6,0.00878955511874444,0.00877943246305746,0.366115995244462,868.305254118425,5.18806080769334e-190,1,-40551.777082012,81109.554164024,81138.0299435911,13125.2870796787,97920,97922,"CA"
8,0.00262249551096906,0.0025584255228861,0.338413927091303,40.9317308997962,1.62142830495732e-10,1,-5221.66826593532,10449.3365318706,10472.2956429807,1782.79489083035,15567,15569,"CO"
9,0.0085711591817705,0.00847031197997838,0.337979036495599,84.9915419511532,3.61231087170377e-20,1,-3284.86524411332,6575.73048822664,6597.31098629098,1122.99344998526,9831,9833,"CT"
10,0.0355898727365401,0.0350749714406174,0.366223028577546,69.1197963927326,1.758027516122e-16,1,-776.0477845365,1558.095569073,1574.70466088821,251.205461375136,1873,1875,"DE"
11,0.035800365861477,0.0351413093788124,0.371585620930773,54.3206338199214,2.83651943863064e-13,1,-627.429475086618,1260.85895017324,1276.72778173759,202.00500319751,1463,1465,"DC"
12,0.00249795526662275,0.00247297337264274,0.346766262423365,99.990627956697,1.63197508534346e-23,1,-14367.5398895531,28741.0797791062,28766.8645038369,4801.33610450919,39929,39931,"FL"
