"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.000312993263417766,0.000247930653151873,0.0258415056834652,4.81064719257793,0.028299351625733,1,34374.4404224921,-68742.8808449841,-68719.960912088,10.2604921866643,15365,15367,"AL"
2,0.0453238549221431,0.0446998835854909,0.0380876851383004,72.6377194909627,3.6768446399287e-17,1,2833.55488792423,-5661.10977584846,-5645.10678779756,2.21952779156729,1530,1532,"AK"
4,0.000565113443219259,0.000498189987577446,0.0568821742313244,8.44417607845526,0.00366752187147443,1,21625.8596858019,-43245.7193716038,-43222.8847825481,48.3201777840525,14934,14936,"AZ"
5,0.000101404152362805,-2.63620878426796e-05,0.0219439823914694,0.793669377761816,0.37302027454384,1,18790.7347916841,-37575.4695833682,-37554.5731963826,3.76851923038066,7826,7828,"AR"
6,6.42754205214104e-06,-3.78481060758773e-06,0.0307109477453388,0.629388963169679,0.427581457111492,1,202131.352566894,-404256.705133789,-404228.229354222,92.354453533946,97920,97922,"CA"
8,0.000446917804302307,0.000382708060472692,0.048743671423907,6.96028013268824,0.00834218929936387,1,24946.2960114653,-49886.5920229306,-49863.6329118205,36.986343658928,15567,15569,"CO"
9,0.00176603202300072,0.00166449261012536,0.0649594050961974,17.3925766654738,3.06621441071613e-05,1,12931.9281286602,-25857.8562573203,-25836.275759256,41.4841096960524,9831,9833,"CT"
10,0.000892826684939883,0.000359400537948473,0.00743506459001735,1.67375875737514,0.195915348971965,1,6530.89330610834,-13055.7866122167,-13039.1775204015,0.103539787362328,1873,1875,"DE"
11,0.059368270680478,0.0587253234970745,0.00663824933666875,92.3377101773647,3.05031879148965e-21,1,5269.09449347705,-10532.1889869541,-10516.3201553897,0.0644690762762107,1463,1465,"DC"
12,4.47597764787469e-05,1.97164435573605e-05,0.0416432926641526,1.78729311386016,0.181263934836311,1,70266.639575714,-140527.279151428,-140501.494426697,69.2434273249929,39929,39931,"FL"
13,0.000189018134176631,0.000148181186830798,0.0357683183661152,4.62860586949174,0.0314528547641446,1,46810.3017752695,-93614.603550539,-93590.2861026466,31.3228793349459,24483,24485,"GA"
15,0.00217702367305841,0.00185761811085372,0.00611033072275699,6.81586024373735,0.00907835824978234,1,11501.0411744677,-22996.0823489354,-22977.9398204024,0.116638106175546,3124,3126,"HI"
16,0.00174211199324573,0.00155297635701845,0.0240845852453966,9.2109135433035,0.00241749005052169,1,12183.252344286,-24360.504688572,-24340.7896444419,3.06159492672497,5278,5280,"ID"
17,0.000211740659350512,0.000173256181143389,0.045399125186255,5.50197558120426,0.0190024814039393,1,43475.6285426696,-86945.2570853392,-86920.7617229973,53.5448120676873,25979,25981,"IL"
18,0.000139503081846441,7.96168517962492e-05,0.0194032871225742,2.32946842253218,0.126964163269122,1,42136.3033657653,-84266.6067315306,-84243.4375988383,6.28583615418498,16696,16698,"IN"
19,5.66043465730874e-05,-4.27540989409447e-05,0.0527022684675394,0.569698391316735,0.45039645416607,1,15343.1770059259,-30680.3540118517,-30658.7032557897,27.9530528787499,10064,10066,"IA"
20,0.00100499381810089,0.000865235143481136,0.055779440031707,7.19092264458945,0.00734416214744752,1,10492.9916677665,-20979.9833355331,-20959.358732626,22.2399007094327,7148,7150,"KS"
21,0.000536745631809361,0.00044918095208557,0.0194614495237444,6.12970473371215,0.0133073039599619,1,28773.6716892661,-57541.3433785322,-57519.3150650547,4.32302987248979,11414,11416,"KY"
22,0.000761519859695498,0.000676275150589434,0.0221330947512089,8.93333871019182,0.00280592622641832,1,28041.7921722902,-56077.5843445804,-56055.4761646749,5.74230165964395,11722,11724,"LA"
23,0.00172638563762912,0.00140425797891275,0.0109140971798797,5.35932134641252,0.0206768173554761,1,9610.25965009155,-19214.5193001831,-19196.4008604258,0.36914518596351,3099,3101,"ME"
24,8.82085410955972e-06,-5.89384072500199e-05,0.0290604799276189,0.130179313241612,0.718251357382637,1,31283.898640994,-62561.7972819881,-62538.9982536936,12.4633006228962,14758,14760,"MD"
25,0.00262037893738629,0.00252387389422593,0.0602253988892898,27.1527668562492,1.91620509876714e-07,1,14376.8993439947,-28747.7986879894,-28726.0682330777,37.486064768651,10335,10337,"MA"
26,0.000136459141349172,9.60964923559793e-05,0.0399818993998534,3.38082719427766,0.0659709064037725,1,44603.8596479895,-89201.7192959789,-89177.3666459936,39.5993370707465,24772,24774,"MI"
27,0.00079200638766717,0.000720726034292185,0.0415066275461904,11.1111456406401,0.000860327202869884,1,24717.7501833271,-49429.5003666542,-49406.8556461724,24.150212225959,14018,14020,"MN"
28,0.000749164558717368,0.000649409059521822,0.0458262340510237,7.51000761621364,0.006146582792088,1,16672.2155679401,-33338.4311358802,-33316.7944201724,21.0361380163561,10017,10019,"MS"
29,0.000160373122064091,8.61294429316262e-05,0.0239494475429635,2.16009125541568,0.141659638880153,1,31153.0661634482,-62300.1323268964,-62277.6078888136,7.72434849853646,13467,13469,"MO"
30,0.000863470873648016,0.000532521377415329,0.0608102508604588,2.60907142472588,0.106358455214648,1,4173.1776709747,-8340.35534194941,-8322.31531240525,11.1639196747203,3019,3021,"MT"
31,0.0187589587665738,0.0185246605236813,0.0383475807468703,80.0644449356271,5.33789207125434e-19,1,7719.50526031076,-15433.0105206215,-15413.9891525828,6.15860874298885,4188,4190,"NE"
32,0.00246285744663309,0.00235112613586319,0.0131210419639193,22.0426792603002,2.70629416523155e-06,1,26028.3740705782,-52050.7481411564,-52029.4566261348,1.53706003453063,8928,8930,"NV"
33,0.000969491176790961,0.000717465316845689,0.0559047681278736,3.84679245614455,0.0499111200120932,1,5811.85285897311,-11617.7057179462,-11598.849178019,12.3888600461457,3964,3966,"NH"
34,0.000373905180007989,0.000301782085143643,0.0477170472418524,5.18426421815642,0.0228074930612755,1,22506.3455852567,-45006.6911705135,-44984.080450826,31.5580640410891,13860,13862,"NJ"
