"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00717955064327594,0.00711493492903215,0.0449422473201957,111.111526465244,6.85572413588043e-26,1,25870.3990819091,-51734.7981638183,-51711.8782309221,31.0343129547238,15365,15367,"AL"
2,0.00178801152099927,0.00113558538473846,0.100715488557121,2.74055777600634,0.0980356904118316,1,1343.82492553447,-2681.64985106894,-2665.64686301804,15.5197227420084,1530,1532,"AK"
4,0.000290067991836237,0.000223126118794381,0.0147582134510539,4.33313229306498,0.0373943918515237,1,41777.2455881214,-83548.4911762428,-83525.6565871871,3.25269784296139,14934,14936,"AZ"
5,0.000493660116855607,0.00036594399880252,0.0572330281609587,3.86529221511858,0.0493299050317519,1,11286.5149938476,-22567.0299876952,-22546.1336007097,25.6349983046144,7826,7828,"AR"
6,7.12645572859604e-05,6.10528667689403e-05,0.0575862189776757,6.97872278503094,0.00824975597980916,1,140571.307535285,-281136.61507057,-281108.139291002,324.719622572901,97920,97922,"CA"
8,0.00109530472880326,0.0010311366363468,0.0699937855476664,17.069304803549,3.62284935860894e-05,1,19312.9478001127,-38619.8956002255,-38596.9364891154,76.2647569480616,15567,15569,"CO"
9,0.000748096883099374,0.000646453926826607,0.0534982220671903,7.36004648558528,0.0066805182584515,1,14840.6522396345,-29675.3044792691,-29653.7239812048,28.1369095433289,9831,9833,"CT"
10,0.0605812073929811,0.0600796490413491,0.000978856228397315,120.785960787693,2.84187924545492e-27,1,10332.6016248062,-20659.2032496123,-20642.5941577971,0.00179463277322866,1873,1875,"DE"
11,0.00125814883118356,0.000575481810562439,0.077353500769043,1.84299049636043,0.174810208719622,1,1671.73196778881,-3337.46393557763,-3321.59510401327,8.75395425083413,1463,1465,"DC"
12,4.7272377875541e-05,2.22291078807446e-05,0.0309918753312978,1.887628008857,0.169477413985687,1,82062.8651695865,-164119.730339173,-164093.945614442,38.3516582221331,39929,39931,"FL"
