"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00213249253055035,0.00206754833872036,0.0233505513236437,32.8357697656662,1.02162361069845e-08,1,35932.0603121241,-71858.1206242482,-71835.200691352,8.37773931696986,15365,15367,"AL"
2,0.00315126457517948,0.0024997294539868,0.0168271899477075,4.8366764471742,0.0280097020875813,1,4085.0379938646,-8164.07598772919,-8148.07299967829,0.433226111950432,1530,1532,"AK"
4,0.000294648298546078,0.000227706732207511,0.0233844832776058,4.40157460695599,0.0359225236368079,1,34902.6092151087,-69799.2184302174,-69776.3838411617,8.16641982457075,14934,14936,"AZ"
5,0.000282912123023703,0.000155169075761075,0.0135333201587006,2.21469683936818,0.136742204323255,1,22574.3058045261,-45142.6116090522,-45121.7152220667,1.43333780485702,7826,7828,"AR"
6,0.000139006776711517,0.000128795778006285,0.0386265349679423,13.6134359354411,0.000224694036880819,1,179675.852148793,-359345.704297587,-359317.228518019,146.097541219417,97920,97922,"CA"
8,0.000657531845542423,0.000593335631233094,0.0458872706238286,10.2425330312059,0.00137514333043593,1,25886.470897207,-51766.9417944141,-51743.982683304,32.7785228697749,15567,15569,"CO"
9,0.000623130881437799,0.000521475213741796,0.066792419636409,6.1298193751653,0.0133087602728197,1,12658.3046693427,-25310.6093386854,-25289.028840621,43.8583257916318,9831,9833,"CT"
10,0.00084487110676723,0.000311419356156972,0.0065636175473903,1.58378167435111,0.208373658452207,1,6764.64085762962,-13523.2817152592,-13506.672623444,0.0806908540526517,1873,1875,"DE"
11,0.0113043581020888,0.0106285579367451,0.0190741747388817,16.7273680620346,4.55038268274545e-05,1,3722.80598338048,-7439.61196676095,-7423.7431351966,0.53227471970122,1463,1465,"DC"
12,0.000177711919409336,0.000152671916201608,0.0332330501110855,7.0971204729969,0.0077238893780532,1,79274.8914552707,-158543.782910541,-158517.998185811,44.0990098584391,39929,39931,"FL"
13,7.350338438428e-07,-4.01096038626925e-05,0.0207514563271258,0.0179958468263597,0.893286172491514,1,60141.0648056192,-120276.129611238,-120251.812163346,10.542941432592,24483,24485,"GA"
15,0.00174506660957037,0.00142552277685892,0.00959723196090122,5.46111810315057,0.0195070752831453,1,10089.6714942074,-20173.3429884147,-20155.2004598818,0.287741834736638,3124,3126,"HI"
16,0.00123723747966857,0.00104800618703482,0.00410212138880735,6.53822875936243,0.0105857674574421,1,21529.2101576264,-43052.4203152527,-43032.7052711226,0.0888150166115599,5278,5280,"ID"
17,0.000117594058552372,7.91059563951535e-05,0.0267309833386551,3.05533533641453,0.0804841948105304,1,57236.9723036959,-114467.944607392,-114443.44924505,18.5631767716626,25979,25981,"IL"
18,1.49476807469274e-05,-4.49460094973375e-05,0.0325846666528649,0.249570208246497,0.617384452767898,1,33480.0712093438,-66954.1424186876,-66930.9732859954,17.7271533226645,16696,16698,"IN"
19,0.000185858599057457,8.65129967720923e-05,0.0436803401098772,1.87082865050631,0.171410743921449,1,17233.1730085321,-34460.3460170642,-34438.6952610022,19.2018313363208,10064,10066,"IA"
20,0.000308581366702327,0.00016872526448708,0.0399661928458284,2.20642046943221,0.137481343373545,1,12876.5973592485,-25747.194718497,-25726.57011559,11.4174758865769,7148,7150,"KS"
21,1.05144142378991e-05,-7.70963695000404e-05,0.029341783732065,0.120012785975526,0.729027008303228,1,24086.5246028336,-48167.0492056672,-48145.0208921897,9.82677227121986,11414,11416,"KY"
22,0.000402804177910562,0.000317528866886629,0.0363193720776398,4.72357324850677,0.0297718093482592,1,22235.1613822633,-44464.3227645267,-44442.2145846212,15.4624525502728,11722,11724,"LA"
23,0.0045373567492246,0.00421613614798211,0.00697112558410442,14.1253603650345,0.000174175829171516,1,11000.371499725,-21994.7429994499,-21976.6245596926,0.150600838327092,3099,3101,"ME"
24,0.00015594326152722,8.81939691611544e-05,0.0451213022332613,2.30176959907728,0.129248116601892,1,24789.863282939,-49573.726565878,-49550.9275375836,30.0462832048951,14758,14760,"MD"
