"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.0218458825340367,0.0217822213483897,0.337863940967082,343.158587324715,8.74401741258225e-76,1,-5128.9121775795,10263.824355159,10286.7442880552,1753.94613463824,15365,15367,"AL"
2,0.000300220712595923,-0.000353177835958007,0.366787316415574,0.459475634374135,0.497971630208748,1,-636.258362450343,1278.51672490069,1294.51971295159,205.835391289508,1530,1532,"AK"
4,0.00347467913904504,0.00340795051169407,0.35889055264473,52.0717910285181,5.60836839254521e-13,1,-5886.78202055619,11779.5640411124,11802.398630168,1923.53547136528,14934,14936,"AZ"
5,0.00337738947847674,0.00325004184104738,0.367130202072809,26.5210218788109,2.67040764335743e-07,1,-3262.49161152711,6530.98322305422,6551.87961003977,1054.82416435449,7826,7828,"AR"
6,0.0133407172945425,0.0133306411172274,0.364517517650958,1323.98595987422,5.88844668338354e-288,1,-40123.3095401209,80252.6190802418,80281.0948598089,13010.9261844389,97920,97922,"CA"
8,0.00526709696001003,0.0052031968570333,0.370876189553572,82.4270496390527,1.22558004481152e-19,1,-6647.7653659618,13301.5307319236,13324.4898430337,2141.22758657006,15567,15569,"CO"
9,0.014552720954073,0.0144524821910736,0.345760295609532,145.180572052525,3.35868044685725e-33,1,-3508.68277433031,7023.36554866063,7044.94604672497,1175.29783943853,9831,9833,"CT"
10,0.00240976303106832,0.00187714678068462,0.363363098851853,4.52438886220929,0.0335453661614237,1,-761.34795541374,1528.69591082748,1545.30500264269,247.297325030325,1873,1875,"DE"
11,0.000481329901874867,-0.00020186809545808,0.286654119622177,0.704524755274256,0.401404606184051,1,-247.257608932689,500.515217865378,516.384049429731,120.215564825582,1463,1465,"DC"
12,0.0028670575150296,0.0028420848650138,0.373935489406005,114.807900371161,9.42811624619272e-27,1,-17379.6285247077,34765.2570494153,34791.041774146,5583.18223922548,39929,39931,"FL"
