"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.288518227222016,0.00294028268014403,98.1260166481281,0,"AL"
1,"EJB1_UNION",0.145178667928295,0.00783709969838426,18.5245401380087,8.74401741266374e-76,"AL"
2,"(Intercept)",0.261693679189158,0.0100012242924658,26.1661644151206,4.91614454430932e-125,"AK"
2,"EJB1_UNION",0.0194040770067916,0.0286260711559579,0.677846320617177,0.497971630208697,"AK"
4,"(Intercept)",0.261473290553252,0.00305496858240207,85.5895186809616,0,"AZ"
4,"EJB1_UNION",0.0799700242673159,0.0110821996527355,7.21607864622583,5.60836839255001e-13,"AZ"
5,"(Intercept)",0.33363926238111,0.00426520899022906,78.2234266000628,0,"AR"
5,"EJB1_UNION",0.0949410083272245,0.0184356609725944,5.14985649108862,2.67040764336204e-07,"AR"
6,"(Intercept)",0.233812989638209,0.00130043085033887,179.796557100503,0,"CA"
6,"EJB1_UNION",0.106443068249502,0.00292533559000719,36.3866178680854,5.88844667220568e-288,"CA"
8,"(Intercept)",0.30025549071336,0.00312378407647286,96.1191565623146,0,"CO"
8,"EJB1_UNION",0.0922029614355077,0.0101557030247566,9.07893438895798,1.2255800448416e-19,"CO"
9,"(Intercept)",0.265077668809872,0.00387712345164197,68.3696746095643,0,"CT"
9,"EJB1_UNION",0.106838547792024,0.00886693907785189,12.0490900923057,3.35868044689805e-33,"CT"
10,"(Intercept)",0.314008924493312,0.00882583836114858,35.5783679288284,2.96700659644335e-212,"DE"
10,"EJB1_UNION",0.0605899110851939,0.0284852708242061,2.12706108567892,0.0335453661614176,"DE"
11,"(Intercept)",0.161625410353513,0.00841282931411066,19.2117781448891,1.57108728959797e-73,"DC"
11,"EJB1_UNION",0.015501446548766,0.0184681799787488,0.839359729361714,0.40140460618408,"DC"
12,"(Intercept)",0.295598929339932,0.0019395735213669,152.404085786658,0,"FL"
12,"EJB1_UNION",0.0790197024444091,0.00737478736069355,10.7148448598765,9.42811624590713e-27,"FL"
13,"(Intercept)",0.290205565906671,0.00233118027799646,124.488684399856,0,"GA"
13,"EJB1_UNION",0.0129717719823152,0.0103132907059277,1.25777235920049,0.208486090912528,"GA"
15,"(Intercept)",0.228237291532035,0.00771910575927779,29.5678409714377,1.2609893637944e-169,"HI"
15,"EJB1_UNION",0.195333344021243,0.0145817425085813,13.3957477239973,7.87961675344582e-40,"HI"
16,"(Intercept)",0.324320573186328,0.0051947061182904,62.4329010729606,0,"ID"
16,"EJB1_UNION",0.130200276929077,0.018077347217787,7.20239952026634,6.7475318154476e-13,"ID"
17,"(Intercept)",0.270346005314433,0.00231864827654356,116.596384216343,0,"IL"
17,"EJB1_UNION",0.140979865029428,0.0057483960409131,24.5250786525547,2.48884724890903e-131,"IL"
18,"(Intercept)",0.316629900964314,0.00280046703978373,113.063248546131,0,"IN"
18,"EJB1_UNION",0.113879135440631,0.00917398229444647,12.4132717707084,3.16707596127018e-35,"IN"
19,"(Intercept)",0.262459327083535,0.00317458837488737,82.6750734551046,0,"IA"
19,"EJB1_UNION",0.124804180322984,0.0106404961707529,11.7291692342344,1.44932377163089e-31,"IA"
20,"(Intercept)",0.322434033448291,0.00431988780160758,74.6394462671697,0,"KS"
20,"EJB1_UNION",0.0736009596331145,0.0155052579818872,4.74683876392724,2.10640276797177e-06,"KS"
21,"(Intercept)",0.306584804151801,0.00347752914964882,88.1616777195848,0,"KY"
21,"EJB1_UNION",0.069812820349421,0.0118933130488667,5.86992203623813,4.48129896974137e-09,"KY"
22,"(Intercept)",0.327976742255694,0.0035694540506746,91.8842875127384,0,"LA"
22,"EJB1_UNION",0.0908420719501446,0.0119616048440914,7.59447190692117,3.32504481589354e-14,"LA"
23,"(Intercept)",0.29233002767271,0.00618963935956717,47.2289273559796,0,"ME"
23,"EJB1_UNION",0.249317803121436,0.0169605996470512,14.6998224302042,2.44698979014848e-47,"ME"
24,"(Intercept)",0.306113980397421,0.00311326855841454,98.3255940352644,0,"MD"
24,"EJB1_UNION",0.0387286623577423,0.0085455997197852,4.53200051812347,5.88865670217878e-06,"MD"
25,"(Intercept)",0.31224536291771,0.00377219003437106,82.7756184265968,0,"MA"
25,"EJB1_UNION",0.0677298555566563,0.00963940803051392,7.02635009766729,2.2537119798828e-12,"MA"
26,"(Intercept)",0.323176263979357,0.00241711915003107,133.703075404952,0,"MI"
26,"EJB1_UNION",0.0429478851111613,0.00620773735550642,6.91844429807672,4.67744469331171e-12,"MI"
27,"(Intercept)",0.322905826320174,0.00299872659928389,107.680982453447,0,"MN"
27,"EJB1_UNION",0.101043411369356,0.00729351206591522,13.853875945659,2.32687482717659e-43,"MN"
28,"(Intercept)",0.334733778905339,0.00382210478427495,87.5783888193003,0,"MS"
28,"EJB1_UNION",-0.0898887475119846,0.017024293127877,-5.280028183067,1.31869791205578e-07,"MS"
29,"(Intercept)",0.345025240988293,0.00329440145142639,104.730782230231,0,"MO"
29,"EJB1_UNION",0.0334654699276004,0.00930038323808077,3.59828934689215,0.000321465721316765,"MO"
30,"(Intercept)",0.274791756651935,0.00669075123013025,41.0703891387374,2.51697360349664e-293,"MT"
30,"EJB1_UNION",0.000519451762856765,0.0210227503022583,0.0247090297600579,0.980288685577238,"MT"
31,"(Intercept)",0.291032564223063,0.00567406948456756,51.2916813963275,0,"NE"
31,"EJB1_UNION",0.0618043747069804,0.0190172294055899,3.24991476880506,0.0011635221303807,"NE"
32,"(Intercept)",0.256527719534568,0.00438797540835352,58.4615216954518,0,"NV"
32,"EJB1_UNION",0.087257345753966,0.00992640975923667,8.7904235136749,1.76699105282122e-18,"NV"
33,"(Intercept)",0.285508575318477,0.00562539490926018,50.7535168506109,0,"NH"
33,"EJB1_UNION",0.169265251615707,0.0186714531982526,9.06545676003132,1.90816952338684e-19,"NH"
34,"(Intercept)",0.296121292544856,0.00342702202367765,86.4077588351995,0,"NJ"
34,"EJB1_UNION",0.0787715388882399,0.0082395833871817,9.56013613634696,1.37083198650143e-21,"NJ"
35,"(Intercept)",0.292518737892177,0.00514437319347906,56.8618813003244,0,"NM"
35,"EJB1_UNION",0.215340257726366,0.0167760442398652,12.8361760762797,3.50223133476384e-37,"NM"
36,"(Intercept)",0.210938657410712,0.00204743876143379,103.025624689744,0,"NY"
36,"EJB1_UNION",0.0683489479283308,0.00416293299906645,16.4184597598997,2.34255427483848e-60,"NY"
37,"(Intercept)",0.30060718016459,0.00237863986673395,126.377760824023,0,"NC"
37,"EJB1_UNION",0.0914666946536779,0.0125874219149873,7.26651535726887,3.80963553387967e-13,"NC"
38,"(Intercept)",0.317108208928282,0.00806509085438261,39.3186158288551,3.0762514599653e-249,"ND"
38,"EJB1_UNION",0.133112353747421,0.0304921424680247,4.36546411545229,1.33522811570761e-05,"ND"
39,"(Intercept)",0.288294432028673,0.00227209009148012,126.885123573981,0,"OH"
39,"EJB1_UNION",0.1412905075846,0.00635880154313345,22.219675614373,2.24700083349103e-108,"OH"
40,"(Intercept)",0.296678045492859,0.00336990462140482,88.0375199963913,0,"OK"
40,"EJB1_UNION",0.0770193746625368,0.0132565100697375,5.8099284244018,6.41372894004933e-09,"OK"
41,"(Intercept)",0.277987831812727,0.00377490808737748,73.6409537340159,0,"OR"
41,"EJB1_UNION",0.111279235629002,0.00877018889057383,12.6883510740121,1.23551025851693e-36,"OR"
42,"(Intercept)",0.282905460606597,0.00203123137917012,139.277811236936,0,"PA"
42,"EJB1_UNION",0.154021831721299,0.00538526740746224,28.6005912181584,1.0667260490932e-177,"PA"
44,"(Intercept)",0.255778720781553,0.00846530659456382,30.2149388122347,6.4734164860783e-165,"RI"
44,"EJB1_UNION",0.172456266579467,0.0202256261561349,8.52662188295997,2.9666682090117e-17,"RI"
45,"(Intercept)",0.317569096896416,0.00328297435622018,96.7321283806938,0,"SC"
45,"EJB1_UNION",0.0335173905097382,0.0157904166718986,2.12264129605822,0.0338036483463527,"SC"
46,"(Intercept)",0.321234048957475,0.00715028344967122,44.9260579973576,7.38957044239476e-310,"SD"
46,"EJB1_UNION",0.020761992803547,0.0365113344152349,0.568645138176153,0.569657501305118,"SD"
47,"(Intercept)",0.325910377083157,0.00262617401010256,124.100831030016,0,"TN"
47,"EJB1_UNION",0.0263823099201125,0.00935722960309273,2.81945736496545,0.00481515126538107,"TN"
48,"(Intercept)",0.293496197167042,0.00151381506836225,193.878501608897,0,"TX"
48,"EJB1_UNION",0.071561743114639,0.00603097923831923,11.8656921681897,1.93565298708363e-32,"TX"
49,"(Intercept)",0.338988507145015,0.00431348115465267,78.5881507281816,0,"UT"
49,"EJB1_UNION",0.125744825822876,0.0196625425971711,6.39514575500359,1.69521858949236e-10,"UT"
50,"(Intercept)",0.329445583170402,0.0090216480638753,36.5172284307538,2.10268689767452e-208,"VT"
50,"EJB1_UNION",-0.220282304364266,0.0462850363825183,-4.75925529243973,2.1340847793591e-06,"VT"
51,"(Intercept)",0.308034471214847,0.00261704730832457,117.703058036062,0,"VA"
51,"EJB1_UNION",0.136862336267055,0.00976538458406578,14.0150482644968,2.06058085267767e-44,"VA"
53,"(Intercept)",0.334451321919392,0.00291983266212597,114.544688213698,0,"WA"
53,"EJB1_UNION",0.0814301141614942,0.0063760817651344,12.7711841160459,3.28296812049978e-37,"WA"
54,"(Intercept)",0.316653749704943,0.00560195126444661,56.5256166569352,0,"WV"
54,"EJB1_UNION",0.137640908054696,0.014009841036061,9.82458742396944,1.41904907167773e-22,"WV"
55,"(Intercept)",0.272774150477791,0.00249803710647856,109.195395765084,0,"WI"
55,"EJB1_UNION",0.116144097810361,0.00772145086192226,15.0417453775581,7.6771449922262e-51,"WI"
56,"(Intercept)",0.312285705046278,0.00935746675291026,33.3728896177113,2.55186360955977e-184,"WY"
56,"EJB1_UNION",0.174025848459033,0.0333106511436862,5.2243304313797,1.98624734113618e-07,"WY"
