"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,1.42800136821962e-05,-5.08020377323337e-05,0.134577829677494,0.219415543483908,0.63949225098089,1,9016.42026491648,-18026.840529833,-18003.9205969368,278.278468778427,15365,15367,"AL"
2,0.00170262722493659,0.00105014528194636,0.0765985054935749,2.60946259621175,0.106433929803324,1,1763.16707668563,-3520.33415337125,-3504.33116532035,8.97701649708931,1530,1532,"AK"
4,0.000846584216114988,0.000779679608120865,0.106895688593898,12.6536010223638,0.000376003887973162,1,12203.1633148453,-24400.3266296906,-24377.492040635,170.646162175618,14934,14936,"AZ"
5,0.0037919633644682,0.00366466870095727,0.119982525712191,29.7888635696534,4.96497239863496e-08,1,5492.11224026193,-10978.2244805239,-10957.3280935383,112.661581483341,7826,7828,"AR"
6,0.000131563409734569,0.000121352335014535,0.0924905661075237,12.884384194726,0.000331496890833891,1,94173.5758825672,-188341.151765134,-188312.675985567,837.65711186573,97920,97922,"CA"
8,0.000897081733358346,0.00083290090736321,0.0783329731904526,13.9774102225797,0.000185682812880516,1,17560.4674115199,-35114.9348230399,-35091.9757119298,95.5199633414239,15567,15569,"CO"
9,0.000161191971888599,5.94893162045862e-05,0.0886319583010171,1.58493375423398,0.208081347406213,1,9876.52045228103,-19747.040904562,-19725.4604064977,77.2286398612782,9831,9833,"CT"
10,0.0473741084953064,0.046865498836201,0.0906821177843672,93.1443350458964,1.52796539102131e-21,1,1841.23159483074,-3676.46318966148,-3659.85409784626,15.4021406680117,1873,1875,"DE"
11,0.0387247601021048,0.0380677025218602,0.145950018847542,58.9366309231027,2.96013906570305e-14,1,741.635124049386,-1477.27024809877,-1461.40141653442,31.1639599063375,1463,1465,"DC"
12,1.03885970048053e-07,-2.49405653338641e-05,0.10079890401113,0.00414806332897428,0.948647704698935,1,34968.1479900804,-69930.2959801608,-69904.5112554301,405.69537224126,39929,39931,"FL"
13,0.000172336270672985,0.000131498641962047,0.127375728234014,4.2200361801841,0.0399599011579889,1,15712.4255644466,-31418.8511288932,-31394.5336810007,397.226297712627,24483,24485,"GA"
15,0.00285713047456915,0.00253794261620621,0.102002156191376,8.95125049312343,0.00279448147914071,1,2701.31037278238,-5396.62074556475,-5378.47821703181,32.503470146663,3124,3126,"HI"
16,0.000579630009129702,0.000390274122431866,0.0707655854606727,3.06106147127511,0.0802473837831831,1,6492.46421543782,-12978.9284308756,-12959.2133867455,26.4309999557534,5278,5280,"ID"
17,1.69636113421823e-05,-2.15283643454356e-05,0.116975273184825,0.440705135009182,0.506788204182304,1,18885.3983232052,-37764.7966464103,-37740.3012840684,355.476230448008,25979,25981,"IL"
18,0.000202104735945887,0.00014222225539573,0.115165708511203,3.37502277944017,0.0662094275573698,1,12398.3418441956,-24790.6836883912,-24767.5145556989,221.441392400352,16696,16698,"IN"
19,0.000374078276596442,0.00027475137658417,0.107926320095124,3.76613260406055,0.052328315544541,1,8127.96611369878,-16249.9322273976,-16228.2814713356,117.226383489186,10064,10066,"IA"
20,0.0146624779750126,0.0145246299724908,0.0886865759720548,106.366996305995,9.13281295117429e-25,1,7177.51384017951,-14349.027680359,-14328.403077452,56.2212269996612,7148,7150,"KS"
21,0.000179043073513428,9.14470548586399e-05,0.0996490458553511,2.04396359860711,0.152838391968303,1,10128.8446089987,-20251.6892179974,-20229.6609045199,113.340247727412,11414,11416,"KY"
22,0.00162911541732122,0.00154394472250952,0.127820325180445,19.1276520747314,1.23315984623081e-05,1,7483.15345041758,-14960.3069008352,-14938.1987209297,191.51445247369,11722,11724,"LA"
23,2.166357522402e-08,-0.000322663066446127,0.093382661884405,6.71354210736311e-05,0.993463037041683,1,2953.49669084806,-5900.99338169611,-5882.87494193881,27.0242764543724,3099,3101,"ME"
24,5.16809037341153e-05,-1.60754534346275e-05,0.0853048420360022,0.76274619672084,0.382484681607875,1,15389.5624626271,-30773.1249252542,-30750.3258969598,107.392727431711,14758,14760,"MD"
25,0.00273017811251,0.0026336836933627,0.105489452403632,28.2936374625143,1.06415852221293e-07,1,8582.8371937146,-17159.6743874292,-17137.9439325175,115.008133914601,10335,10337,"MA"
26,0.000223209225493857,0.000182850078441765,0.10704813148122,5.53057340894097,0.0186947666199227,1,20205.143048689,-40404.2860973779,-40379.9334473926,283.869840381091,24772,24774,"MI"
27,0.00321072168387305,0.00313961387403461,0.102084121002441,45.1528698628902,1.89273105707276e-11,1,12100.5342559047,-24195.0685118095,-24172.4237913277,146.083929671468,14018,14020,"MN"
28,0.00148034196010593,0.00138065945456134,0.12376595441544,14.8505693352997,0.000117099433375408,1,6717.98244465208,-13429.9648893042,-13408.3281735964,153.440520918678,10017,10019,"MS"
29,0.00436046235750048,0.00428653055846284,0.108786179601553,58.9795245651888,1.70285996504616e-14,1,10768.5556779112,-21531.1113558223,-21508.5869177396,159.374307491282,13467,13469,"MO"
30,0.0195982121376011,0.0192734682529165,0.113950083848035,60.3497496392997,1.0800136250177e-14,1,2275.98327526442,-4545.96655052884,-4527.92652098468,39.200572637493,3019,3021,"MT"
31,5.0210891113484e-05,-0.000188554579065414,0.104827667006731,0.210293771020909,0.646561042336136,1,3505.93109305322,-7005.86218610645,-6986.8408180677,46.0212609570699,4188,4190,"NE"
32,1.19763006854243e-05,-0.000100029526341805,0.111846152250122,0.106925693093719,0.743679375507201,1,6892.21377457855,-13778.4275491571,-13757.1360341355,111.685367510749,8928,8930,"NV"
33,0.000890015088563163,0.000637969179150488,0.0892940341619384,3.53116259905771,0.0602988535162522,1,3954.63452925159,-7903.26905850318,-7884.41251857594,31.6066548643248,3964,3966,"NH"
34,0.00431003640099007,0.00423819729827724,0.102503245124997,59.9956881174109,1.01641098294795e-14,1,11907.3808276277,-23808.7616552553,-23786.1509355679,145.625845519611,13860,13862,"NJ"
35,0.000858018528743997,0.000676224136191061,0.0677988022797299,4.71971944070761,0.0298612039220232,1,6995.95282812372,-13985.9056562474,-13966.0692372413,25.2633400377502,5496,5498,"NM"
36,0.00665614685550204,0.00662849482607397,0.130128571178429,240.710971063328,4.12548521418894e-54,1,22285.0538948658,-44564.1077897316,-44538.6402235987,608.300146061974,35923,35925,"NY"
37,4.2507147082046e-07,-4.42157738007598e-05,0.100674788252115,0.00952203006539245,0.922265972776672,1,19646.6688767209,-39287.3377534418,-39263.2869029694,227.043386380213,22401,22403,"NC"
38,0.00324872666101959,0.00273546647907363,0.124263994199824,6.32959028441034,0.0119540521462092,1,1296.49855665756,-2586.99711331512,-2570.27960436005,29.9874711742272,1942,1944,"ND"
39,0.000116892550661674,7.856523130223e-05,0.109396342523282,3.04984936633331,0.0807564008941891,1,20712.267075138,-41418.5341502761,-41394.0262281417,312.20969895291,26088,26090,"OH"
40,0.00149933590631769,0.00141351719861738,0.0705675503885439,17.4709681198265,2.9386251541787e-05,1,14340.6506649648,-28675.3013299296,-28653.2154950612,57.9397306178147,11635,11637,"OK"
41,0.000828525454337832,0.000738078140628651,0.102138763779784,9.16031024427705,0.00247890315963965,1,9530.5905335555,-19055.181067111,-19033.2507814957,115.245917103212,11047,11049,"OR"
42,3.03660977688757e-05,-4.61957658570711e-07,0.114950776092623,0.985015024391555,0.320971209162003,1,24145.7611017871,-48285.5222035743,-48260.3608535294,428.612168141398,32437,32439,"PA"
44,0.00925187406441737,0.0087453566176201,0.103805144532256,18.2656572303998,2.01373796873694e-05,1,1658.05828868452,-3310.11657736905,-3293.37754089978,21.0768937093451,1956,1958,"RI"
45,0.000508578356041998,0.000428110485367728,0.0885512620746569,6.32026611094611,0.0119491108581698,1,12489.0360877232,-24972.0721754464,-24949.7902608298,97.397110432496,12421,12423,"SC"
46,0.00189692995006106,0.00142389531970555,0.121662458027625,4.01012912867664,0.0453554294341397,1,1453.14044239197,-2900.28088478395,-2883.31471284947,31.231700292913,2110,2112,"SD"
47,0.000943768327149821,0.000894548885250424,0.101139569443513,19.1747059846778,1.1988014275353e-05,1,17709.0007848023,-35412.0015696047,-35388.2464411096,207.632555471536,20298,20300,"TN"
48,0.00067935528080695,0.000663131752961177,0.0994598710672675,41.8746950270645,9.80416123037183e-11,1,54766.3602650086,-109526.720530017,-109499.63532727,609.333905889538,61597,61599,"TX"
49,4.0914128578054e-07,-0.000126269296877313,0.121338444077273,0.00322976263138082,0.954681257250529,1,5451.08025930455,-10896.1605186091,-10875.2381838658,116.223504179572,7894,7896,"UT"
50,0.00164078086469365,0.0009625476995202,0.0698491722656815,2.41919880794101,0.120071178766658,1,1832.41400324306,-3658.82800648611,-3642.94080126787,7.18175090704765,1472,1474,"VT"
51,0.000253528857233976,0.00020281634474828,0.0912824903025713,4.99933536729319,0.0253681996388532,1,19221.2956188502,-38436.5912377005,-38412.923680397,164.266767708531,19714,19716,"VA"
53,0.000369421578338794,0.000321104570343178,0.08058649790886,7.64578755315684,0.00569554532454471,1,22750.4572194717,-45494.9144389435,-45471.1020766372,134.358165435847,20689,20691,"WA"
54,0.00166733222887141,0.00146519967819903,0.123224329735807,8.24870721377996,0.00409547312831594,1,3335.237561488,-6664.47512297601,-6644.95915391947,74.994938832425,4939,4941,"WV"
55,0.000468035415066949,0.000415406309939192,0.123509826428829,8.89309088443481,0.00286614993543766,1,12774.3895828291,-25542.7791656582,-25519.2235304018,289.716829847314,18992,18994,"WI"
56,0.00715147703279519,0.00650844042465581,0.0863513372812064,11.1214150831753,0.000873595347556579,1,1593.98738212433,-3181.97476424865,-3165.94448556121,11.5129185271901,1544,1546,"WY"
