"TEHC_ST","term","estimate","std.error","statistic","p.value","state"
1,"(Intercept)",0.0354600932020451,0.00117117221979798,30.2774370862057,1.20582071233572e-195,"AL"
1,"EJB1_UNION",0.00146224701423593,0.00312167041370496,0.468418128901846,0.639492250980891,"AL"
2,"(Intercept)",0.0150733701350122,0.00208861866161407,7.21690867367986,8.34104722232753e-13,"AK"
2,"EJB1_UNION",-0.00965702312756123,0.00597816274054237,-1.61538311128096,0.106433929803325,"AK"
4,"(Intercept)",0.0198124050332446,0.000909923562607296,21.7737025915387,1.66708915022879e-103,"AZ"
4,"EJB1_UNION",0.0117417059852761,0.00330083741208677,3.55719004585964,0.000376003887973338,"AZ"
5,"(Intercept)",0.0216000137099233,0.00139392113328921,15.4958650056149,2.28358422446053e-53,"AR"
5,"EJB1_UNION",0.032883918805781,0.00602499373295057,5.45791751216928,4.96497239865885e-08,"AR"
6,"(Intercept)",0.0147884218847598,0.000329963800660746,44.8183159945008,0,"CA"
6,"EJB1_UNION",0.00266432108441879,0.000742257728840705,3.5894824410654,0.000331496890835509,"CA"
8,"(Intercept)",0.0157473257569546,0.00065977623047102,23.8676766904932,1.09500825208237e-123,"CO"
8,"EJB1_UNION",-0.00801934701809274,0.00214499187377341,-3.73863748210165,0.000185682812880943,"CO"
9,"(Intercept)",0.0159679151895369,0.000993859180644318,16.0665771374018,2.34398551136549e-57,"CT"
9,"EJB1_UNION",0.00286150498012266,0.00227294511424568,1.25894152137163,0.208081347406281,"CT"
10,"(Intercept)",0.0234464830499295,0.00220260592322219,10.6448833187689,9.85392428177631e-26,"DE"
10,"EJB1_UNION",0.0686087346303272,0.00710888004908119,9.65113128321735,1.52796539102126e-21,"DE"
11,"(Intercept)",0.026175661799438,0.00428339421241867,6.11096259213032,1.26751852710588e-09,"DC"
11,"EJB1_UNION",0.0721876192659966,0.00940307859357079,7.67701966410807,2.96013906570415e-14,"DC"
12,"(Intercept)",0.0176657119875761,0.00052283586538778,33.7882558505692,8.94312129256993e-247,"FL"
12,"EJB1_UNION",0.000128035769739682,0.00198796451348837,0.0644054603947693,0.948647704700864,"FL"
13,"(Intercept)",0.026868305763974,0.000835650519424745,32.1525627513161,3.38285796291995e-222,"GA"
13,"EJB1_UNION",-0.00759458721748918,0.00369697136542091,-2.05427266451779,0.0399599011579673,"GA"
15,"(Intercept)",0.0209940092535947,0.00215039426541995,9.76286515975004,3.3635578524767e-22,"HI"
15,"EJB1_UNION",-0.0121535284596713,0.00406219275239174,-2.99186404990643,0.00279448147914214,"HI"
16,"(Intercept)",0.0131056896510885,0.00101676370925635,12.8896119440316,1.88243570381041e-37,"ID"
16,"EJB1_UNION",0.00619055774430279,0.0035382926756829,1.74958894351722,0.0802473837830543,"ID"
17,"(Intercept)",0.0287515755643625,0.000793093710922462,36.2524316715625,8.98754393890969e-281,"IL"
17,"EJB1_UNION",0.00130530009309603,0.0019662390342083,0.663856260803817,0.506788204182668,"IL"
18,"(Intercept)",0.0260887835506526,0.000935904559026375,27.8754743729349,3.4851524548959e-167,"IN"
18,"EJB1_UNION",0.00563245005127059,0.00306590712614235,1.83712350685507,0.0662094275573978,"IN"
19,"(Intercept)",0.0275801903176777,0.00112704874975603,24.4711600306979,1.62549684034768e-128,"IA"
19,"EJB1_UNION",0.00733102943776511,0.00377761035128099,1.94065262323287,0.0523283155445386,"IA"
20,"(Intercept)",0.0141567407753451,0.00109207002788949,12.9632170225421,5.29093794639906e-38,"KS"
20,"EJB1_UNION",0.0404259714537771,0.00391973780208181,10.3134376570562,9.13281295122415e-25,"KS"
21,"(Intercept)",0.0188164890236717,0.000975265576360161,19.2937077651173,1.20228881230155e-81,"KY"
21,"EJB1_UNION",-0.00476860714420997,0.00333545408429032,-1.42967254943478,0.152838391968281,"KY"
22,"(Intercept)",0.0250059004269916,0.00123684219187665,20.2175350996479,2.27189961606145e-89,"LA"
22,"EJB1_UNION",0.0181272856758142,0.00414478442464677,4.37351712866443,1.2331598462374e-05,"LA"
23,"(Intercept)",0.0200465530632948,0.00180115719464263,11.1298187203879,3.05862635443039e-28,"ME"
23,"EJB1_UNION",-4.0439272407509e-05,0.00493545815920941,-0.00819362075475215,0.993463037041728,"ME"
24,"(Intercept)",0.0166849152170675,0.000753965952176513,22.1295340577413,8.88992526335523e-107,"MD"
