"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,1.95897461241152e-05,-4.54919597172587e-05,0.0716614524394206,0.301002345756566,0.58326269293358,1,18700.545551425,-37395.09110285,-37372.1711699538,78.9048642604006,15365,15367,"AL"
2,0.00267089235363864,0.00201904326367364,0.0615625441606585,4.09740903954056,0.0431224445925166,1,2097.94573708702,-4189.89147417405,-4173.88848612315,5.79861867060554,1530,1532,"AK"
4,3.06481955185321e-05,-3.63110486092388e-05,0.104460920993745,0.457714179987439,0.498704674149208,1,12547.2954212095,-25088.590842419,-25065.7562533633,162.96106267794,14934,14936,"AZ"
5,5.44768177500714e-06,-0.000122330819671168,0.0735480840666712,0.0426337898265257,0.836421736544319,1,9323.18801158169,-18640.3760231634,-18619.4796361778,42.3333435624662,7826,7828,"AR"
6,0.000864931159905407,0.000854727574643666,0.106409344176456,84.7673771237552,3.41973780627772e-20,1,80446.2096376248,-160886.41927525,-160857.943495682,1108.74311986798,97920,97922,"CA"
8,0.000364085178522923,0.000299870113653622,0.0968001449689745,5.66977825629497,0.0172715897535396,1,14264.8236089352,-28523.6472178704,-28500.6881067603,145.866962983647,15567,15569,"CO"
9,0.00294802129878997,0.00284660211674326,0.0739316498963174,29.0676895563228,7.15120248808961e-08,1,11659.7495494,-23313.4990988001,-23291.9186007357,53.7351533471863,9831,9833,"CT"
10,0.0221236098841508,0.0216015189123859,0.0828549120994722,42.3750094918494,9.6475899199579e-11,1,2010.48624857317,-4014.97249714634,-3998.36340533113,12.8580259877281,1873,1875,"DE"
11,0.000170777376770625,-0.000512632891597864,0.0292316500213791,0.249889977770309,0.617227733072414,1,3097.37299605586,-6188.74599211173,-6172.87716054738,1.25011793802861,1463,1465,"DC"
12,1.74757376478948e-06,-2.32968363738095e-05,0.0752610330858836,0.0697789947982196,0.791660198697071,1,46634.5874354907,-93263.1748709815,-93237.3901462508,226.166764205996,39929,39931,"FL"
13,1.15652754488686e-05,-2.92789198998999e-05,0.0762134656319176,0.283155913590787,0.594644969153898,1,28287.9961790787,-56569.9923581575,-56545.6749102651,142.209318049032,24483,24485,"GA"
15,0.00194174720925525,0.00162226633448215,0.0569744838278915,6.07781987148723,0.0137423520655769,1,4521.86287798727,-9037.72575597455,-9019.5832274416,10.1407908064884,3124,3126,"HI"
16,0.0299706346738483,0.02978684737462,0.0743779031409188,163.072392922234,8.41428131022994e-37,1,6229.59363134861,-12453.1872626972,-12433.4722185671,29.1982785264274,5278,5280,"ID"
17,0.00141131960857285,0.00137288130531288,0.0847120314006795,36.7164908145588,1.38497738138998e-09,1,27269.5951967749,-54533.1903935499,-54508.695031208,186.428636171228,25979,25981,"IL"
18,0.000151980837859003,9.2095355158861e-05,0.0687349386704077,2.53785777464487,0.111164421675391,1,21016.4200305144,-42026.8400610287,-42003.6709283364,78.8801149930365,16696,16698,"IN"
19,1.5804865160034e-05,-8.35576343565236e-05,0.104868942231281,0.159062676934743,0.690029418899276,1,8417.23649667009,-16828.4729933402,-16806.8222372782,110.678790129939,10064,10066,"IA"
20,0.000122396530932034,-1.74856184063099e-05,0.0694554608434658,0.874997499760726,0.34960709421164,1,8925.13714604745,-17844.2742920949,-17823.6496891878,34.4823883209122,7148,7150,"KS"
21,0.00148590289296958,0.00139842137053159,0.0689329102069913,16.9853341775473,3.79358586003113e-05,1,14335.8775583901,-28665.7551167803,-28643.7268033028,54.2364300950329,11414,11416,"KY"
22,6.33462208349795e-05,-2.19580492366589e-05,0.0810642939379606,0.742591440989041,0.38884963710765,1,12822.0634625719,-25638.1269251439,-25616.0187452384,77.0301823289594,11722,11724,"LA"
23,0.00551128429983948,0.00519037797015243,0.0862012698029035,17.1741215114521,3.50179877196081e-05,1,3201.64115015757,-6397.28230031515,-6379.16386055784,23.0276119795466,3099,3101,"ME"
24,0.00276884546502698,0.00270127322254599,0.0995635313202465,40.9760778000595,1.58759436300801e-10,1,13108.187070441,-26210.374140882,-26187.5751125876,146.294530516278,14758,14760,"MD"
25,0.000465746972073136,0.000369033449767575,0.0852588468023387,4.8157378717079,0.0282231685141704,1,10783.7817765424,-21561.5635530847,-21539.833098173,75.1258483515983,10335,10337,"MA"
26,0.000898102729086118,0.000857770826241278,0.0611180264374891,22.2677995764917,2.38444558854503e-06,1,34090.269089987,-68174.5381799739,-68150.1855299886,92.5336546908606,24772,24774,"MI"
27,6.36619942740068e-06,-6.49701990458329e-05,0.0845192255472732,0.0892419517053646,0.76514750604502,1,14747.7648499881,-29489.5296999762,-29466.8849794945,100.13757581032,14018,14020,"MN"
28,0.000267870937361923,0.000168067390485249,0.070408306763733,2.68398214036619,0.101393382297379,1,12369.5106619549,-24733.0213239098,-24711.3846082021,49.6575712176021,10017,10019,"MS"
29,0.00141481352908623,0.00134066299916347,0.091505444621658,19.0802888470039,1.26269504723006e-05,1,13098.5017691046,-26191.0035382093,-26168.4791001265,112.76250920695,13467,13469,"MO"
30,0.00245819915453768,0.00212777788893792,0.127585354213573,7.43959124445647,0.00641735268617421,1,1934.53446656423,-3863.06893312847,-3845.02890358431,49.1433502589951,3019,3021,"MT"
31,0.00122999690542855,0.000991513141556766,0.107472323677084,5.15757083610271,0.0231957940314022,1,3401.53462408258,-6797.06924816515,-6778.0478801264,48.3726578932397,4188,4190,"NE"
32,0.00233140686994155,0.00221966083576475,0.0866881912329428,20.8634417061626,4.99830769060898e-06,1,9167.6368418032,-18329.2736836064,-18307.9821685848,67.0925138332082,8928,8930,"NV"
33,0.000240253272915819,-1.1956552192105e-05,0.0702650732723439,0.952592837385244,0.329119746745787,1,4905.12540551865,-9804.2508110373,-9785.39427111006,19.5709835890806,3964,3966,"NH"
