"TEHC_ST","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","state"
1,0.00117632178824361,0.00111131536597153,0.26788064887453,18.0954703724306,2.11344101551423e-05,1,-1562.20486767052,3130.40973534104,3153.3296682372,1102.59304596671,15365,15367,"AL"
2,0.0119201454481572,0.0112743416216528,0.316891304226608,18.457842705388,1.84650217008663e-05,1,-412.244213900826,830.488427801652,846.491415852554,153.642751002494,1530,1532,"AK"
4,0.0018770251000679,0.00181018949173128,0.283976265341952,28.0842076070079,1.17800684220257e-07,1,-2389.8639446841,4785.7278893682,4808.56247842386,1204.31538289112,14934,14936,"AZ"
5,0.00192175551493923,0.00179422187777012,0.277626356882091,15.0686168574627,0.000104524732150476,1,-1075.03224243332,2156.06448486665,2176.96087185219,603.199859722777,7826,7828,"AR"
6,0.00155672567857984,0.00154652915821318,0.282342187955593,152.672247254245,4.79798057661331e-35,1,-15108.660511358,30223.321022716,30251.7968022832,7805.8995188681,97920,97922,"CA"
8,0.000332558625498381,0.000268341535412109,0.275279204159723,5.17866233196033,0.0228794475462577,1,-2006.92023800875,4019.84047601749,4042.79958712756,1179.64609265983,15567,15569,"CO"
9,0.000865110064263285,0.000763479010460366,0.292233789000023,8.51226108450619,0.00353560243368485,1,-1854.85458930066,3715.70917860133,3737.28967666567,839.573175056871,9831,9833,"CT"
10,0.0566333834362664,0.0561297173302527,0.241806813017335,112.442315970973,1.4913938248255e-25,1,2.27109323170605,1.45781353658791,18.0669053518014,109.515311720857,1873,1875,"DE"
11,0.0643544769282501,0.0637149379514411,0.318283041029536,100.626356268911,6.00750621493506e-23,1,-400.591426919217,807.182853838433,823.051685402787,148.207889824855,1463,1465,"DC"
12,0.00567385404388228,0.00564895168855273,0.263403551021056,227.844072128195,2.43995646364649e-51,1,-3387.96490545242,6781.92981090483,6807.71453563554,2770.33114604105,39929,39931,"FL"
13,0.00312913656011572,0.0030884197009301,0.267662522795566,76.8511280758616,1.960829150494e-18,1,-2469.78615523258,4945.57231046517,4969.88975835758,1754.04110483368,24483,24485,"GA"
15,0.00281680483586089,0.00249760406916288,0.312793568854458,8.82455535743456,0.00299468268176604,1,-801.527352775262,1609.05470555052,1627.19723408347,305.651587422997,3124,3126,"HI"
16,0.00476019356471487,0.00457162975144554,0.243660818318948,25.2444701991517,5.21693746220615e-07,1,-35.7508471088757,77.5016942177515,97.2167383478524,313.357997158009,5278,5280,"ID"
17,0.00226241622145849,0.00222401067914435,0.27551054342463,58.9085867595382,1.70962190268134e-14,1,-3371.57154551986,6749.14309103971,6773.6384533816,1971.96352074121,25979,25981,"IL"
18,0.00141574001437332,0.00135593022400515,0.282201035562698,23.6707068468286,1.15351842661749e-06,1,-2567.20182029114,5140.40364058228,5163.57277327454,1329.62643899552,16696,16698,"IN"
19,0.00297326169047289,0.0028741930559032,0.274832475483098,30.0121395978345,4.39691022945207e-08,1,-1280.85453175266,2567.70906350533,2589.35981956733,760.163000734807,10064,10066,"IA"
20,0.00705930783769428,0.00692039615720141,0.269994712895783,50.8186771094588,1.11224075437731e-12,1,-782.537122920019,1571.07424584004,1591.6988487471,521.068792400502,7148,7150,"KS"
21,0.00190908278834116,0.00182163834141524,0.299514137209189,21.8319499460039,3.01004843837887e-06,1,-2434.54498673767,4875.08997347535,4897.11828695282,1023.93531168251,11414,11416,"KY"
22,0.00329847735194761,0.00321344906985854,0.258390299262192,38.7927083895736,4.87417888482635e-10,1,-768.733083602257,1543.46616720451,1565.57434711001,782.625739036383,11722,11724,"LA"
23,0.000190998207994061,-0.000131624896811289,0.278290773680533,0.592016520668147,0.441699039811718,1,-432.673813476476,871.347626952952,889.466066710253,240.004393863984,3099,3101,"ME"
24,0.000427722510264141,0.000359991633621659,0.277048449634911,6.31502988691382,0.0119824418693849,1,-1997.14457855944,4000.28915711888,4023.08818541335,1132.7627375629,14758,14760,"MD"
25,0.00252934575179312,0.00243283190039023,0.263611729089429,26.2070750988501,3.12215327088247e-07,1,-884.473025631876,1774.94605126375,1796.67650617546,718.190970279215,10335,10337,"MA"
26,0.00584316089203672,0.00580302861207915,0.287854055883797,145.597531419099,1.9730829971971e-33,1,-4300.67941812734,8607.35883625467,8631.71148624002,2052.60686691137,24772,24774,"MI"
27,0.00186002350195934,0.00178881933756381,0.286943551516937,26.1223977241605,3.24661570911129e-07,1,-2388.97202836827,4783.94405673654,4806.58877721831,1154.19448343177,14018,14020,"MN"
28,0.0046206951777185,0.0045213261745416,0.271946033686396,46.5003676196284,9.68863308886135e-12,1,-1169.08780387472,2344.17560774944,2365.81232345721,740.803681346668,10017,10019,"MS"
29,0.0068020006746784,0.00672825017350343,0.262597443762888,92.2298908657887,9.0613601889197e-22,1,-1100.83795884663,2207.67591769326,2230.20035577606,928.649541079308,13467,13469,"MO"
30,0.0101949982382685,0.00986713967524688,0.276360477773306,31.0957204970172,2.67291051578545e-08,1,-400.458385065367,806.916770130733,824.956799674893,230.576468185097,3019,3021,"MT"
31,0.0041704114214899,0.00393262976232589,0.29949481027668,17.5388271583002,2.87290240524257e-05,1,-892.644401238872,1791.28880247774,1810.31017051649,375.651628110599,4188,4190,"NE"
32,7.22991738413073e-05,-3.96998965916939e-05,0.242933690306705,0.645533695608071,0.421735430345184,1,-34.4678916922768,74.9357833845537,96.2272984061653,526.901792966513,8928,8930,"NV"
33,0.00185175987493205,0.00159995658529399,0.287438805810807,7.35399397519439,0.00672026269804967,1,-681.918147331007,1369.83629466201,1388.69283458925,327.509909928676,3964,3966,"NH"
34,3.97143426168005e-05,-3.24328641405636e-05,0.286137240070205,0.550462649931132,0.458141289238235,1,-2323.03090866925,4652.0618173385,4674.67253702593,1134.78084934821,13860,13862,"NJ"
35,0.000383763951866477,0.000201883268451608,0.255777614478312,2.10997641234451,0.14639866012997,1,-304.092787304694,614.185574609388,634.021993615564,359.560345622915,5496,5498,"NM"
36,0.00341788327090192,0.00339014109689828,0.295092510822213,123.201709803493,1.40209047876265e-28,1,-7129.11222707823,14264.2244541565,14289.6920202893,3128.16010953526,35923,35925,"NY"
37,2.39820055244155e-07,-4.440103348613e-05,0.267926606382949,0.0053722103458881,0.941571735383276,1,-2281.78367041106,4569.56734082211,4593.61819129445,1608.048312203,22401,22403,"NC"
38,0.000592490903524085,7.78629379748486e-05,0.243838927017842,1.15129946910645,0.283410601417868,1,-13.9510348831762,33.9020697663523,50.6195787214135,115.46631416333,1942,1944,"ND"
39,2.39512314542155e-05,-1.43796505134297e-05,0.289584067144267,0.624854692216932,0.429256137528415,1,-4685.51787014326,9377.03574028652,9401.54366242091,2187.71181655026,26088,26090,"OH"
40,0.001003888403171,0.000918027112960851,0.267180870335593,11.6919790130359,0.000629854622204025,1,-1152.332513861,2310.66502772201,2332.75086259033,830.571659301671,11635,11637,"OK"
41,0.00244305888865276,0.00235275772624566,0.268630450880466,27.0545674444208,2.01333087499918e-07,1,-1153.84029301678,2313.68058603357,2335.61087164891,797.177139542259,11047,11049,"OR"
42,0.00210802551448638,0.00207726151120369,0.28023467222252,68.5224707300093,1.30192404639561e-16,1,-4761.38971838453,9528.77943676907,9553.94078681391,2547.32534155356,32437,32439,"PA"
44,7.00394353795229e-05,-0.000441172200901008,0.289265438718474,0.137006731476463,0.711315121710724,1,-348.557300926079,703.114601852159,719.85363832143,163.667310336355,1956,1958,"RI"
45,0.00830691885649071,0.00822707882097462,0.264760355279128,104.044528572787,2.46702211476098e-24,1,-1117.17366848564,2240.34733697128,2262.62925158792,870.687825981653,12421,12423,"SC"
46,0.00592316677072473,0.00545204030947855,0.260836927165156,12.5723500120505,0.000400025616120836,1,-157.565669109584,321.131338219168,338.097510153646,143.555754428948,2110,2112,"SD"
47,0.00767476381014999,0.00762587597705355,0.249544020022113,156.987195464835,6.99464252444064e-36,1,-624.617262897595,1255.23452579519,1278.98965429028,1264.00147951871,20298,20300,"TN"
48,0.00154434513679159,0.00152813565167287,0.27021463759249,95.2741635821413,1.72108980924824e-22,1,-6799.52043376159,13605.0408675232,13632.12607027,4497.56349489414,61597,61599,"TX"
49,0.000171039372667424,4.43825496843075e-05,0.260664924507706,1.35041578210486,0.245240574759097,1,-586.6124758065,1179.224951613,1200.14728635634,536.367325444791,7894,7896,"UT"
50,0.00583924974509963,0.00516386880063302,0.294790642036485,8.64586096622989,0.00332922407848582,1,-290.038661428009,586.077322856019,601.964528074266,127.91904131472,1472,1474,"VT"
51,0.000711756475721353,0.00066106720700243,0.279912106564877,14.0415613345799,0.000179324264123716,1,-2870.8108805842,5747.62176116841,5771.28931847189,1544.60742283489,19714,19716,"VA"
53,0.00246911729149466,0.00242090177200571,0.266433276011909,51.210011167805,8.57670045136655e-13,1,-1991.69005519695,3989.3801103939,4013.1924727002,1468.64364112904,20689,20691,"WA"
54,1.33524760620119e-06,-0.000201134617700882,0.260418430238865,0.00659479673271421,0.935279546496365,1,-362.029587670657,730.059175341313,749.575144397851,334.951910753079,4939,4941,"WV"
55,0.00222026085078593,0.00216772400689647,0.291583657858633,42.2610245765077,8.18556166864572e-11,1,-3541.57487186704,7089.14974373408,7112.70537899048,1614.71939283795,18992,18994,"WI"
56,0.000540983750366431,-0.000106334265339347,0.26529833859642,0.835731027471309,0.360763295969535,1,-141.290491731467,288.580983462933,304.611262150375,108.67167386536,1544,1546,"WY"
